"","Sources       ","Articles"
"1","IEEE ACCESS                                                                                                                   ","52"
"2","SENSORS                                                                                                                       ","43"
"3","APPLIED SCIENCES-BASEL                                                                                                        ","38"
"4","SUSTAINABILITY                                                                                                                ","28"
"5","FRONTIERS IN PSYCHOLOGY                                                                                                       ","24"
"6","SCIENTIFIC REPORTS                                                                                                            ","20"
"7","IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE                                                                ","18"
"8","COMPUTERS IN HUMAN BEHAVIOR                                                                                                   ","16"
"9","EXPERT SYSTEMS WITH APPLICATIONS                                                                                              ","16"
"10","IEEE SENSORS JOURNAL                                                                                                          ","15"
"11","PLOS ONE                                                                                                                      ","14"
"12","IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS                                                                                    ","13"
"13","PERCEPTION                                                                                                                    ","13"
"14","ELECTRONICS                                                                                                                   ","12"
"15","FRONTIERS IN NEUROSCIENCE                                                                                                     ","12"
"16","ADVANCED INTELLIGENT SYSTEMS                                                                                                  ","11"
"17","APPLIED ACOUSTICS                                                                                                             ","11"
"18","IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS                                                                       ","11"
"19","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH                                                             ","11"
"20","JOURNAL OF MEDICAL INTERNET RESEARCH                                                                                          ","11"
"21","NANO ENERGY                                                                                                                   ","11"
"22","NEUROCOMPUTING                                                                                                                ","11"
"23","COMPUTERS AND ELECTRONICS IN AGRICULTURE                                                                                      ","10"
"24","INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION                                                                           ","10"
"25","JOURNAL OF VISION                                                                                                             ","10"
"26","NEUROIMAGE                                                                                                                    ","10"
"27","PERCEPTION AND MACHINE INTELLIGENCE 2015                                                                                      ","10"
"28","FRONTIERS IN HUMAN NEUROSCIENCE                                                                                               "," 9"
"29","MULTIMEDIA TOOLS AND APPLICATIONS                                                                                             "," 9"
"30","ACM TRANSACTIONS ON APPLIED PERCEPTION                                                                                        "," 8"
"31","ADVANCED FUNCTIONAL MATERIALS                                                                                                 "," 8"
"32","IEEE ROBOTICS AND AUTOMATION LETTERS                                                                                          "," 8"
"33","INFORMATION SCIENCES                                                                                                          "," 8"
"34","JOURNAL OF GAMBLING STUDIES                                                                                                   "," 8"
"35","JOURNAL OF NEURAL ENGINEERING                                                                                                 "," 8"
"36","JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA                                                                                  "," 8"
"37","REMOTE SENSING                                                                                                                "," 8"
"38","ROBOTICS AND AUTONOMOUS SYSTEMS                                                                                               "," 8"
"39","SPEECH COMMUNICATION                                                                                                          "," 8"
"40","BUILDING AND ENVIRONMENT                                                                                                      "," 7"
"41","CEREBRAL CORTEX                                                                                                               "," 7"
"42","DIGITAL JOURNALISM                                                                                                            "," 7"
"43","ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE                                                                           "," 7"
"44","IEEE-ACM TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING                                                                 "," 7"
