"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","21130","28.55"
"2","CHINA          "," 9210","10.86"
"3","GERMANY        "," 4069","18.17"
"4","UNITED KINGDOM "," 3827","21.62"
"5","CANADA         "," 1767","19.21"
"6","ITALY          "," 1363","12.50"
"7","SPAIN          "," 1100","11.58"
"8","INDIA          "," 1009"," 6.51"
"9","FRANCE         ","  983"," 8.55"
"10","NETHERLANDS    ","  927","15.20"
"11","AUSTRALIA      ","  914","10.88"
"12","KOREA          ","  723","10.79"
"13","JAPAN          ","  657"," 5.71"
"14","SINGAPORE      ","  577","17.48"
"15","IRAN           ","  472","27.76"
"16","SWITZERLAND    ","  468","15.60"
"17","ISRAEL         ","  381","20.05"
"18","FINLAND        ","  317","11.74"
"19","PORTUGAL       ","  301","11.58"
"20","POLAND         ","  292","11.23"
"21","BELGIUM        ","  273","16.06"
"22","SWEDEN         ","  267"," 8.09"
"23","BRAZIL         ","  266"," 6.33"
"24","TURKEY         ","  231"," 7.97"
"25","MALAYSIA       ","  229","10.41"
"26","DENMARK        ","  196","13.07"
"27","IRELAND        ","  192"," 9.60"
"28","KUWAIT         ","  192","64.00"
"29","MEXICO         ","  191"," 6.82"
"30","AUSTRIA        ","  185"," 7.71"
"31","CHILE          ","  169","12.07"
"32","JORDAN         ","  139","34.75"
"33","NEW ZEALAND    ","  137","12.45"
"34","GREECE         ","  136"," 6.18"
"35","CZECH REPUBLIC ","  128","10.67"
"36","NORWAY         ","  105","10.50"
"37","HUNGARY        ","   96","10.67"
"38","SAUDI ARABIA   ","   87"," 6.69"
"39","CYPRUS         ","   68"," 7.56"
"40","ROMANIA        ","   65"," 3.82"
"41","RUSSIA         ","   63"," 2.17"
"42","SERBIA         ","   59"," 8.43"
"43","QATAR          ","   53","13.25"
"44","COLOMBIA       ","   48"," 3.69"
"45","BOTSWANA       ","   40","40.00"
"46","CROATIA        ","   39"," 9.75"
"47","PAKISTAN       ","   37"," 3.36"
"48","ALGERIA        ","   32"," 4.57"
"49","ECUADOR        ","   32","10.67"
"50","GHANA          ","   30","10.00"
"51","BANGLADESH     ","   27"," 2.45"
"52","VIETNAM        ","   27"," 4.50"
"53","SOUTH AFRICA   ","   26"," 3.71"
"54","GEORGIA        ","   24","24.00"
"55","NEPAL          ","   23","11.50"
"56","U ARAB EMIRATES","   23"," 3.83"
"57","THAILAND       ","   20"," 2.00"
"58","EGYPT          ","   19"," 3.17"
"59","INDONESIA      ","   19"," 1.58"
"60","LEBANON        ","   19"," 4.75"
"61","LITHUANIA      ","   18"," 4.50"
"62","ARGENTINA      ","   17"," 2.12"
"63","NIGERIA        ","   16"," 2.29"
"64","ESTONIA        ","   15"," 5.00"
"65","SLOVAKIA       ","   13"," 2.60"
"66","TUNISIA        ","   13"," 2.60"
"67","CAMEROON       ","   12","12.00"
"68","AFGHANISTAN    ","   11","11.00"
"69","MOROCCO        ","    9"," 1.80"
"70","LATVIA         ","    8"," 2.67"
"71","PHILIPPINES    ","    7"," 1.75"
"72","SLOVENIA       ","    6"," 1.20"
"73","LIBYA          ","    4"," 4.00"
"74","LUXEMBOURG     ","    4"," 1.33"
"75","MALAWI         ","    4"," 4.00"
"76","BOSNIA         ","    3"," 1.50"
"77","BELARUS        ","    2"," 2.00"
"78","BULGARIA       ","    2"," 1.00"
"79","ANGOLA         ","    1"," 0.50"
"80","ETHIOPIA       ","    1"," 1.00"
"81","OMAN           ","    1"," 1.00"
"82","UKRAINE        ","    1"," 0.50"
"83","EL SALVADOR    ","    0"," 0.00"
"84","IRAQ           ","    0"," 0.00"
"85","KENYA          ","    0"," 0.00"
"86","PARAGUAY       ","    0"," 0.00"
"87","PERU           ","    0"," 0.00"
"88","UGANDA         ","    0"," 0.00"
