"Year","Articles","MeanTCperArt","MeanTCperYear"
1967,1,0,0
1968,2,0,0
1969,0,0,0
1970,1,4,0.0740740740740741
1971,0,0,0
1972,1,0,0
1973,0,0,0
1974,0,0,0
1975,3,43.3333333333333,0.884353741496599
1976,2,0.5,0.0104166666666667
1977,0,0,0
1978,0,0,0
1979,1,7,0.155555555555556
1980,4,9.5,0.215909090909091
1981,3,0,0
1982,0,0,0
1983,1,0,0
1984,3,0.666666666666667,0.0166666666666667
1985,2,6,0.153846153846154
1986,2,46,1.21052631578947
1987,0,0,0
1988,5,0,0
1989,3,6,0.171428571428571
1990,4,17,0.5
1991,7,1.71428571428571,0.051948051948052
1992,13,7.61538461538462,0.237980769230769
1993,10,12.4,0.4
1994,10,4.3,0.143333333333333
1995,15,20.6,0.710344827586207
1996,18,9.88888888888889,0.353174603174603
1997,29,17.9655172413793,0.665389527458493
1998,12,95.1666666666667,3.66025641025641
1999,24,42.8333333333333,1.71333333333333
2000,21,23.0952380952381,0.962301587301587
2001,13,23.1538461538462,1.0066889632107
2002,20,9.1,0.413636363636364
2003,25,57.4,2.73333333333333
2004,25,8.24,0.412
2005,38,27.6842105263158,1.45706371191136
2006,43,15.1860465116279,0.843669250645995
2007,47,17.1702127659574,1.01001251564456
2008,47,34.8085106382979,2.17553191489362
2009,78,20.6025641025641,1.37350427350427
2010,57,15.4035087719298,1.10025062656642
2011,56,24.8928571428571,1.91483516483516
2012,68,37.6911764705882,3.14093137254902
2013,69,13.8405797101449,1.25823451910408
2014,86,19.5348837209302,1.95348837209302
2015,114,20.3157894736842,2.25730994152047
2016,128,12.7109375,1.5888671875
2017,142,16.2464788732394,2.32092555331992
2018,221,23.2488687782805,3.87481146304676
2019,323,23.8390092879257,4.76780185758514
2020,343,15.9941690962099,3.99854227405248
2021,428,11.7967289719626,3.93224299065421
2022,553,7.27305605786619,3.63652802893309
2023,620,3.01935483870968,3.01935483870968
