"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",28,"KUWAIT         ",192,64,3,2,1,0.3333
"2",45,"BOTSWANA       ",40,40,1,0,1,1
"3",32,"JORDAN         ",139,34.75,4,2,2,0.5
"4",1,"USA            ",21130,28.55,740,622,118,0.1595
"5",15,"IRAN           ",472,27.76,17,8,9,0.5294
"6",54,"GEORGIA        ",24,24,1,1,0,0
"7",4,"UNITED KINGDOM ",3827,21.62,177,117,60,0.339
"8",17,"ISRAEL         ",381,20.05,19,16,3,0.1579
"9",5,"CANADA         ",1767,19.21,92,68,24,0.2609
"10",3,"GERMANY        ",4069,18.17,224,158,66,0.2946
"11",14,"SINGAPORE      ",577,17.48,33,19,14,0.4242
"12",21,"BELGIUM        ",273,16.06,17,15,2,0.1176
"13",16,"SWITZERLAND    ",468,15.6,30,16,14,0.4667
"14",10,"NETHERLANDS    ",927,15.2,61,41,20,0.3279
"15",43,"QATAR          ",53,13.25,4,0,4,1
"16",26,"DENMARK        ",196,13.07,15,9,6,0.4
"17",6,"ITALY          ",1363,12.5,109,85,24,0.2202
"18",33,"NEW ZEALAND    ",137,12.45,11,8,3,0.2727
"19",31,"CHILE          ",169,12.07,14,8,6,0.4286
"20",67,"CAMEROON       ",12,12,1,0,1,1
"21",18,"FINLAND        ",317,11.74,27,27,0,0
"22",7,"SPAIN          ",1100,11.58,95,73,22,0.2316
"23",19,"PORTUGAL       ",301,11.58,26,19,7,0.2692
"24",55,"NEPAL          ",23,11.5,2,0,2,1
"25",20,"POLAND         ",292,11.23,26,20,6,0.2308
"26",68,"AFGHANISTAN    ",11,11,1,0,1,1
"27",11,"AUSTRALIA      ",914,10.88,84,58,26,0.3095
"28",2,"CHINA          ",9210,10.86,848,685,163,0.1922
"29",12,"KOREA          ",723,10.79,67,45,22,0.3284
"30",35,"CZECH REPUBLIC ",128,10.67,12,11,1,0.0833
"31",37,"HUNGARY        ",96,10.67,9,7,2,0.2222
"32",49,"ECUADOR        ",32,10.67,3,1,2,0.6667
"33",36,"NORWAY         ",105,10.5,10,7,3,0.3
"34",25,"MALAYSIA       ",229,10.41,22,11,11,0.5
"35",50,"GHANA          ",30,10,3,2,1,0.3333
"36",46,"CROATIA        ",39,9.75,4,2,2,0.5
"37",27,"IRELAND        ",192,9.6,20,13,7,0.35
"38",9,"FRANCE         ",983,8.55,115,84,31,0.2696
"39",42,"SERBIA         ",59,8.43,7,5,2,0.2857
"40",22,"SWEDEN         ",267,8.09,33,26,7,0.2121
"41",24,"TURKEY         ",231,7.97,29,22,7,0.2414
"42",30,"AUSTRIA        ",185,7.71,24,14,10,0.4167
"43",39,"CYPRUS         ",68,7.56,9,6,3,0.3333
"44",29,"MEXICO         ",191,6.82,28,23,5,0.1786
"45",38,"SAUDI ARABIA   ",87,6.69,13,6,7,0.5385
"46",8,"INDIA          ",1009,6.51,155,141,14,0.0903
"47",23,"BRAZIL         ",266,6.33,42,26,16,0.381
"48",34,"GREECE         ",136,6.18,22,14,8,0.3636
"49",13,"JAPAN          ",657,5.71,115,103,12,0.1043
"50",64,"ESTONIA        ",15,5,3,2,1,0.3333
"51",60,"LEBANON        ",19,4.75,4,1,3,0.75
"52",48,"ALGERIA        ",32,4.57,7,3,4,0.5714
"53",52,"VIETNAM        ",27,4.5,6,6,0,0
"54",61,"LITHUANIA      ",18,4.5,4,2,2,0.5
"55",73,"LIBYA          ",4,4,1,0,1,1
"56",75,"MALAWI         ",4,4,1,1,0,0
"57",56,"U ARAB EMIRATES",23,3.83,6,2,4,0.6667
"58",40,"ROMANIA        ",65,3.82,17,15,2,0.1176
"59",53,"SOUTH AFRICA   ",26,3.71,7,6,1,0.1429
"60",44,"COLOMBIA       ",48,3.69,13,10,3,0.2308
"61",47,"PAKISTAN       ",37,3.36,11,7,4,0.3636
"62",58,"EGYPT          ",19,3.17,6,2,4,0.6667
"63",70,"LATVIA         ",8,2.67,3,3,0,0
"64",65,"SLOVAKIA       ",13,2.6,5,4,1,0.2
"65",66,"TUNISIA        ",13,2.6,5,4,1,0.2
"66",51,"BANGLADESH     ",27,2.45,11,9,2,0.1818
"67",63,"NIGERIA        ",16,2.29,7,5,2,0.2857
"68",41,"RUSSIA         ",63,2.17,29,22,7,0.2414
"69",62,"ARGENTINA      ",17,2.12,8,5,3,0.375
"70",57,"THAILAND       ",20,2,10,9,1,0.1
"71",77,"BELARUS        ",2,2,1,1,0,0
"72",69,"MOROCCO        ",9,1.8,5,5,0,0
"73",71,"PHILIPPINES    ",7,1.75,4,3,1,0.25
"74",59,"INDONESIA      ",19,1.58,12,11,1,0.0833
"75",76,"BOSNIA         ",3,1.5,2,1,1,0.5
"76",74,"LUXEMBOURG     ",4,1.33,3,1,2,0.6667
"77",72,"SLOVENIA       ",6,1.2,5,5,0,0
"78",78,"BULGARIA       ",2,1,2,2,0,0
"79",80,"ETHIOPIA       ",1,1,1,0,1,1
"80",81,"OMAN           ",1,1,1,1,0,0
"81",79,"ANGOLA         ",1,0.5,2,0,2,1
"82",82,"UKRAINE        ",1,0.5,2,1,1,0.5
"83",83,"EL SALVADOR    ",0,0,1,1,0,0
"84",84,"IRAQ           ",0,0,1,0,1,1
"85",85,"KENYA          ",0,0,1,0,1,1
"86",86,"PARAGUAY       ",0,0,2,1,1,0.5
"87",87,"PERU           ",0,0,1,1,0,0
"88",88,"UGANDA         ",0,0,1,0,1,1
