"","Paper         ","DOI","TC","TCperYear","NTC"
"1","DWIVEDI YK, 2022, INT J INFORM MANAGE                                                                                                            ","10.1016/j.ijinfomgt.2022.102542","318","106.00","36.06"
"2","PARK SM, 2022, IEEE ACCESS                                                                                                                       ","10.1109/ACCESS.2021.3140175    ","283"," 94.33","32.09"
"3","DIONISIO JDN, 2013, ACM COMPUT SURV                                                                                                              ","10.1145/2480741.2480751        ","259"," 21.58"," 5.83"
"4","DAVIS A, 2009, J ASSOC INF SYST                                                                                                                  ","10.17705/1jais.00183           ","202"," 12.62"," 7.95"
"5","KYE B, 2021, J EDUC EVAL HEALTH P                                                                                                                ","10.3352/jeehp.2021.18.32       ","166"," 41.50"," 9.75"
"6","RAUSCHNABEL PA, 2022, COMPUT HUM BEHAV                                                                                                           ","10.1016/j.chb.2022.107289      ","109"," 36.33","12.36"
"7","PAPAGIANNIDIS S, 2008, TECHNOL FORECAST SOC                                                                                                      ","10.1016/j.techfore.2007.04.007 ","106","  6.24"," 4.15"
"8","SUN ZD, 2022, NAT COMMUN                                                                                                                         ","10.1038/s41467-022-32745-8     ","104"," 34.67","11.79"
"9","DWIVEDI YK, 2023, PSYCHOL MARKET                                                                                                                 ","10.1002/mar.21767              ","103"," 51.50","40.01"
"10","GURSOY D, 2022, J HOSP MARKET MANAG                                                                                                              ","10.1080/19368623.2022.2072504  "," 98"," 32.67","11.11"
"11","CHOI HS, 2017, INT J INFORM MANAGE                                                                                                               ","10.1016/j.ijinfomgt.2016.04.017"," 98"," 12.25"," 1.00"
"12","XI NN, 2023, INFORM SYST FRONT                                                                                                                   ","10.1007/s10796-022-10244-x     "," 90"," 45.00","34.96"
"13","BOURLAKIS M, 2009, ELECTRON COMMER RES                                                                                                           ","10.1007/s10660-009-9030-8      "," 83","  5.19"," 3.27"
"14","RAUSCHNABEL PA, 2022, J BUS RES                                                                                                                  ","10.1016/j.jbusres.2021.12.084  "," 82"," 27.33"," 9.30"
"15","FALCHUK B, 2018, IEEE TECHNOL SOC MAG                                                                                                            ","10.1109/MTS.2018.2826060       "," 79"," 11.29"," 2.31"
"16","TLILI A, 2022, SMART LEARN ENVIRON                                                                                                               ","10.1186/s40561-022-00205-x     "," 77"," 25.67"," 8.73"
"17","KRAUS S, 2022, INT J ENTREP BEHAV R                                                                                                              ","10.1108/IJEBR-12-2021-0984     "," 77"," 25.67"," 8.73"
"18","BUHALIS D, 2023, TOURISM MANAGE                                                                                                                  ","10.1016/j.tourman.2023.104724  "," 76"," 38.00","29.52"
"19","BUHALIS D, 2023, INT J CONTEMP HOSP M                                                                                                            ","10.1108/IJCHM-05-2022-0631     "," 76"," 38.00","29.52"
"20","KUMAR S, 2008, COMPUTER                                                                                                                          ","10.1109/MC.2008.398            "," 75","  4.41"," 2.93"
"21","YANG QL, 2022, IEEE OPEN J COMP SOC                                                                                                              ","10.1109/OJCS.2022.3188249      "," 73"," 24.33"," 8.28"
"22","BELK R, 2022, J BUS RES                                                                                                                          ","10.1016/j.jbusres.2022.08.031  "," 71"," 23.67"," 8.05"
"23","BARRERA KG, 2023, J BUS RES                                                                                                                      ","10.1016/j.jbusres.2022.113420  "," 66"," 33.00","25.63"
"24","SHEN BQ, 2021, APPL SCI-BASEL                                                                                                                    ","10.3390/app112311087           "," 65"," 16.25"," 3.82"
"25","ALLAM Z, 2022, SMART CITIES-BASEL                                                                                                                ","10.3390/smartcities5030040     "," 65"," 21.67"," 7.37"
"26","MOZUMDER MAI, 2022, INT CONF ADV COMMUN                                                                                                          ","NA                             "," 64"," 21.33"," 7.26"
"27","KOOHANG A, 2023, J COMPUT INFORM SYST                                                                                                            ","10.1080/08874417.2023.2165197  "," 62"," 31.00","24.08"
"28","WANG FY, 2022, IEEE T COMPUT SOC SY                                                                                                              ","10.1109/TCSS.2022.3145165      "," 62"," 20.67"," 7.03"
"29","SPARKES M, 2021, NEW SCI                                                                                                                         ","NA                             "," 61"," 15.25"," 3.58"
"30","DÍAZ JEM, 2020, INT J EMERG TECHNOL                                                                                                              ","10.3991/ijet.v15i15.13025      "," 60"," 12.00"," 2.37"
"31","NEVELSTEEN KJL, 2018, COMPUT ANIMAT VIRT W                                                                                                       ","10.1002/cav.1752               "," 59","  8.43"," 1.73"
"32","VIDAL-TOMÁS D, 2022, FINANC RES LETT                                                                                                             ","10.1016/j.frl.2022.102742      "," 58"," 19.33"," 6.58"
"33","ALMARZOUQI A, 2022, IEEE ACCESS                                                                                                                  ","10.1109/ACCESS.2022.3169285    "," 58"," 19.33"," 6.58"
"34","ZHAO YH, 2022, VIS INFORM                                                                                                                        ","10.1016/j.visinf.2022.03.002   "," 57"," 19.00"," 6.46"
"35","PAMUCAR D, 2022, TECHNOL FORECAST SOC                                                                                                            ","10.1016/j.techfore.2022.121778 "," 57"," 19.00"," 6.46"
