"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","KIM J         ","39","KIM J              ","10.45"
"2","NIYATO D      ","29","WIEDERHOLD BK      "," 8.46"
"3","MIN WD        ","25","KSHETRI N          "," 7.08"
"4","LEE J         ","20","AYITER E           "," 7.00"
"5","WANG FY       ","20","LEE J              "," 5.92"
"6","XIONG ZH      ","19","WANG FY            "," 5.83"
"7","KANG JW       ","18","SITUMORANG DDB     "," 5.17"
"8","KIM S         ","18","ZYDA M             "," 5.00"
"9","HUI P         ","17","MIN WD             "," 4.89"
"10","WANG Q        ","16","HUI P              "," 4.86"
"11","DWIVEDI YK    ","14","NIYATO D           "," 4.77"
"12","JAMSHIDI M    ","14","BIBRI SE           "," 4.53"
"13","LEE LH        ","14","ZHAO J             "," 4.23"
"14","LEE S         ","14","PARK J             "," 4.14"
"15","DEVECI M      ","13","[ANONYMOUS]        "," 4.00"
"16","HAN Q         ","13","LEE S              "," 3.79"
"17","LI Y          ","13","KIM S              "," 3.77"
"18","LIU Y         ","13","LEE LH             "," 3.71"
"19","SONG HK       ","13","PARK S             "," 3.28"
"20","CHENG XS      ","11","JAMSHIDI M         "," 3.20"
"21","KIM D         ","11","LV ZH              "," 3.18"
"22","KSHETRI N     ","11","LEE H              "," 3.12"
"23","PARK J        ","11","LI Y               "," 3.00"
"24","WIEDERHOLD BK ","11","CHEN ZS            "," 3.00"
"25","ZHAO J        ","11","DASDEMIR Y         "," 3.00"
"26","DU HY         ","10","KIM D              "," 3.00"
"27","KIM H         ","10","XIONG ZH           "," 2.88"
"28","LEE H         ","10","CHENG XS           "," 2.87"
"29","MIAO CY       ","10","KIM H              "," 2.80"
"30","PARK S        ","10","KANG JW            "," 2.76"
"31","WANG YC       ","10","WANG Q             "," 2.72"
"32","KIM DI        "," 9","LIU Y              "," 2.62"
"33","LIU Z         "," 9","LI ZY              "," 2.59"
"34","OH S          "," 9","HAN Q              "," 2.58"
"35","PARK Y        "," 9","RIVA G             "," 2.48"
"36","RIVA G        "," 9","DWIVEDI YK         "," 2.46"
"37","WANG Y        "," 9","SONG HK            "," 2.38"
"38","WANG YT       "," 9","DEVECI M           "," 2.27"
"39","YANG B        "," 9","HAN QL             "," 2.20"
"40","YOU YH        "," 9","YANG B             "," 2.15"
"41","ZHANG Y       "," 9","WANG Y             "," 2.13"
"42","ZHAO HY       "," 9","CAI W              "," 2.12"
"43","BIBRI SE      "," 8","ALLAM Z            "," 2.03"
"44","BRAUD T       "," 8","CORPUZ JCG         "," 2.00"
"45","CHEN Y        "," 8","DAGLI N            "," 2.00"
"46","GOKASAR I     "," 8","FAN JJ             "," 2.00"
"47","KIM DS        "," 8","HUDSON-SMITH A     "," 2.00"
"48","KIM M         "," 8","HUH S              "," 2.00"
"49","RAHMAN MH     "," 8","KWON KH            "," 2.00"
"50","SEJAN MAS     "," 8","LEE HS             "," 2.00"
"51","WANG S        "," 8","LLANOS CP          "," 2.00"
"52","ZHANG L       "," 8","MYBURGH PH         "," 2.00"
"53","AYITER E      "," 7","NAQVI N            "," 2.00"
"54","CAI W         "," 7","ORTEGA-RODRÍGUEZ PJ"," 2.00"
"55","HUANG X       "," 7","RATTEN V           "," 2.00"
"56","HUGHES L      "," 7","ROSPIGLIOSI P      "," 2.00"
"57","KIM JH        "," 7","SUH A              "," 2.00"
"58","LI T          "," 7","TAN JH             "," 2.00"
"59","LV ZH         "," 7","VIDAL-TOMÁS D      "," 2.00"
"60","OOI KB        "," 7","VIG S              "," 2.00"
"61","PAMUCAR D     "," 7","BRAUD T            "," 1.99"
"62","WANG L        "," 7","WANG YC            "," 1.99"
"63","WANG X        "," 7","OH S               "," 1.99"
"64","ATHAR A       "," 6","WANG X             "," 1.93"
"65","AZIZ MA       "," 6","WANG YT            "," 1.91"
"66","BUHALIS D     "," 6","PARK Y             "," 1.89"
"67","DEMIAN P      "," 6","MOGAJI E           "," 1.88"
"68","FOURNIER S    "," 6","LIU Z              "," 1.87"
"69","GUPTA BB      "," 6","CHOI Y             "," 1.84"
"70","HAN H         "," 6","YU ZG              "," 1.83"
"71","HAN Z         "," 6","KIM K              "," 1.82"
"72","JANG J        "," 6","TSUMAKI N          "," 1.81"
"73","KIM HC        "," 6","OH JH              "," 1.78"
"74","KIM K         "," 6","KIM JH             "," 1.78"
"75","LEE JH        "," 6","ZHANG Y            "," 1.75"
"76","LEE Y         "," 6","FAR SB             "," 1.75"
"77","LI JJ         "," 6","KIM DS             "," 1.75"
"78","LI ZY         "," 6","LIU XH             "," 1.75"
"79","MOGAJI E      "," 6","HUANG X            "," 1.73"
"80","MULLER O      "," 6","ZHAO HY            "," 1.73"
"81","RAUSCHNABEL PA"," 6","JEONG JB           "," 1.67"
"82","SEO J         "," 6","MORRIS A           "," 1.67"
"83","SHARMA A      "," 6","PAUL N             "," 1.67"
"84","SHEN XM       "," 6","RYU ES             "," 1.67"
"85","SITUMORANG DDB"," 6","SHIN D             "," 1.67"
"86","SKALIDIS I    "," 6","GOKASAR I          "," 1.65"
"87","SUN Y         "," 6","LEE KH             "," 1.60"
"88","TAN GWH       "," 6","AL-EMRAN M         "," 1.60"
"89","WANG JC       "," 6","KIM M              "," 1.59"
"90","WU J          "," 6","ALMOGREN A         "," 1.58"
"91","XIAO J        "," 6","DIN IU             "," 1.58"
"92","XU L          "," 6","PARK KW            "," 1.58"
"93","YANG J        "," 6","DU HY              "," 1.57"
"94","YANG Y        "," 6","YOU YH             "," 1.57"
"95","ZHANG X       "," 6","LEE Y              "," 1.57"
"96","AL-EMRAN M    "," 5","MIAO CY            "," 1.57"
"97","ALHILAL A     "," 5","ZHANG L            "," 1.55"
"98","ALLAM Z       "," 5","CHEN Y             "," 1.52"
"99","ALMOGREN A    "," 5","LI T               "," 1.51"
"100","AMEEN N       "," 5","SUN Y              "," 1.51"
