"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","CHINA          ","570","0.273381","405","165","0.2895"
"2","KOREA          ","279","0.133813","221"," 58","0.2079"
"3","USA            ","231","0.110791","180"," 51","0.2208"
"4","UNITED KINGDOM ","106","0.050839"," 53"," 53","0.5000"
"5","ITALY          "," 93","0.044604"," 73"," 20","0.2151"
"6","SPAIN          "," 73","0.035012"," 53"," 20","0.2740"
"7","GERMANY        "," 59","0.028297"," 34"," 25","0.4237"
"8","INDIA          "," 57","0.027338"," 33"," 24","0.4211"
"9","JAPAN          "," 52","0.024940"," 41"," 11","0.2115"
"10","CANADA         "," 39","0.018705"," 28"," 11","0.2821"
"11","AUSTRALIA      "," 38","0.018225"," 26"," 12","0.3158"
"12","SINGAPORE      "," 36","0.017266"," 19"," 17","0.4722"
"13","INDONESIA      "," 29","0.013909"," 24","  5","0.1724"
"14","TURKEY         "," 26","0.012470"," 25","  1","0.0385"
"15","FRANCE         "," 24","0.011511"," 15","  9","0.3750"
"16","BRAZIL         "," 20","0.009592"," 15","  5","0.2500"
"17","MALAYSIA       "," 19","0.009113","  6"," 13","0.6842"
"18","U ARAB EMIRATES"," 18","0.008633","  8"," 10","0.5556"
"19","SWITZERLAND    "," 17","0.008153"," 11","  6","0.3529"
"20","CZECH REPUBLIC "," 15","0.007194","  4"," 11","0.7333"
"21","IRAN           "," 15","0.007194"," 11","  4","0.2667"
"22","GREECE         "," 13","0.006235","  9","  4","0.3077"
"23","MEXICO         "," 13","0.006235"," 12","  1","0.0769"
"24","NORWAY         "," 13","0.006235","  4","  9","0.6923"
"25","PORTUGAL       "," 13","0.006235"," 11","  2","0.1538"
"26","NETHERLANDS    "," 12","0.005755","  9","  3","0.2500"
"27","FINLAND        "," 11","0.005276","  7","  4","0.3636"
"28","ROMANIA        "," 11","0.005276"," 10","  1","0.0909"
"29","THAILAND       "," 11","0.005276","  8","  3","0.2727"
"30","AUSTRIA        ","  9","0.004317","  6","  3","0.3333"
"31","NEW ZEALAND    ","  9","0.004317","  6","  3","0.3333"
"32","SOUTH AFRICA   ","  9","0.004317","  5","  4","0.4444"
"33","SWEDEN         ","  9","0.004317","  5","  4","0.4444"
"34","IRELAND        ","  8","0.003837","  0","  8","1.0000"
"35","POLAND         ","  8","0.003837","  5","  3","0.3750"
"36","QATAR          ","  8","0.003837","  0","  8","1.0000"
"37","SAUDI ARABIA   ","  8","0.003837","  3","  5","0.6250"
"38","ISRAEL         ","  7","0.003357","  5","  2","0.2857"
"39","RUSSIA         ","  6","0.002878","  6","  0","0.0000"
"40","UKRAINE        ","  6","0.002878","  3","  3","0.5000"
"41","VIETNAM        ","  6","0.002878","  2","  4","0.6667"
"42","BELGIUM        ","  5","0.002398","  3","  2","0.4000"
"43","CHILE          ","  5","0.002398","  4","  1","0.2000"
"44","COLOMBIA       ","  5","0.002398","  5","  0","0.0000"
"45","DENMARK        ","  5","0.002398","  1","  4","0.8000"
"46","HUNGARY        ","  5","0.002398","  3","  2","0.4000"
"47","PAKISTAN       ","  5","0.002398","  2","  3","0.6000"
"48","CYPRUS         ","  4","0.001918","  2","  2","0.5000"
"49","PHILIPPINES    ","  4","0.001918","  4","  0","0.0000"
"50","BRUNEI         ","  3","0.001439","  2","  1","0.3333"
"51","BULGARIA       ","  3","0.001439","  2","  1","0.3333"
"52","EGYPT          ","  3","0.001439","  1","  2","0.6667"
"53","JORDAN         ","  3","0.001439","  3","  0","0.0000"
"54","AFGHANISTAN    ","  2","0.000959","  0","  2","1.0000"
"55","BANGLADESH     ","  2","0.000959","  1","  1","0.5000"
"56","ECUADOR        ","  2","0.000959","  2","  0","0.0000"
"57","ESTONIA        ","  2","0.000959","  1","  1","0.5000"
"58","IRAQ           ","  2","0.000959","  1","  1","0.5000"
"59","LEBANON        ","  2","0.000959","  1","  1","0.5000"
"60","MALTA          ","  2","0.000959","  1","  1","0.5000"
"61","SERBIA         ","  2","0.000959","  2","  0","0.0000"
"62","SLOVAKIA       ","  2","0.000959","  2","  0","0.0000"
"63","ANGOLA         ","  1","0.000480","  0","  1","1.0000"
"64","ARGENTINA      ","  1","0.000480","  1","  0","0.0000"
"65","BAHRAIN        ","  1","0.000480","  0","  1","1.0000"
"66","CROATIA        ","  1","0.000480","  1","  0","0.0000"
"67","ICELAND        ","  1","0.000480","  0","  1","1.0000"
"68","LUXEMBOURG     ","  1","0.000480","  0","  1","1.0000"
"69","MALI           ","  1","0.000480","  0","  1","1.0000"
"70","MAURITIUS      ","  1","0.000480","  0","  1","1.0000"
"71","MYANMAR        ","  1","0.000480","  0","  1","1.0000"
"72","NIGERIA        ","  1","0.000480","  1","  0","0.0000"
"73","PERU           ","  1","0.000480","  1","  0","0.0000"
