"","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"1","METAVERSE                          ","1081","VIRTUAL-REALITY            ","130"
"2","VIRTUAL REALITY                    "," 347","MODEL                      "," 87"
"3","AUGMENTED REALITY                  "," 174","TECHNOLOGY                 "," 82"
"4","BLOCKCHAIN                         "," 139","AUGMENTED REALITY          "," 71"
"5","ARTIFICIAL INTELLIGENCE            "," 116","IMPACT                     "," 64"
"6","EXTENDED REALITY                   ","  86","DESIGN                     "," 59"
"7","MIXED REALITY                      ","  59","SYSTEM                     "," 57"
"8","DIGITAL TWIN                       ","  57","CHALLENGES                 "," 55"
"9","DEEP LEARNING                      ","  49","INTERNET                   "," 53"
"10","MACHINE LEARNING                   ","  49","REALITY                    "," 47"
"11","EDUCATION                          ","  45","BLOCKCHAIN                 "," 45"
"12","DIGITAL TWINS                      ","  43","EDUCATION                  "," 44"
"13","VIRTUAL WORLDS                     ","  43","PERFORMANCE                "," 44"
"14","AVATAR                             ","  42","FRAMEWORK                  "," 42"
"15","INTERNET OF THINGS                 ","  34","EXPERIENCE                 "," 40"
"16","SECOND LIFE                        ","  31","SYSTEMS                    "," 37"
"17","PRIVACY                            ","  30","MANAGEMENT                 "," 34"
"18","SECURITY                           ","  30","ONLINE                     "," 33"
"19","NFT                                ","  29","VIRTUAL WORLDS             "," 33"
"20","AVATARS                            ","  27","FUTURE                     "," 32"
"21","0                                  ","  25","INFORMATION                "," 31"
"22","BLOCKCHAINS                        ","  25","ACCEPTANCE                 "," 28"
"23","HEALTHCARE                         ","  25","BEHAVIOR                   "," 28"
"24","VIRTUAL WORLD                      ","  25","NETWORKS                   "," 27"
"25","IMMERSION                          ","  20","ADOPTION                   "," 26"
"26","SUSTAINABILITY                     ","  20","COMMUNICATION              "," 26"
"27","MENTAL HEALTH                      ","  19","ARTIFICIAL-INTELLIGENCE    "," 25"
"28","VIRTUAL REALITY (VR)               ","  19","OPPORTUNITIES              "," 25"
"29","VR                                 ","  19","STUDENTS                   "," 25"
"30","CRYPTOCURRENCY                     ","  18","INFORMATION-TECHNOLOGY     "," 23"
"31","E-LEARNING                         ","  18","INTENTION                  "," 23"
"32","EDGE COMPUTING                     ","  18","TECHNOLOGY ACCEPTANCE MODEL"," 22"
"33","ETHICS                             ","  18","INNOVATION                 "," 20"
"34","THREE-DIMENSIONAL DISPLAYS         ","  18","KNOWLEDGE                  "," 20"
"35","INTERNET                           ","  17","SATISFACTION               "," 20"
"36","TECHNOLOGY                         ","  17","SOCIAL MEDIA               "," 20"
"37","TRAINING                           ","  17","SIMULATION                 "," 19"
"38","COVID-19                           ","  16","TECHNOLOGIES               "," 19"
"39","GAMES                              ","  16","BIG DATA                   "," 17"
"40","HUMAN-COMPUTER INTERACTION         ","  16","ENVIRONMENTS               "," 17"
"41","IOT                                ","  16","METAVERSE                  "," 17"
"42","SOLID MODELING                     ","  16","SCIENCE                    "," 17"
"43","TASK ANALYSIS                      ","  16","TRUST                      "," 17"
"44","GAMIFICATION                       ","  14","VIRTUAL WORLD              "," 17"
