"","Sources       ","Articles"
"1","IEEE ACCESS                                                                                                                      ","51"
"2","SUSTAINABILITY                                                                                                                   ","45"
"3","ELECTRONICS                                                                                                                      ","39"
"4","SENSORS                                                                                                                          ","39"
"5","APPLIED SCIENCES-BASEL                                                                                                           ","33"
"6","IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS                                                                             ","19"
"7","2023 IEEE CONFERENCE ON VIRTUAL REALITY AND 3D USER INTERFACES ABSTRACTS AND WORKSHOPS VRW                                       ","18"
"8","CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING                                                                                   ","16"
"9","FRONTIERS IN PSYCHOLOGY                                                                                                          ","16"
"10","INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION                                                                              ","16"
"11","INTERNET RESEARCH                                                                                                                ","16"
"12","JOURNAL OF PUBLIC HEALTH                                                                                                         ","16"
"13","IEEE COMMUNICATIONS MAGAZINE                                                                                                     ","15"
"14","2022 IEEE CONFERENCE ON VIRTUAL REALITY AND 3D USER INTERFACES ABSTRACTS AND WORKSHOPS (VRW 2022)                                ","14"
"15","INFORMATION TECHNOLOGY & TOURISM                                                                                                 ","14"
"16","MATHEMATICS                                                                                                                      ","14"
"17","HELIYON                                                                                                                          ","13"
"18","IEEE INTERNET OF THINGS JOURNAL                                                                                                  ","13"
"19","COMPUTERS IN HUMAN BEHAVIOR                                                                                                      ","12"
"20","FUTURE INTERNET                                                                                                                  ","12"
"21","COMPUTER                                                                                                                         ","11"
"22","IT PROFESSIONAL                                                                                                                  ","11"
"23","FINANCE RESEARCH LETTERS                                                                                                         ","10"
"24","IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS                                                                                ","10"
"25","IEEE WIRELESS COMMUNICATIONS                                                                                                     ","10"
"26","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH                                                                ","10"
"27","FRONTIERS IN VIRTUAL REALITY                                                                                                     "," 9"
"28","PSYCHOLOGY & MARKETING                                                                                                           "," 9"
"29","TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE                                                                                      "," 9"
"30","CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES                                                                             "," 8"
"31","FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE                                                         "," 8"
"32","JOURNAL OF TRAVEL & TOURISM MARKETING                                                                                            "," 8"
"33","MULTIMEDIA TOOLS AND APPLICATIONS                                                                                                "," 8"
"34","VIRTUAL REALITY                                                                                                                  "," 8"
"35","2022 IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY ADJUNCT (ISMAR-ADJUNCT 2022)                                    "," 7"
