"","Country     ","Total Citations","Average Article Citations"
"1","CHINA          ","2412"," 4.232"
"2","KOREA          ","1803"," 6.462"
"3","USA            ","1723"," 7.459"
"4","UNITED KINGDOM ","1217","11.481"
"5","ITALY          "," 395"," 4.247"
"6","GERMANY        "," 306"," 5.186"
"7","AUSTRALIA      "," 287"," 7.553"
"8","INDIA          "," 248"," 4.351"
"9","NORWAY         "," 199","15.308"
"10","SPAIN          "," 192"," 2.630"
"11","U ARAB EMIRATES"," 179"," 9.944"
"12","SINGAPORE      "," 176"," 4.889"
"13","CANADA         "," 175"," 4.487"
"14","FINLAND        "," 174","15.818"
"15","FRANCE         "," 155"," 6.458"
"16","MALAYSIA       "," 145"," 7.632"
"17","SWITZERLAND    "," 145"," 8.529"
"18","JAPAN          "," 129"," 2.481"
"19","AUSTRIA        "," 105","11.667"
"20","SWEDEN         "," 103","11.444"
"21","CZECH REPUBLIC ","  95"," 6.333"
"22","IRELAND        ","  87","10.875"
"23","COLOMBIA       ","  80","16.000"
"24","TURKEY         ","  76"," 2.923"
"25","SERBIA         ","  73","36.500"
"26","BRAZIL         ","  71"," 3.550"
"27","NETHERLANDS    ","  71"," 5.917"
"28","IRAN           ","  68"," 4.533"
"29","QATAR          ","  68"," 8.500"
"30","GREECE         ","  65"," 5.000"
"31","INDONESIA      ","  59"," 2.034"
"32","DENMARK        ","  47"," 9.400"
"33","PAKISTAN       ","  46"," 9.200"
"34","THAILAND       ","  44"," 4.000"
"35","VIETNAM        ","  41"," 6.833"
"36","SOUTH AFRICA   ","  33"," 3.667"
"37","NEW ZEALAND    ","  32"," 3.556"
"38","ISRAEL         ","  30"," 4.286"
"39","MEXICO         ","  25"," 1.923"
"40","HUNGARY        ","  22"," 4.400"
"41","MYANMAR        ","  22","22.000"
"42","POLAND         ","  20"," 2.500"
"43","ROMANIA        ","  20"," 1.818"
"44","ESTONIA        ","  19"," 9.500"
"45","PORTUGAL       ","  19"," 1.462"
"46","SAUDI ARABIA   ","  17"," 2.125"
"47","BELGIUM        ","  13"," 2.600"
"48","UKRAINE        ","  12"," 2.000"
"49","PHILIPPINES    ","  10"," 2.500"
"50","BRUNEI         ","   8"," 2.667"
"51","CHILE          ","   7"," 1.400"
"52","BULGARIA       ","   5"," 1.667"
"53","ICELAND        ","   5"," 5.000"
"54","IRAQ           ","   3"," 1.500"
"55","JORDAN         ","   3"," 1.000"
"56","AFGHANISTAN    ","   2"," 1.000"
"57","BANGLADESH     ","   2"," 1.000"
"58","LEBANON        ","   2"," 1.000"
"59","LUXEMBOURG     ","   2"," 2.000"
"60","MALTA          ","   2"," 1.000"
"61","EGYPT          ","   1"," 0.333"
"62","MAURITIUS      ","   1"," 1.000"
"63","SLOVAKIA       ","   1"," 0.500"
"64","ANGOLA         ","   0"," 0.000"
"65","ARGENTINA      ","   0"," 0.000"
"66","BAHRAIN        ","   0"," 0.000"
"67","CROATIA        ","   0"," 0.000"
"68","CYPRUS         ","   0"," 0.000"
"69","ECUADOR        ","   0"," 0.000"
"70","MALI           ","   0"," 0.000"
"71","NIGERIA        ","   0"," 0.000"
"72","PERU           ","   0"," 0.000"
"73","RUSSIA         ","   0"," 0.000"
