"Year","Articles","MeanTCperArt","MeanTCperYear"
1995,1,1,0.0344827586206897
1996,1,0,0
1997,0,0,0
1998,0,0,0
1999,0,0,0
2000,1,3,0.125
2001,1,19,0.826086956521739
2002,0,0,0
2003,0,0,0
2004,1,6,0.3
2005,1,6,0.31578947368421
2006,1,1,0.0555555555555556
2007,3,12.3333333333333,0.725490196078431
2008,9,25.5555555555556,1.59722222222222
2009,12,25.4166666666667,1.69444444444444
2010,14,7.35714285714286,0.525510204081633
2011,10,7.6,0.584615384615385
2012,6,5.16666666666667,0.430555555555556
2013,7,44.4285714285714,4.03896103896104
2014,7,4.71428571428571,0.471428571428571
2015,5,11,1.22222222222222
2016,6,3,0.375
2017,1,98,14
2018,6,34.1666666666667,5.69444444444444
2019,3,7,1.4
2020,7,25.2857142857143,6.32142857142857
2021,38,17.0263157894737,5.67543859649123
2022,676,8.8180473372781,4.40902366863905
2023,1373,2.57465404224327,2.57465404224327
