"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",25,"SERBIA         ",73,36.5,2,2,0,0
"2",41,"MYANMAR        ",22,22,1,0,1,1
"3",23,"COLOMBIA       ",80,16,5,5,0,0
"4",14,"FINLAND        ",174,15.818,11,7,4,0.3636
"5",9,"NORWAY         ",199,15.308,13,4,9,0.6923
"6",19,"AUSTRIA        ",105,11.667,9,6,3,0.3333
"7",4,"UNITED KINGDOM ",1217,11.481,106,53,53,0.5
"8",20,"SWEDEN         ",103,11.444,9,5,4,0.4444
"9",22,"IRELAND        ",87,10.875,8,0,8,1
"10",11,"U ARAB EMIRATES",179,9.944,18,8,10,0.5556
"11",44,"ESTONIA        ",19,9.5,2,1,1,0.5
"12",32,"DENMARK        ",47,9.4,5,1,4,0.8
"13",33,"PAKISTAN       ",46,9.2,5,2,3,0.6
"14",17,"SWITZERLAND    ",145,8.529,17,11,6,0.3529
"15",29,"QATAR          ",68,8.5,8,0,8,1
"16",16,"MALAYSIA       ",145,7.632,19,6,13,0.6842
"17",7,"AUSTRALIA      ",287,7.553,38,26,12,0.3158
"18",3,"USA            ",1723,7.459,231,180,51,0.2208
"19",35,"VIETNAM        ",41,6.833,6,2,4,0.6667
"20",2,"KOREA          ",1803,6.462,279,221,58,0.2079
"21",15,"FRANCE         ",155,6.458,24,15,9,0.375
"22",21,"CZECH REPUBLIC ",95,6.333,15,4,11,0.7333
"23",27,"NETHERLANDS    ",71,5.917,12,9,3,0.25
"24",6,"GERMANY        ",306,5.186,59,34,25,0.4237
"25",30,"GREECE         ",65,5,13,9,4,0.3077
"26",53,"ICELAND        ",5,5,1,0,1,1
"27",12,"SINGAPORE      ",176,4.889,36,19,17,0.4722
"28",28,"IRAN           ",68,4.533,15,11,4,0.2667
"29",13,"CANADA         ",175,4.487,39,28,11,0.2821
"30",40,"HUNGARY        ",22,4.4,5,3,2,0.4
"31",8,"INDIA          ",248,4.351,57,33,24,0.4211
"32",38,"ISRAEL         ",30,4.286,7,5,2,0.2857
"33",5,"ITALY          ",395,4.247,93,73,20,0.2151
"34",1,"CHINA          ",2412,4.232,570,405,165,0.2895
"35",34,"THAILAND       ",44,4,11,8,3,0.2727
"36",36,"SOUTH AFRICA   ",33,3.667,9,5,4,0.4444
"37",37,"NEW ZEALAND    ",32,3.556,9,6,3,0.3333
"38",26,"BRAZIL         ",71,3.55,20,15,5,0.25
"39",24,"TURKEY         ",76,2.923,26,25,1,0.0385
"40",50,"BRUNEI         ",8,2.667,3,2,1,0.3333
"41",10,"SPAIN          ",192,2.63,73,53,20,0.274
"42",47,"BELGIUM        ",13,2.6,5,3,2,0.4
"43",42,"POLAND         ",20,2.5,8,5,3,0.375
"44",49,"PHILIPPINES    ",10,2.5,4,4,0,0
"45",18,"JAPAN          ",129,2.481,52,41,11,0.2115
"46",46,"SAUDI ARABIA   ",17,2.125,8,3,5,0.625
"47",31,"INDONESIA      ",59,2.034,29,24,5,0.1724
"48",48,"UKRAINE        ",12,2,6,3,3,0.5
"49",59,"LUXEMBOURG     ",2,2,1,0,1,1
"50",39,"MEXICO         ",25,1.923,13,12,1,0.0769
"51",43,"ROMANIA        ",20,1.818,11,10,1,0.0909
"52",52,"BULGARIA       ",5,1.667,3,2,1,0.3333
"53",54,"IRAQ           ",3,1.5,2,1,1,0.5
"54",45,"PORTUGAL       ",19,1.462,13,11,2,0.1538
"55",51,"CHILE          ",7,1.4,5,4,1,0.2
"56",55,"JORDAN         ",3,1,3,3,0,0
"57",56,"AFGHANISTAN    ",2,1,2,0,2,1
"58",57,"BANGLADESH     ",2,1,2,1,1,0.5
"59",58,"LEBANON        ",2,1,2,1,1,0.5
"60",60,"MALTA          ",2,1,2,1,1,0.5
"61",62,"MAURITIUS      ",1,1,1,0,1,1
"62",63,"SLOVAKIA       ",1,0.5,2,2,0,0
"63",61,"EGYPT          ",1,0.333,3,1,2,0.6667
"64",64,"ANGOLA         ",0,0,1,0,1,1
"65",65,"ARGENTINA      ",0,0,1,1,0,0
"66",66,"BAHRAIN        ",0,0,1,0,1,1
"67",67,"CROATIA        ",0,0,1,1,0,0
"68",68,"CYPRUS         ",0,0,4,2,2,0.5
"69",69,"ECUADOR        ",0,0,2,2,0,0
"70",70,"MALI           ",0,0,1,0,1,1
"71",71,"NIGERIA        ",0,0,1,1,0,0
"72",72,"PERU           ",0,0,1,1,0,0
"73",73,"RUSSIA         ",0,0,6,6,0,0
