"","Paper         ","DOI","TC","TCperYear","NTC"
"1","KATOH K, 2019, BRIEF BIOINFORM               ","10.1093/bib/bbx108                ","3898","649.67","174.56"
"2","WILLIAMS AJ, 2017, J CHEMINFORMATICS         ","10.1186/s13321-017-0247-6         "," 537"," 67.12"," 37.51"
"3","KURAKU S, 2013, NUCLEIC ACIDS RES            ","10.1093/nar/gkt389                "," 487"," 40.58"," 19.84"
"4","SHAO CC, 2018, NAT COMMUN                    ","10.1038/s41467-018-06930-7        "," 440"," 62.86"," 27.46"
"5","WARBURTON S, 2009, BRIT J EDUC TECHNOL       ","10.1111/j.1467-8535.2009.00952.x  "," 355"," 22.19","  7.73"
"6","LI J, 2018, COMPUT SECUR                     ","10.1016/j.cose.2017.08.007        "," 341"," 48.71"," 21.28"
"7","LIU Q, 2016, J MED INTERNET RES              ","10.2196/jmir.4807                 "," 327"," 36.33"," 22.05"
"8","AHMAD AR, 2020, J MED INTERNET RES           ","10.2196/19556                     "," 304"," 60.80"," 23.16"
"9","CHOMUTARE T, 2011, J MED INTERNET RES        ","10.2196/jmir.1874                 "," 299"," 21.36","  8.48"
"10","CAVALLO DN, 2012, AM J PREV MED              ","10.1016/j.amepre.2012.07.019      "," 237"," 18.23"," 16.26"
"11","BURTCH G, 2014, MIS QUART                    ","10.25300/MISQ/2014/38.3.07        "," 229"," 20.82"," 13.63"
"12","TANG J, 2011, ANAL CHEM                      ","10.1021/ac200969w                 "," 216"," 15.43","  6.13"
"13","CHEN TG, 2020, HEALTHCARE-BASEL              ","10.3390/healthcare8030200         "," 194"," 38.80"," 14.78"
"14","CHEN L, 2017, NEW MEDIA SOC                  ","10.1177/1461444816634037          "," 192"," 24.00"," 13.41"
"15","CHEN LJ, 2020, IEEE ACCESS                   ","10.1109/ACCESS.2020.2988510       "," 190"," 38.00"," 14.47"
"16","GREENHOW C, 2009, J COMPUT-MEDIAT COMM       ","10.1111/j.1083-6101.2009.01484.x  "," 187"," 11.69","  4.07"
"17","HIGGINS-DESBIOLLES F, 2020, J SUSTAIN TOUR   ","10.1080/09669582.2020.1803334     "," 182"," 36.40"," 13.87"
"18","VETROVSKY T, 2018, BIOINFORMATICS            ","10.1093/bioinformatics/bty071     "," 171"," 24.43"," 10.67"
"19","YUEN AHK, 2008, ASIA-PAC J TEACH EDU         ","10.1080/13598660802232779         "," 170"," 10.00","  9.57"
"20","ZAINUDDIN Z, 2016, INT REV RES OPEN DIS      ","NA                                "," 166"," 18.44"," 11.20"
"21","FRASER N, 2021, PLOS BIOL                    ","10.1371/journal.pbio.3000959      "," 165"," 41.25"," 20.39"
"22","ZHAO LJ, 2011, PHYSICA A                     ","10.1016/j.physa.2011.03.010       "," 159"," 11.36","  4.51"
"23","MALDONADO-MAHAUAD J, 2018, COMPUT HUM BEHAV  ","10.1016/j.chb.2017.11.011         "," 151"," 21.57","  9.42"
"24","YANIV Z, 2018, J DIGIT IMAGING               ","10.1007/s10278-017-0037-8         "," 147"," 21.00","  9.17"
"25","JIN JJ, 2013, BIOINFORMATICS                 ","10.1093/bioinformatics/btt107     "," 128"," 10.67","  5.21"
"26","LANGENKÄMPER D, 2017, FRONT MAR SCI          ","10.3389/fmars.2017.00083          "," 121"," 15.12","  8.45"
"27","VELETSIANOS G, 2015, BRIT J EDUC TECHNOL     ","10.1111/bjet.12297                "," 121"," 12.10","  8.20"
"28","EMERY SL, 2014, TOB CONTROL                  ","10.1136/tobaccocontrol-2014-051648"," 120"," 10.91","  7.14"
"29","MA J, 2015, INTERNET HIGH EDUC               ","10.1016/j.iheduc.2014.09.005      "," 120"," 12.00","  8.13"
"30","ALMAHASEES Z, 2021, FRONT EDUC               ","10.3389/feduc.2021.638470         "," 119"," 29.75"," 14.71"
"31","PAUL J, 2019, FRONT COMP SCI-SWITZ           ","10.3389/fcomp.2019.00007          "," 119"," 19.83","  5.33"
"32","CASTRO R, 2019, EDUC INF TECHNOL             ","10.1007/s10639-019-09886-3        "," 112"," 18.67","  5.02"
"33","LAPITAN LDS, 2020, EDUC CHEM ENG             ","10.1016/j.ece.2021.01.012         "," 108"," 21.60","  8.23"
"34","PARK A, 2018, COMPUT HUM BEHAV               ","10.1016/j.chb.2017.09.001         "," 106"," 15.14","  6.62"
"35","CAMARGO CP, 2020, CLINICS                    ","10.6061/clinics/2020/e2286        "," 104"," 20.80","  7.92"
"36","XU B, 2016, J BUS RES                        ","10.1016/j.jbusres.2015.06.040     "," 104"," 11.56","  7.01"
"37","CHAN WSY, 2018, J MED INTERNET RES           ","10.2196/jmir.8382                 "," 104"," 14.86","  6.49"
"38","GAO GX, 2018, EUR J OPER RES                 ","10.1016/j.ejor.2017.12.006        "," 103"," 14.71","  6.43"
"39","HUANG H, 2019, NAT COMMUN                    ","10.1038/s41467-019-10778-w        "," 102"," 17.00","  4.57"
"40","BLOHM P, 2014, NUCLEIC ACIDS RES             ","10.1093/nar/gkt1079               ","  99","  9.00","  5.89"
"41","CHEN TG, 2020, SUSTAINABILITY-BASEL          ","10.3390/su12187329                ","  97"," 19.40","  7.39"
"42","OTTESEN EA, 2011, ISME J                     ","10.1038/ismej.2011.70             ","  96","  6.86","  2.72"
"43","EL-DIRABY T, 2017, AUTOMAT CONSTR            ","10.1016/j.autcon.2017.06.004      ","  95"," 11.88","  6.64"
"44","GASEVIC D, 2019, COMPUT HUM BEHAV            ","10.1016/j.chb.2018.07.003         ","  94"," 15.67","  4.21"
"45","BIASUTTI M, 2011, COMPUT EDUC                ","10.1016/j.compedu.2011.04.006     ","  93","  6.64","  2.64"
"46","TZANETAKIS M, 2016, INT J DRUG POLICY        ","10.1016/j.drugpo.2015.12.010      ","  93"," 10.33","  6.27"
"47","LI G, 2021, PROD OPER MANAG                  ","10.1111/poms.13460                ","  92"," 23.00"," 11.37"
"48","ELSISI M, 2022, MEASUREMENT                  ","10.1016/j.measurement.2021.110686 ","  92"," 30.67"," 26.53"
"49","ZHENG HC, 2016, ONLINE INFORM REV            ","10.1108/OIR-04-2015-0099          ","  91"," 10.11","  6.14"
"50","BIASUTTI M, 2012, COMPUT EDUC                ","10.1016/j.compedu.2012.04.009     ","  90","  6.92","  6.17"
"51","KHATRI C, 2015, PLOS ONE                     ","10.1371/journal.pone.0118899      ","  90","  9.00","  6.10"
"52","FISCHER G, 2014, DISTANCE EDUC               ","10.1080/01587919.2014.920752      ","  89","  8.09","  5.30"
"53","GATHMANN B, 2012, CLIN EXP IMMUNOL           ","10.1111/j.1365-2249.2011.04542.x  ","  89","  6.85","  6.10"
"54","JIANG CQ, 2018, ANN OPER RES                 ","10.1007/s10479-017-2668-z         ","  88"," 12.57","  5.49"
