"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","LI J                ","15","LIU Y               ","5.15"
"2","LIU Y               ","15","WANG L              ","4.33"
"3","WANG J              ","15","WANG Y              ","4.28"
"4","WANG L              ","15","LI J                ","4.10"
"5","WANG H              ","14","WANG J              ","3.96"
"6","WANG Y              ","14","ZHANG Y             ","3.39"
"7","CHEN Y              ","13","LI X                ","3.29"
"8","LI Y                ","12","ZHANG Q             ","3.26"
"9","ZHANG Q             ","12","LI L                ","3.17"
"10","ZHANG Y             ","12","ARAÚJO I            ","3.00"
"11","LI L                ","10","YANG J              ","2.75"
"12","LI X                ","10","ZHAO Y              ","2.73"
"13","WANG C              ","10","YANG Y              ","2.57"
"14","ZHANG L             ","10","WANG C              ","2.49"
"15","ZHAO Y              ","10","CHEN Y              ","2.49"
"16","LI Q                "," 9","ZHANG W             ","2.47"
"17","LIU J               "," 9","WANG H              ","2.47"
"18","YANG Y              "," 9","ZHANG L             ","2.46"
"19","ZHANG B             "," 9","ZHOU Y              ","2.38"
"20","ZHANG X             "," 9","KIM Y               ","2.28"
"21","CHEN H              "," 8","YANG L              ","2.24"
"22","LI H                "," 8","PENG W              ","2.20"
"23","LI Z                "," 8","XIAO J              ","2.15"
"24","WANG Q              "," 8","LI Q                ","2.15"
"25","WU J                "," 8","LI Y                ","2.10"
"26","YANG J              "," 8","XU B                ","2.06"
"27","CHEN X              "," 7","WU J                ","2.03"
"28","KOO C               "," 7","ALT D               ","2.00"
"29","LEE J               "," 7","ANNAMALAI N         ","2.00"
"30","LIU H               "," 7","BATAEV AV           ","2.00"
"31","LU Y                "," 7","BIASUTTI M          ","2.00"
"32","WANG JJ             "," 7","CHIRCU S            ","2.00"
"33","WANG X              "," 7","DARVIN R            ","2.00"
"34","WU Y                "," 7","DÖRING N            ","2.00"
"35","XIAO J              "," 7","HORVÁTH I           ","2.00"
"36","HUANG L             "," 6","LIANG JS            ","2.00"
"37","KIM J               "," 6","TAN C               ","2.00"
"38","LIU C               "," 6","YAGCI M             ","2.00"
"39","MAJUMDAR R          "," 6","KIM J               ","1.87"
"40","WANG F              "," 6","LI Z                ","1.86"
"41","WANG JY             "," 6","LIU H               ","1.84"
"42","WANG T              "," 6","YU ZG               ","1.83"
"43","WANG W              "," 6","ZHANG B             ","1.83"
"44","XU B                "," 6","WANG JY             ","1.82"
"45","XU J                "," 6","WANG SY             ","1.80"
"46","YANG L              "," 6","KOO C               ","1.78"
"47","YANG S              "," 6","ZHANG H             ","1.78"
"48","ZHANG J             "," 6","ZHANG X             ","1.76"
"49","ZHANG W             "," 6","CHEN H              ","1.75"
"50","ZHOU Q              "," 6","CAO H               ","1.75"
"51","ZHOU Y              "," 6","MAJUMDAR R          ","1.67"
"52","ARAÚJO I            "," 5","LIU J               ","1.66"
"53","CHEN JH             "," 5","SHI J               ","1.62"
"54","CHEN L              "," 5","WANG Q              ","1.62"
"55","CHEN SY             "," 5","WANG HX             ","1.60"
"56","CHIU DKW            "," 5","WANG JJ             ","1.59"
"57","FAN F               "," 5","JOHRI A             ","1.58"
"58","HUANG Y             "," 5","WU Y                ","1.58"
"59","KIM H               "," 5","CHEN X              ","1.57"
"60","KIM Y               "," 5","LIU C               ","1.56"
"61","LEE H               "," 5","LI LF               ","1.54"
"62","LI C                "," 5","LEE S               ","1.54"
"63","LI T                "," 5","ZHANG S             ","1.53"
"64","LI XJ               "," 5","LI XG               ","1.53"
"65","LI YJ               "," 5","BURHAN-HORASANLI E  ","1.50"
"66","LIU F               "," 5","CABRITA I           ","1.50"
"67","MA J                "," 5","MIHAESCU V          ","1.50"
"68","RUIPÉREZ-VALIENTE JA"," 5","QI Y                ","1.50"
"69","SHARMA S            "," 5","ROBERTSON S         ","1.50"
"70","SHI J               "," 5","WANG YQ             ","1.46"
"71","SINGH A             "," 5","PARK S              ","1.45"
"72","SINGH M             "," 5","LEE J               ","1.42"
"73","WANG M              "," 5","LUJÁN-MORA S        ","1.42"
"74","WANG SY             "," 5","HUANG J             ","1.39"
"75","WANG YF             "," 5","LI H                ","1.39"
"76","WANG ZY             "," 5","KIM H               ","1.37"
"77","YU WF               "," 5","ANTWI-BOAMPONG A    ","1.33"
"78","ZHANG H             "," 5","CHIU DKW            ","1.33"
"79","ZHANG S             "," 5","JIANG J             ","1.33"
"80","ZHANG YX            "," 5","LAI IKW             ","1.33"
"81","ZHENG H             "," 5","LI LQ               ","1.33"
"82","ZHOU J              "," 5","LI MY               ","1.33"
"83","CHEN M              "," 4","PENG J              ","1.33"
"84","CHEN Q              "," 4","WANG CX             ","1.33"
"85","CHEN XL             "," 4","ZHANG XF            ","1.33"
"86","CHEN XM             "," 4","ZHAO YX             ","1.33"
"87","CHEN YF             "," 4","HUANG L             ","1.32"
"88","CHENG Y             "," 4","LI T                ","1.31"
"89","DASCALU M           "," 4","ZHANG ZY            ","1.31"
"90","GAO P               "," 4","LI YH               ","1.31"
"91","GAO Y               "," 4","WANG W              ","1.30"
"92","GASEVIC D           "," 4","KIM S               ","1.28"
"93","GOTLIB J            "," 4","LEE D               ","1.28"
"94","HUANG J             "," 4","WANG ZY             ","1.27"
"95","JIANG J             "," 4","CHEN L              ","1.26"
"96","JOHRI A             "," 4","LI C                ","1.26"
"97","KHAN S              "," 4","AINOUTDINOVA I      ","1.25"
"98","KIM S               "," 4","BLAGOVESHCHENSKAYA A","1.25"
"99","KUMAR R             "," 4","CHANG A             ","1.25"
"100","KUMAR S             "," 4","CHEN XF             ","1.25"
