"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","CHINA          ","1008","0.293963","830","178","0.1766"
"2","USA            "," 382","0.111403","318"," 64","0.1675"
"3","SPAIN          "," 159","0.046369","124"," 35","0.2201"
"4","UNITED KINGDOM "," 146","0.042578"," 90"," 56","0.3836"
"5","INDIA          "," 107","0.031204"," 91"," 16","0.1495"
"6","AUSTRALIA      "," 102","0.029746"," 75"," 27","0.2647"
"7","GERMANY        "," 101","0.029455"," 67"," 34","0.3366"
"8","MALAYSIA       ","  93","0.027122"," 71"," 22","0.2366"
"9","RUSSIA         ","  92","0.026830"," 83","  9","0.0978"
"10","ROMANIA        ","  78","0.022747"," 62"," 16","0.2051"
"11","BRAZIL         ","  71","0.020706"," 59"," 12","0.1690"
"12","KOREA          ","  68","0.019831"," 48"," 20","0.2941"
"13","CANADA         ","  66","0.019248"," 47"," 19","0.2879"
"14","ITALY          ","  55","0.016040"," 40"," 15","0.2727"
"15","JAPAN          ","  45","0.013123"," 32"," 13","0.2889"
"16","INDONESIA      ","  41","0.011957"," 32","  9","0.2195"
"17","PORTUGAL       ","  37","0.010790"," 34","  3","0.0811"
"18","SOUTH AFRICA   ","  36","0.010499"," 29","  7","0.1944"
"19","UKRAINE        ","  36","0.010499"," 34","  2","0.0556"
"20","TURKEY         ","  35","0.010207"," 29","  6","0.1714"
"21","SAUDI ARABIA   ","  30","0.008749"," 21","  9","0.3000"
"22","NETHERLANDS    ","  28","0.008166"," 12"," 16","0.5714"
"23","SINGAPORE      ","  27","0.007874"," 16"," 11","0.4074"
"24","IRELAND        ","  23","0.006707"," 16","  7","0.3043"
"25","ISRAEL         ","  22","0.006416"," 18","  4","0.1818"
"26","CZECH REPUBLIC ","  21","0.006124"," 17","  4","0.1905"
"27","FINLAND        ","  20","0.005833"," 12","  8","0.4000"
"28","FRANCE         ","  20","0.005833"," 11","  9","0.4500"
"29","SWEDEN         ","  19","0.005541"," 15","  4","0.2105"
"30","AUSTRIA        ","  16","0.004666","  8","  8","0.5000"
"31","BELGIUM        ","  16","0.004666"," 10","  6","0.3750"
"32","ECUADOR        ","  16","0.004666","  7","  9","0.5625"
"33","HUNGARY        ","  16","0.004666"," 15","  1","0.0625"
"34","MEXICO         ","  16","0.004666"," 15","  1","0.0625"
"35","MOROCCO        ","  16","0.004666"," 12","  4","0.2500"
"36","POLAND         ","  16","0.004666"," 13","  3","0.1875"
"37","THAILAND       ","  16","0.004666"," 12","  4","0.2500"
"38","GREECE         ","  15","0.004374"," 11","  4","0.2667"
"39","SERBIA         ","  15","0.004374","  9","  6","0.4000"
"40","NORWAY         ","  14","0.004083","  7","  7","0.5000"
"41","PHILIPPINES    ","  14","0.004083"," 11","  3","0.2143"
"42","BULGARIA       ","  13","0.003791"," 11","  2","0.1538"
"43","COLOMBIA       ","  13","0.003791"," 12","  1","0.0769"
"44","CYPRUS         ","  13","0.003791","  9","  4","0.3077"
