"","Sources       ","Articles"
"1","SUSTAINABILITY                                                                      ","73"
"2","FRONTIERS IN PSYCHOLOGY                                                             ","42"
"3","IEEE ACCESS                                                                         ","35"
"4","EDUCATION AND INFORMATION TECHNOLOGIES                                              ","33"
"5","JOURNAL OF MEDICAL INTERNET RESEARCH                                                ","30"
"6","PLOS ONE                                                                            ","30"
"7","COMPUTERS & EDUCATION                                                               ","28"
"8","INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING                          ","26"
"9","BMC MEDICAL EDUCATION                                                               ","25"
"10","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH                   ","24"
"11","EDUCATION SCIENCES                                                                  ","23"
"12","INTERACTIVE LEARNING ENVIRONMENTS                                                   ","23"
"13","COMPUTER APPLICATIONS IN ENGINEERING EDUCATION                                      ","22"
"14","FRONTIERS IN PUBLIC HEALTH                                                          ","20"
"15","APPLIED SCIENCES-BASEL                                                              ","18"
"16","COMPUTERS IN HUMAN BEHAVIOR                                                         ","14"
"17","WIRELESS COMMUNICATIONS & MOBILE COMPUTING                                          ","14"
"18","9TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES (EDULEARN17)","13"
"19","BMJ OPEN                                                                            ","13"
"20","EDULEARN18: 10TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES","13"
"21","FRONTIERS IN EDUCATION                                                              ","12"
"22","INFORMATION TECHNOLOGIES AND LEARNING TOOLS                                         ","12"
"23","MOBILE INFORMATION SYSTEMS                                                          ","12"
"24","ONLINE INFORMATION REVIEW                                                           ","12"
"25","11TH INTERNATIONAL CONFERENCE OF EDUCATION RESEARCH AND INNOVATION (ICERI2018)      ","11"
"26","14TH INTERNATIONAL TECHNOLOGY EDUCATION AND DEVELOPMENT CONFERENCE (INTED2020)      ","11"
"27","BIOINFORMATICS                                                                      ","11"
"28","CUREUS JOURNAL OF MEDICAL SCIENCE                                                   ","11"
"29","EDULEARN19: 11TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES","11"
"30","HELIYON                                                                             ","11"
"31","INTERNATIONAL REVIEW OF RESEARCH IN OPEN AND DISTRIBUTED LEARNING                   ","11"
"32","NURSE EDUCATION TODAY                                                               ","11"
"33","SAGE OPEN                                                                           ","11"
"34","TECHNOLOGY KNOWLEDGE AND LEARNING                                                   ","11"
"35","13TH INTERNATIONAL TECHNOLOGY EDUCATION AND DEVELOPMENT CONFERENCE (INTED2019)      ","10"
"36","BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY                                           ","10"
"37","JOURNAL OF CHEMICAL EDUCATION                                                       ","10"
"38","JOURNAL OF INFORMATION TECHNOLOGY EDUCATION-RESEARCH                                ","10"
"39","COMPUTER ASSISTED LANGUAGE LEARNING                                                 "," 9"
"40","EDULEARN16: 8TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES "," 9"
"41","SCIENTIFIC PROGRAMMING                                                              "," 9"
"42","TURKISH ONLINE JOURNAL OF DISTANCE EDUCATION                                        "," 9"
"43","12TH INTERNATIONAL TECHNOLOGY EDUCATION AND DEVELOPMENT CONFERENCE (INTED)          "," 8"
"44","BMC PUBLIC HEALTH                                                                   "," 8"
"45","COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE                                         "," 8"
"46","FRONTIERS IN MEDICINE                                                               "," 8"
"47","INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS                 "," 8"
"48","INTERNATIONAL JOURNAL OF EARLY CHILDHOOD SPECIAL EDUCATION                          "," 8"
"49","JOURNAL OF EDUCATION AND HEALTH PROMOTION                                           "," 8"
"50","JOURNAL OF SURGICAL EDUCATION                                                       "," 8"
"51","LEARNING MEDIA AND TECHNOLOGY                                                       "," 8"
"52","REVISTA ROMANEASCA PENTRU EDUCATIE MULTIDIMENSIONALA                                "," 8"
"53","ANALYTICAL CHEMISTRY                                                                "," 7"
"54","COMUNICAR                                                                           "," 7"
