"","Country     ","Total Citations","Average Article Citations"
"1","CHINA          ","9332","  9.258"
"2","USA            ","5943"," 15.558"
"3","JAPAN          ","4650","103.333"
"4","UNITED KINGDOM ","1718"," 11.767"
"5","SPAIN          ","1317","  8.283"
"6","GERMANY        ","1278"," 12.653"
"7","AUSTRALIA      ","1111"," 10.892"
"8","CANADA         "," 649","  9.833"
"9","KOREA          "," 555","  8.162"
"10","ITALY          "," 530","  9.636"
"11","SINGAPORE      "," 508"," 18.815"
"12","NORWAY         "," 444"," 31.714"
"13","MALAYSIA       "," 436","  4.688"
"14","INDIA          "," 368","  3.439"
"15","IRAQ           "," 314"," 78.500"
"16","BRAZIL         "," 311","  4.380"
"17","JORDAN         "," 308"," 30.800"
"18","ISRAEL         "," 285"," 12.955"
"19","CZECH REPUBLIC "," 268"," 12.762"
"20","NETHERLANDS    "," 230","  8.214"
"21","TURKEY         "," 229","  6.543"
"22","INDONESIA      "," 226","  5.512"
"23","FINLAND        "," 214"," 10.700"
"24","ROMANIA        "," 212","  2.718"
"25","RUSSIA         "," 201","  2.185"
"26","AUSTRIA        "," 197"," 12.312"
"27","CHILE          "," 192"," 16.000"
"28","PHILIPPINES    "," 186"," 13.286"
"29","IRELAND        "," 170","  7.391"
"30","MOROCCO        "," 168"," 10.500"
"31","SERBIA         "," 157"," 10.467"
"32","SAUDI ARABIA   "," 146","  4.867"
"33","BELGIUM        "," 140","  8.750"
"34","COLOMBIA       "," 139"," 10.692"
"35","SWEDEN         "," 129","  6.789"
"36","EGYPT          "," 108","  9.000"
"37","PORTUGAL       "," 108","  2.919"
"38","HUNGARY        "," 107","  6.688"
"39","NEW ZEALAND    ","  99","  8.250"
"40","CROATIA        ","  94"," 13.429"
"41","SWITZERLAND    ","  83","  6.385"
"42","FRANCE         ","  75","  3.750"
"43","ECUADOR        ","  69","  4.312"
"44","SLOVAKIA       ","  67","  6.700"
"45","GREECE         ","  63","  4.200"
"46","MEXICO         ","  62","  3.875"
"47","UKRAINE        ","  55","  1.528"
"48","DENMARK        ","  50","  6.250"
"49","CYPRUS         ","  43","  3.308"
"50","SOUTH AFRICA   ","  43","  1.194"
"51","QATAR          ","  40","  5.714"
"52","SLOVENIA       ","  39","  5.571"
"53","THAILAND       ","  33","  2.062"
"54","KUWAIT         ","  32"," 10.667"
"55","POLAND         ","  29","  1.812"
"56","U ARAB EMIRATES","  29","  3.625"
"57","GHANA          ","  27","  4.500"
"58","CAMEROON       ","  23"," 11.500"
"59","TANZANIA       ","  21","  7.000"
"60","VIETNAM        ","  19","  3.800"
"61","BRUNEI         ","  17","  4.250"
"62","BULGARIA       ","  17","  1.308"
"63","LEBANON        ","  17","  5.667"
"64","NIGERIA        ","  17","  3.400"
"65","TUNISIA        ","  17","  8.500"
"66","LATVIA         ","  16","  1.778"
"67","GEORGIA        ","  13"," 13.000"
"68","KENYA          ","  13"," 13.000"
"69","BOSNIA         ","  10","  2.500"
"70","ARGENTINA      ","   9","  1.800"
"71","VENEZUELA      ","   8","  8.000"
"72","ESTONIA        ","   7","  2.333"
"73","PERU           ","   6","  1.200"
"74","YEMEN          ","   6","  3.000"
"75","IRAN           ","   4","  0.500"
"76","PAKISTAN       ","   4","  0.400"
"77","ALGERIA        ","   3","  3.000"
"78","COSTA RICA     ","   3","  3.000"
"79","FIJI           ","   3","  3.000"
"80","KAZAKHSTAN     ","   3","  0.429"
"81","LITHUANIA      ","   3","  0.750"
"82","AFGHANISTAN    ","   2","  1.000"
"83","GUATEMALA      ","   2","  2.000"
"84","GUINEA         ","   2","  2.000"
"85","MAURITIUS      ","   2","  1.000"
"86","MOLDOVA        ","   2","  1.000"
"87","SRI LANKA      ","   2","  0.667"
"88","BAHRAIN        ","   1","  1.000"
"89","BELARUS        ","   1","  1.000"
"90","OMAN           ","   1","  0.500"
"91","PANAMA         ","   1","  0.500"
"92","URUGUAY        ","   1","  1.000"
"93","ARMENIA        ","   0","  0.000"
"94","BANGLADESH     ","   0","  0.000"
"95","CAMBODIA       ","   0","  0.000"
"96","KOSOVO         ","   0","  0.000"
"97","MALTA          ","   0","  0.000"
"98","MONTENEGRO     ","   0","  0.000"
"99","MOZAMBIQUE     ","   0","  0.000"
"100","NAMIBIA        ","   0","  0.000"
