"Year","Articles","MeanTCperArt","MeanTCperYear"
2004,2,27.5,1.375
2005,2,0,0
2006,2,0,0
2007,8,6.375,0.375
2008,13,17.7692307692308,1.11057692307692
2009,14,45.9285714285714,3.06190476190476
2010,16,14.125,1.00892857142857
2011,35,35.2571428571429,2.71208791208791
2012,38,14.5789473684211,1.21491228070175
2013,49,24.5510204081633,2.23191094619666
2014,74,16.7972972972973,1.67972972972973
2015,102,14.7549019607843,1.63943355119826
2016,133,14.8270676691729,1.85338345864662
2017,202,14.3168316831683,2.04526166902405
2018,222,16.0225225225225,2.67042042042042
2019,315,22.3301587301587,4.46603174603175
2020,348,13.1264367816092,3.2816091954023
2021,598,8.09030100334448,2.69676700111483
2022,677,3.46824224519941,1.73412112259971
2023,660,1.26060606060606,1.26060606060606
