"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",3,"JAPAN          ",4650,103.333,45,32,13,0.2889
"2",15,"IRAQ           ",314,78.5,4,2,2,0.5
"3",12,"NORWAY         ",444,31.714,14,7,7,0.5
"4",17,"JORDAN         ",308,30.8,10,6,4,0.4
"5",11,"SINGAPORE      ",508,18.815,27,16,11,0.4074
"6",27,"CHILE          ",192,16,12,8,4,0.3333
"7",2,"USA            ",5943,15.558,382,318,64,0.1675
"8",40,"CROATIA        ",94,13.429,7,7,0,0
"9",28,"PHILIPPINES    ",186,13.286,14,11,3,0.2143
"10",67,"GEORGIA        ",13,13,1,1,0,0
"11",68,"KENYA          ",13,13,1,0,1,1
"12",18,"ISRAEL         ",285,12.955,22,18,4,0.1818
"13",19,"CZECH REPUBLIC ",268,12.762,21,17,4,0.1905
"14",6,"GERMANY        ",1278,12.653,101,67,34,0.3366
"15",26,"AUSTRIA        ",197,12.312,16,8,8,0.5
"16",4,"UNITED KINGDOM ",1718,11.767,146,90,56,0.3836
"17",58,"CAMEROON       ",23,11.5,2,0,2,1
"18",7,"AUSTRALIA      ",1111,10.892,102,75,27,0.2647
"19",23,"FINLAND        ",214,10.7,20,12,8,0.4
"20",34,"COLOMBIA       ",139,10.692,13,12,1,0.0769
"21",54,"KUWAIT         ",32,10.667,3,2,1,0.3333
"22",30,"MOROCCO        ",168,10.5,16,12,4,0.25
"23",31,"SERBIA         ",157,10.467,15,9,6,0.4
"24",8,"CANADA         ",649,9.833,66,47,19,0.2879
"25",10,"ITALY          ",530,9.636,55,40,15,0.2727
"26",1,"CHINA          ",9332,9.258,1008,830,178,0.1766
"27",36,"EGYPT          ",108,9,12,6,6,0.5
"28",33,"BELGIUM        ",140,8.75,16,10,6,0.375
"29",65,"TUNISIA        ",17,8.5,2,1,1,0.5
"30",5,"SPAIN          ",1317,8.283,159,124,35,0.2201
"31",39,"NEW ZEALAND    ",99,8.25,12,6,6,0.5
"32",20,"NETHERLANDS    ",230,8.214,28,12,16,0.5714
"33",9,"KOREA          ",555,8.162,68,48,20,0.2941
"34",29,"IRELAND        ",170,7.391,23,16,7,0.3043
"35",59,"TANZANIA       ",21,7,3,1,2,0.6667
"36",35,"SWEDEN         ",129,6.789,19,15,4,0.2105
"37",44,"SLOVAKIA       ",67,6.7,10,5,5,0.5
"38",38,"HUNGARY        ",107,6.688,16,15,1,0.0625
"39",21,"TURKEY         ",229,6.543,35,29,6,0.1714
"40",41,"SWITZERLAND    ",83,6.385,13,5,8,0.6154
"41",48,"DENMARK        ",50,6.25,8,4,4,0.5
"42",51,"QATAR          ",40,5.714,7,4,3,0.4286
"43",63,"LEBANON        ",17,5.667,3,1,2,0.6667
"44",52,"SLOVENIA       ",39,5.571,7,4,3,0.4286
"45",22,"INDONESIA      ",226,5.512,41,32,9,0.2195
"46",32,"SAUDI ARABIA   ",146,4.867,30,21,9,0.3
"47",13,"MALAYSIA       ",436,4.688,93,71,22,0.2366
"48",57,"GHANA          ",27,4.5,6,3,3,0.5
"49",16,"BRAZIL         ",311,4.38,71,59,12,0.169
"50",43,"ECUADOR        ",69,4.312,16,7,9,0.5625
"51",61,"BRUNEI         ",17,4.25,4,1,3,0.75
"52",45,"GREECE         ",63,4.2,15,11,4,0.2667
"53",46,"MEXICO         ",62,3.875,16,15,1,0.0625
"54",60,"VIETNAM        ",19,3.8,5,5,0,0
"55",42,"FRANCE         ",75,3.75,20,11,9,0.45
"56",56,"U ARAB EMIRATES",29,3.625,8,6,2,0.25
"57",14,"INDIA          ",368,3.439,107,91,16,0.1495
"58",64,"NIGERIA        ",17,3.4,5,3,2,0.4
"59",49,"CYPRUS         ",43,3.308,13,9,4,0.3077
"60",73,"YEMEN          ",6,3,2,1,1,0.5
"61",76,"ALGERIA        ",3,3,1,1,0,0
"62",77,"COSTA RICA     ",3,3,1,1,0,0
"63",78,"FIJI           ",3,3,1,1,0,0
"64",37,"PORTUGAL       ",108,2.919,37,34,3,0.0811
"65",24,"ROMANIA        ",212,2.718,78,62,16,0.2051
"66",69,"BOSNIA         ",10,2.5,4,0,4,1
"67",71,"ESTONIA        ",7,2.333,3,2,1,0.3333
"68",25,"RUSSIA         ",201,2.185,92,83,9,0.0978
"69",53,"THAILAND       ",33,2.062,16,12,4,0.25
"70",82,"GUATEMALA      ",2,2,1,0,1,1
"71",83,"GUINEA         ",2,2,1,0,1,1
"72",55,"POLAND         ",29,1.812,16,13,3,0.1875
"73",70,"ARGENTINA      ",9,1.8,5,4,1,0.2
"74",66,"LATVIA         ",16,1.778,9,6,3,0.3333
"75",47,"UKRAINE        ",55,1.528,36,34,2,0.0556
"76",62,"BULGARIA       ",17,1.308,13,11,2,0.1538
"77",72,"PERU           ",6,1.2,5,3,2,0.4
"78",50,"SOUTH AFRICA   ",43,1.194,36,29,7,0.1944
