"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","1991:2023"
"3","Sources (Journals, Books, etc)","698"
"4","Documents","1833"
"5","Annual Growth Rate %","18.72"
"6","Document Average Age","4.71"
"7","Average citations per doc","14.36"
"8","Average citations per year per doc","1.968"
"9","References","44435"
"10","DOCUMENT TYPES",""
"11","article","1187"
"12","article; data paper","1"
"13","article; early access","38"
"14","article; proceedings paper","26"
"15","article; retracted publication","1"
"16","editorial material","4"
"17","meeting abstract","1"
"18","proceedings paper","552"
"19","proceedings paper; retracted publication","1"
"20","review","21"
"21","review; early access","1"
"22","DOCUMENT CONTENTS",""
"23","Keywords Plus (ID)","1819"
"24","Author's Keywords (DE)","5032"
"25","AUTHORS",""
"26","Authors","5309"
"27","Author Appearances","8072"
"28","Authors of single-authored docs","51"
"29","AUTHORS COLLABORATION",""
"30","Single-authored docs","61"
"31","Documents per Author","0.345"
"32","Co-Authors per Doc","4.4"
"33","International co-authorships %","29.08"
"34","",""
