"","Paper         ","DOI","TC","TCperYear","NTC"
"1","SCHNABEL R, 2007, COMPUT GRAPH FORUM                                                               ","10.1111/j.1467-8659.2007.01016.x               ","1263"," 70.17","11.635"
"2","CHECKO A, 2015, IEEE COMMUN SURV TUT                                                               ","10.1109/COMST.2014.2355255                     ","1021","102.10","22.588"
"3","CARR JC, 2001, COMP GRAPH                                                                          ","NA                                             "," 958"," 39.92"," 7.433"
"4","LI X, 2013, ACM T INTEL SYST TEC                                                                   ","10.1145/2508037.2508039                        "," 594"," 49.50","10.849"
"5","RÖSSLER A, 2019, IEEE I CONF COMP VIS                                                              ","10.1109/ICCV.2019.00009                        "," 587"," 97.83","27.181"
"6","RAHMANI AM, 2018, FUTURE GENER COMP SY                                                             ","10.1016/j.future.2017.02.014                   "," 565"," 80.71","25.962"
"7","ENCINAR JM, 2005, IND ENG CHEM RES                                                                 ","10.1021/ie040214f                              "," 379"," 18.95"," 4.590"
"8","ENCINAR JM, 2002, ENERG FUEL                                                                       ","10.1021/ef010174h                              "," 350"," 15.22"," 2.865"
"9","MORRIS M, 1993, ASTROPHYS J                                                                        ","10.1086/172607                                 "," 334"," 10.44"," 3.093"
"10","SAJJADI B, 2016, RENEW SUST ENERG REV                                                              ","10.1016/j.rser.2016.05.035                     "," 310"," 34.44"," 7.743"
"11","SCHWARZ S, 2019, IEEE J EM SEL TOP C                                                               ","10.1109/JETCAS.2018.2885981                    "," 306"," 51.00","14.169"
"12","ENCINAR JM, 2007, FUEL PROCESS TECHNOL                                                             ","10.1016/j.fuproc.2007.01.002                   "," 298"," 16.56"," 2.745"
"13","ATMANLI A, 2016, FUEL-a                                                                            ","10.1016/j.fuel.2016.02.076                     "," 286"," 31.78"," 7.144"
"14","ELMEGREEN BG, 2002, ASTROPHYS J                                                                    ","10.1086/342177                                 "," 278"," 12.09"," 2.276"
"15","MEKURIA R, 2017, IEEE T CIRC SYST VID                                                              ","10.1109/TCSVT.2016.2543039                     "," 233"," 29.12","12.954"
"16","KAMMERL J, 2012, IEEE INT CONF ROBOT                                                               ","NA                                             "," 228"," 17.54"," 8.479"
"17","PARK SH, 2013, IEEE T SIGNAL PROCES                                                                ","10.1109/TSP.2013.2280111                       "," 209"," 17.42"," 3.817"
"18","SCHNEIDER N, 2013, ASTROPHYS J LETT                                                                ","10.1088/2041-8205/766/2/L17                    "," 188"," 15.67"," 3.434"
"19","TE GS, 2018, PROCEEDINGS OF THE 2018 ACM MULTIMEDIA CONFERENCE (MM'18)                             ","10.1145/3240508.3240621                        "," 171"," 24.43"," 7.857"
"20","TIAN D, 2017, IEEE IMAGE PROC                                                                      ","NA                                             "," 170"," 21.25"," 9.451"
"21","THANOU D, 2016, IEEE T IMAGE PROCESS                                                               ","10.1109/TIP.2016.2529506                       "," 169"," 18.78"," 4.221"
"22","DE QUEIROZ RL, 2016, IEEE T IMAGE PROCESS                                                          ","10.1109/TIP.2016.2575005                       "," 166"," 18.44"," 4.146"
"23","OKUZUMI S, 2009, ASTROPHYS J                                                                       ","10.1088/0004-637X/698/2/1122                   "," 161"," 10.06"," 3.951"
"24","DUNN RO, 1995, J AM OIL CHEM SOC                                                                   ","10.1007/BF02542067                             "," 157","  5.23"," 2.039"
"25","DUNN RO, 1996, J AM OIL CHEM SOC                                                                   ","10.1007/BF02517978                             "," 154","  5.31"," 1.000"
"26","CHEN J, 2016, PHYS REV LETT                                                                        ","10.1103/PhysRevLett.116.025501                 "," 153"," 17.00"," 3.822"
"27","ATMANLI A, 2016, FUEL                                                                              ","10.1016/j.fuel.2016.01.013                     "," 151"," 16.78"," 3.772"
"28","PARK SH, 2013, IEEE T VEH TECHNOL                                                                  ","10.1109/TVT.2012.2226945                       "," 137"," 11.42"," 2.502"
"29","ZHANG C, 2014, IEEE IMAGE PROC                                                                     ","NA                                             "," 137"," 12.45"," 5.756"
"30","ELSEBERG J, 2013, ISPRS J PHOTOGRAMM                                                               ","10.1016/j.isprsjprs.2012.10.004                "," 133"," 11.08"," 2.429"
"31","FERNANDO S, 2007, ENERGY                                                                           ","10.1016/j.energy.2006.06.019                   "," 132","  7.33"," 1.216"
"32","DUNN RO, 2009, PROG ENERG COMBUST                                                                  ","10.1016/j.pecs.2009.07.002                     "," 132","  8.25"," 3.239"
"33","SIMEONE O, 2016, J COMMUN NETW-S KOR                                                               ","10.1109/JCN.2016.000023                        "," 129"," 14.33"," 3.222"
