"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","LI Z         ","41","LI Z         ","8.81"
"2","LIU S        ","30","DE QUEIROZ RL","8.67"
"3","LI L         ","28","CHOU PA      ","7.82"
"4","CHOU PA      ","25","DUNN RO      ","7.67"
"5","DE QUEIROZ RL","25","EBRAHIMI T   ","7.19"
"6","GAO W        ","24","LIU S        ","6.52"
"7","LI G         ","23","PEREIRA F    ","6.34"
"8","PEREIRA F    ","23","LI L         ","6.23"
"9","EBRAHIMI T   ","22","GAO W        ","5.47"
"10","XU YL        ","21","LI G         ","5.09"
"11","HOU JH       ","19","KIM J        ","4.93"
"12","LI J         ","19","MILANI S     ","4.83"
"13","WANG J       ","19","XU YL        ","4.73"
"14","YUAN H       ","19","HOU JH       ","4.52"
"15","KIM J        ","18","ZHANG Y      ","4.45"
"16","LIU Y        ","18","ALEXIOU E    ","4.43"
"17","ZHANG Y      ","18","ASCENSO J    ","4.28"
"18","LIU Q        ","17","WANG J       ","4.08"
"19","ALEXIOU E    ","15","YUAN H       ","3.98"
"20","LIU H        ","15","HU W         ","3.68"
"21","WANG Y       ","15","LIU Y        ","3.62"
"22","ASCENSO J    ","14","CESAR P      ","3.34"
"23","WANG C       ","14","LI J         ","3.28"
"24","HU W         ","13","WANG Y       ","3.19"
"25","LI HQ        ","12","LIU Q        ","3.16"
"26","LI Y         ","12","LIU H        ","3.13"
"27","SIMEONE O    ","12","SIMEONE O    ","3.12"
"28","YANG L       ","12","ZHANG X      ","2.98"
"29","ZHU WJ       ","12","LAZZAROTTO D ","2.98"
"30","CESAR P      ","11","LI HQ        ","2.95"
"31","GUO YL       ","11","ZHU WJ       ","2.88"
"32","LI X         ","11","LI Y         ","2.83"
"33","MA Z         ","11","GUARDA AFR   ","2.83"
"34","TIAN D       ","11","JANG ES      ","2.74"
"35","BRITES C     ","10","LI X         ","2.74"
"36","DUMIC E      ","10","SHAMAI S     ","2.58"
"37","DUNN RO      ","10","YANG FZ      ","2.57"
"38","HE Y         ","10","VALENZISE G  ","2.53"
"39","SCHWARZ S    ","10","YANG Y       ","2.53"
"40","SHAMAI S     ","10","WAN S        ","2.48"
"41","SHAO YT      ","10","WANG C       ","2.48"
"42","WANG H       ","10","SCHWARZ S    ","2.47"
"43","YANG FZ      ","10","TIAN D       ","2.47"
"44","YANG Y       ","10","BRITES C     ","2.45"
"45","YU M         ","10","KIM K        ","2.45"
"46","ZHANG H      ","10","GARCIA DC    ","2.42"
"47","ZHANG J      ","10","DUMIC E      ","2.40"
"48","ZHANG X      ","10","MA Z         ","2.35"
"49","CRUZ LAD     "," 9","PARK SH      ","2.33"
"50","GUARDA AFR   "," 9","DRICOT A     ","2.28"
"51","HAMZAOUI R   "," 9","QUACH M      ","2.28"
"52","JANG ES      "," 9","ZHANG J      ","2.23"
"53","KIM K        "," 9","YANG L       ","2.23"
"54","PARK SH      "," 9","XU D         ","2.23"
"55","SAHIN O      "," 9","LIU L        ","2.21"
"56","VALENZISE G  "," 9","SAHIN O      ","2.20"
"57","WANG L       "," 9","SOFUE Y      ","2.20"
"58","ZHANG W      "," 9","PAVEZ E      ","2.18"
"59","BEHLEY J     "," 8","RODRIGUES NMM","2.17"
"60","CHEN J       "," 8","DUFAUX F     ","2.15"
"61","COHEN RA     "," 8","KRIVOKUCA M  ","2.12"
"62","DUFAUX F     "," 8","ZHANG W      ","2.10"
"63","GARCIA DC    "," 8","CRUZ LAD     ","2.09"
"64","JIANG GY     "," 8","SHAO YT      ","2.07"
"65","KRIVOKUCA M  "," 8","ZHANG YJ     ","2.04"
"66","LAZZAROTTO D "," 8","VIOLA I      ","2.03"
"67","MILANI S     "," 8","ORTEGA A     ","2.02"
"68","ORTEGA A     "," 8","SUN XB       ","2.02"
"69","PAVEZ E      "," 8","YU M         ","2.02"
"70","QUACH M      "," 8","ATMANLI A    ","2.00"
"71","STACHNISS C  "," 8","ELMEGREEN BG ","2.00"
"72","SUN XB       "," 8","TAMILMATHI AC","2.00"
"73","VETRO A      "," 8","GUO ZM       ","1.96"
"74","WAN S        "," 8","LIU M        ","1.93"
"75","WANG HY      "," 8","COHEN RA     ","1.92"
"76","XU D         "," 8","DOREA C      ","1.92"
"77","AKHTAR A     "," 7","PEIXOTO E    ","1.92"
"78","CHEN C       "," 7","GUO YL       ","1.89"
"79","CHEN JW      "," 7","HAMZAOUI R   ","1.82"
"80","CHEN L       "," 7","ZHANG H      ","1.79"
"81","GUO ZM       "," 7","LEE S        ","1.78"
"82","KUO CCJ      "," 7","WANG ZC      ","1.78"
"83","LIN WS       "," 7","VETRO A      ","1.77"
"84","LIU C        "," 7","LIN WS       ","1.77"
"85","LIU D        "," 7","NGUYEN DT    ","1.75"
"86","LIU L        "," 7","WANG SK      ","1.73"
"87","LIU M        "," 7","HE Y         ","1.73"
"88","LIU YH       "," 7","MEKURIA R    ","1.72"
"89","LIU YP       "," 7","WANG HY      ","1.70"
"90","MA SW        "," 7","YANG J       ","1.68"
"91","PINHEIRO A   "," 7","YAN L        ","1.67"
"92","PREDA M      "," 7","GOLESTANI HB ","1.67"
"93","RODRIGUES NMM"," 7","KAYA EC      ","1.67"
"94","SU HL        "," 7","PAUL M       ","1.67"
"95","VIOLA I      "," 7","TABUS I      ","1.67"
"96","WANG B       "," 7","WANG H       ","1.66"
"97","WIESMANN L   "," 7","JIANG GY     ","1.65"
"98","WU Y         "," 7","LIU D        ","1.65"
"99","XU K         "," 7","WEI L        ","1.65"
"100","YANG Q       "," 7","WANG B       ","1.63"
