"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","CHINA          ","759","0.416347","565","194","0.256"
"2","USA            ","241","0.132200","168"," 73","0.303"
"3","KOREA          "," 79","0.043335"," 61"," 18","0.228"
"4","GERMANY        "," 76","0.041690"," 54"," 22","0.289"
"5","FRANCE         "," 62","0.034010"," 43"," 19","0.306"
"6","JAPAN          "," 58","0.031816"," 44"," 14","0.241"
"7","INDIA          "," 45","0.024685"," 40","  5","0.111"
"8","UNITED KINGDOM "," 40","0.021942"," 25"," 15","0.375"
"9","BRAZIL         "," 38","0.020845"," 23"," 15","0.395"
"10","ITALY          "," 36","0.019748"," 27","  9","0.250"
"11","PORTUGAL       "," 34","0.018651"," 29","  5","0.147"
"12","CANADA         "," 29","0.015908"," 20","  9","0.310"
"13","SWITZERLAND    "," 29","0.015908"," 17"," 12","0.414"
"14","SPAIN          "," 25","0.013714"," 21","  4","0.160"
"15","AUSTRALIA      "," 24","0.013165"," 10"," 14","0.583"
"16","FINLAND        "," 22","0.012068"," 13","  9","0.409"
"17","BELGIUM        "," 20","0.010971","  8"," 12","0.600"
"18","NETHERLANDS    "," 20","0.010971"," 13","  7","0.350"
"19","SINGAPORE      "," 20","0.010971","  6"," 14","0.700"
"20","POLAND         "," 13","0.007131"," 10","  3","0.231"
"21","ISRAEL         ","  9","0.004937","  7","  2","0.222"
"22","PAKISTAN       ","  9","0.004937","  4","  5","0.556"
"23","CROATIA        ","  8","0.004388","  4","  4","0.500"
"24","IRAN           ","  8","0.004388","  4","  4","0.500"
"25","RUSSIA         ","  8","0.004388","  8","  0","0.000"
"26","SWEDEN         ","  8","0.004388","  6","  2","0.250"
"27","AUSTRIA        ","  7","0.003840","  2","  5","0.714"
"28","EGYPT          ","  7","0.003840","  4","  3","0.429"
"29","IRELAND        ","  7","0.003840","  4","  3","0.429"
"30","GREECE         ","  6","0.003291","  5","  1","0.167"
"31","TURKEY         ","  6","0.003291","  5","  1","0.167"
"32","MALAYSIA       ","  5","0.002743","  4","  1","0.200"
"33","NORWAY         ","  5","0.002743","  2","  3","0.600"
"34","SAUDI ARABIA   ","  5","0.002743","  3","  2","0.400"
"35","CZECH REPUBLIC ","  4","0.002194","  2","  2","0.500"
"36","HUNGARY        ","  4","0.002194","  3","  1","0.250"
"37","NIGERIA        ","  4","0.002194","  3","  1","0.250"
"38","U ARAB EMIRATES","  4","0.002194","  1","  3","0.750"
"39","ARGENTINA      ","  3","0.001646","  1","  2","0.667"
"40","DENMARK        ","  3","0.001646","  2","  1","0.333"
"41","MEXICO         ","  3","0.001646","  2","  1","0.333"
"42","SLOVENIA       ","  3","0.001646","  2","  1","0.333"
"43","SOUTH AFRICA   ","  3","0.001646","  2","  1","0.333"
"44","INDONESIA      ","  2","0.001097","  1","  1","0.500"
"45","IRAQ           ","  2","0.001097","  1","  1","0.500"
"46","ROMANIA        ","  2","0.001097","  1","  1","0.500"
"47","THAILAND       ","  2","0.001097","  1","  1","0.500"
"48","BRUNEI         ","  1","0.000549","  0","  1","1.000"
"49","BULGARIA       ","  1","0.000549","  1","  0","0.000"
"50","CHILE          ","  1","0.000549","  1","  0","0.000"
"51","COLOMBIA       ","  1","0.000549","  1","  0","0.000"
"52","ETHIOPIA       ","  1","0.000549","  1","  0","0.000"
"53","FIJI           ","  1","0.000549","  0","  1","1.000"
"54","GHANA          ","  1","0.000549","  0","  1","1.000"
"55","MOLDOVA        ","  1","0.000549","  1","  0","0.000"
"56","NEW ZEALAND    ","  1","0.000549","  1","  0","0.000"
"57","PHILIPPINES    ","  1","0.000549","  0","  1","1.000"
"58","QATAR          ","  1","0.000549","  0","  1","1.000"
"59","SLOVAKIA       ","  1","0.000549","  1","  0","0.000"
"60","TUNISIA        ","  1","0.000549","  0","  1","1.000"
"61","UKRAINE        ","  1","0.000549","  1","  0","0.000"
"62","UZBEKISTAN     ","  1","0.000549","  0","  1","1.000"
"63","VIETNAM        ","  1","0.000549","  1","  0","0.000"
