"","Sources       ","Articles"
"1","IEEE ACCESS                                                                                 ","122"
"2","IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS                                     "," 66"
"3","IEEE ROBOTICS AND AUTOMATION LETTERS                                                        "," 56"
"4","IEEE SENSORS JOURNAL                                                                        "," 54"
"5","IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT                                        "," 51"
"6","IEEE TRANSACTIONS ON IMAGE PROCESSING                                                       "," 49"
"7","IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY                              "," 47"
"8","IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING                                          "," 44"
"9","IEEE TRANSACTIONS ON MULTIMEDIA                                                             "," 28"
"10","IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE                              "," 28"
"11","IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING            "," 26"
"12","IEEE GEOSCIENCE AND REMOTE SENSING LETTERS                                                  "," 23"
"13","IEEE SIGNAL PROCESSING LETTERS                                                              "," 22"
"14","SENSORS                                                                                     "," 21"
"15","ASTRONOMY & ASTROPHYSICS                                                                    "," 16"
"16","ASTROPHYSICAL JOURNAL                                                                       "," 16"
"17","IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS                                    "," 16"
"18","IEEE TRANSACTIONS ON INTELLIGENT VEHICLES                                                   "," 15"
"19","2021 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                               "," 13"
"20","IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS                                   "," 13"
"21","2019 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                               "," 10"
"22","2020 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                               "," 10"
"23","MULTIMEDIA TOOLS AND APPLICATIONS                                                           "," 10"
"24","2018 25TH IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                          ","  9"
"25","2020 IEEE 22ND INTERNATIONAL WORKSHOP ON MULTIMEDIA SIGNAL PROCESSING (MMSP)                ","  9"
"26","2022 IEEE INTERNATIONAL CONFERENCE ON VISUAL COMMUNICATIONS AND IMAGE PROCESSING (VCIP)     ","  9"
"27","IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY                                                   ","  9"
"28","2022 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING ICIP                                 ","  8"
"29","APPLIED SCIENCES-BASEL                                                                      ","  8"
"30","IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING                                     ","  8"
"31","MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY                                           ","  8"
"32","APPLIED OPTICS                                                                              ","  7"
"33","JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY                                                ","  7"
"34","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN                                           ","  7"
"35","2017 24TH IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                          ","  6"
"36","2020 TWELFTH INTERNATIONAL CONFERENCE ON QUALITY OF MULTIMEDIA EXPERIENCE (QOMEX)           ","  6"
"37","COMPUTER GRAPHICS FORUM                                                                     ","  6"
"38","COMPUTERS & GRAPHICS-UK                                                                     ","  6"
"39","IEEE INTERNET OF THINGS JOURNAL                                                             ","  6"
"40","IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS                                       ","  6"
