"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","5548"," 23.02"
"2","CHINA          ","4405","  5.80"
"3","GERMANY        ","2748"," 36.16"
"4","FRANCE         ","1265"," 20.40"
"5","SPAIN          ","1263"," 50.52"
"6","DENMARK        ","1021","340.33"
"7","NEW ZEALAND    "," 958","958.00"
"8","JAPAN          "," 895"," 15.43"
"9","BRAZIL         "," 649"," 17.08"
"10","NETHERLANDS    "," 638"," 31.90"
"11","INDIA          "," 625"," 13.89"
"12","UNITED KINGDOM "," 576"," 14.40"
"13","SWITZERLAND    "," 573"," 19.76"
"14","KOREA          "," 504","  6.38"
"15","ITALY          "," 491"," 13.64"
"16","TURKEY         "," 486"," 81.00"
"17","MALAYSIA       "," 480"," 96.00"
"18","FINLAND        "," 448"," 20.36"
"19","PORTUGAL       "," 422"," 12.41"
"20","AUSTRALIA      "," 362"," 15.08"
"21","BELGIUM        "," 266"," 13.30"
"22","CANADA         "," 197","  6.79"
"23","PAKISTAN       "," 145"," 16.11"
"24","NORWAY         "," 132"," 26.40"
"25","GREECE         "," 116"," 19.33"
"26","SINGAPORE      "," 116","  5.80"
"27","POLAND         "," 100","  7.69"
"28","SWEDEN         ","  84"," 10.50"
"29","NIGERIA        ","  77"," 19.25"
"30","ISRAEL         ","  76","  8.44"
"31","RUSSIA         ","  62","  7.75"
"32","ARGENTINA      ","  60"," 20.00"
"33","SAUDI ARABIA   ","  50"," 10.00"
"34","SOUTH AFRICA   ","  48"," 16.00"
"35","IRELAND        ","  39","  5.57"
"36","EGYPT          ","  35","  5.00"
"37","CROATIA        ","  31","  3.88"
"38","UZBEKISTAN     ","  31"," 31.00"
"39","MEXICO         ","  21","  7.00"
"40","IRAN           ","  20","  2.50"
"41","AUSTRIA        ","  16","  2.29"
"42","U ARAB EMIRATES","  12","  3.00"
"43","SLOVENIA       ","  10","  3.33"
"44","IRAQ           ","   8","  4.00"
"45","SLOVAKIA       ","   7","  7.00"
"46","ROMANIA        ","   6","  3.00"
"47","CZECH REPUBLIC ","   5","  1.25"
"48","INDONESIA      ","   5","  2.50"
"49","UKRAINE        ","   5","  5.00"
"50","COLOMBIA       ","   4","  4.00"
"51","THAILAND       ","   4","  2.00"
"52","FIJI           ","   2","  2.00"
"53","QATAR          ","   2","  2.00"
"54","HUNGARY        ","   1","  0.25"
"55","VIETNAM        ","   1","  1.00"
"56","BRUNEI         ","   0","  0.00"
"57","BULGARIA       ","   0","  0.00"
"58","CHILE          ","   0","  0.00"
"59","ETHIOPIA       ","   0","  0.00"
"60","GHANA          ","   0","  0.00"
"61","MOLDOVA        ","   0","  0.00"
"62","PHILIPPINES    ","   0","  0.00"
"63","TUNISIA        ","   0","  0.00"
