"Year","Articles","MeanTCperArt","MeanTCperYear"
1991,2,3.5,0.106060606060606
1992,0,0,0
1993,4,108,3.48387096774194
1994,1,18,0.6
1995,3,77,2.6551724137931
1996,1,154,5.5
1997,4,8.25,0.305555555555556
1998,3,28.6666666666667,1.1025641025641
1999,9,48.1111111111111,1.92444444444444
2000,2,20,0.833333333333333
2001,9,128.888888888889,5.60386473429952
2002,7,122.142857142857,5.55194805194805
2003,1,6,0.285714285714286
2004,8,19,0.95
2005,7,82.5714285714286,4.34586466165414
2006,12,9.08333333333333,0.50462962962963
2007,18,108.555555555556,6.38562091503268
2008,19,28.8947368421053,1.80592105263158
2009,16,40.75,2.71666666666667
2010,22,16.8181818181818,1.2012987012987
2011,13,27.7692307692308,2.13609467455621
2012,18,26.8888888888889,2.24074074074074
2013,32,54.75,4.97727272727273
2014,30,23.8,2.38
2015,35,45.2,5.02222222222222
2016,57,40.0350877192982,5.00438596491228
2017,76,17.9868421052632,2.56954887218045
2018,97,21.7628865979381,3.62714776632302
2019,99,21.5959595959596,4.31919191919192
2020,126,13.1825396825397,3.29563492063492
2021,157,7.90445859872611,2.6348195329087
2022,460,4.37608695652174,2.18804347826087
2023,485,1.63092783505155,1.63092783505155
