"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",7,"NEW ZEALAND    ",958,958,1,1,0,0
"2",6,"DENMARK        ",1021,340.33,3,2,1,0.333
"3",17,"MALAYSIA       ",480,96,5,4,1,0.2
"4",16,"TURKEY         ",486,81,6,5,1,0.167
"5",5,"SPAIN          ",1263,50.52,25,21,4,0.16
"6",3,"GERMANY        ",2748,36.16,76,54,22,0.289
"7",10,"NETHERLANDS    ",638,31.9,20,13,7,0.35
"8",38,"UZBEKISTAN     ",31,31,1,0,1,1
"9",24,"NORWAY         ",132,26.4,5,2,3,0.6
"10",1,"USA            ",5548,23.02,241,168,73,0.303
"11",4,"FRANCE         ",1265,20.4,62,43,19,0.306
"12",18,"FINLAND        ",448,20.36,22,13,9,0.409
"13",32,"ARGENTINA      ",60,20,3,1,2,0.667
"14",13,"SWITZERLAND    ",573,19.76,29,17,12,0.414
"15",25,"GREECE         ",116,19.33,6,5,1,0.167
"16",29,"NIGERIA        ",77,19.25,4,3,1,0.25
"17",9,"BRAZIL         ",649,17.08,38,23,15,0.395
"18",23,"PAKISTAN       ",145,16.11,9,4,5,0.556
"19",34,"SOUTH AFRICA   ",48,16,3,2,1,0.333
"20",8,"JAPAN          ",895,15.43,58,44,14,0.241
"21",20,"AUSTRALIA      ",362,15.08,24,10,14,0.583
"22",12,"UNITED KINGDOM ",576,14.4,40,25,15,0.375
"23",11,"INDIA          ",625,13.89,45,40,5,0.111
"24",15,"ITALY          ",491,13.64,36,27,9,0.25
"25",21,"BELGIUM        ",266,13.3,20,8,12,0.6
"26",19,"PORTUGAL       ",422,12.41,34,29,5,0.147
"27",28,"SWEDEN         ",84,10.5,8,6,2,0.25
"28",33,"SAUDI ARABIA   ",50,10,5,3,2,0.4
"29",30,"ISRAEL         ",76,8.44,9,7,2,0.222
"30",31,"RUSSIA         ",62,7.75,8,8,0,0
"31",27,"POLAND         ",100,7.69,13,10,3,0.231
"32",39,"MEXICO         ",21,7,3,2,1,0.333
"33",45,"SLOVAKIA       ",7,7,1,1,0,0
"34",22,"CANADA         ",197,6.79,29,20,9,0.31
"35",14,"KOREA          ",504,6.38,79,61,18,0.228
"36",2,"CHINA          ",4405,5.8,759,565,194,0.256
"37",26,"SINGAPORE      ",116,5.8,20,6,14,0.7
"38",35,"IRELAND        ",39,5.57,7,4,3,0.429
"39",36,"EGYPT          ",35,5,7,4,3,0.429
"40",49,"UKRAINE        ",5,5,1,1,0,0
"41",44,"IRAQ           ",8,4,2,1,1,0.5
"42",50,"COLOMBIA       ",4,4,1,1,0,0
"43",37,"CROATIA        ",31,3.88,8,4,4,0.5
"44",43,"SLOVENIA       ",10,3.33,3,2,1,0.333
"45",42,"U ARAB EMIRATES",12,3,4,1,3,0.75
"46",46,"ROMANIA        ",6,3,2,1,1,0.5
"47",40,"IRAN           ",20,2.5,8,4,4,0.5
"48",48,"INDONESIA      ",5,2.5,2,1,1,0.5
"49",41,"AUSTRIA        ",16,2.29,7,2,5,0.714
"50",51,"THAILAND       ",4,2,2,1,1,0.5
"51",52,"FIJI           ",2,2,1,0,1,1
"52",53,"QATAR          ",2,2,1,0,1,1
"53",47,"CZECH REPUBLIC ",5,1.25,4,2,2,0.5
"54",55,"VIETNAM        ",1,1,1,1,0,0
"55",54,"HUNGARY        ",1,0.25,4,3,1,0.25
"56",56,"BRUNEI         ",0,0,1,0,1,1
"57",57,"BULGARIA       ",0,0,1,1,0,0
"58",58,"CHILE          ",0,0,1,1,0,0
"59",59,"ETHIOPIA       ",0,0,1,1,0,0
"60",60,"GHANA          ",0,0,1,0,1,1
"61",61,"MOLDOVA        ",0,0,1,1,0,0
"62",62,"PHILIPPINES    ",0,0,1,0,1,1
"63",63,"TUNISIA        ",0,0,1,0,1,1
