"","Year   ","Articles"
"1","1990",1
"2","1991",3
"3","1992",2
"4","1994",1
"5","1995",2
"6","1996",2
"7","1997",5
"8","1998",6
"9","1999",6
"10","2000",4
"11","2001",3
"12","2002",12
"13","2003",12
"14","2004",19
"15","2005",22
"16","2006",29
"17","2007",30
"18","2008",44
"19","2009",51
"20","2010",60
"21","2011",73
"22","2012",91
"23","2013",122
"24","2014",133
"25","2015",171
"26","2016",229
"27","2017",230
"28","2018",299
"29","2019",449
"30","2020",479
"31","2021",641
"32","2022",904
"33","2023",822
