"","Paper         ","DOI","TC","TCperYear","NTC"
"1","WANG Y, 2019, ACM T GRAPHIC                                                                                  ","10.1145/3326362                          ","2432","405.33","136.87"
"2","SCHNABEL R, 2007, COMPUT GRAPH FORUM                                                                         ","10.1111/j.1467-8659.2007.01016.x         ","1263"," 70.17"," 19.36"
"3","GUO YL, 2021, IEEE T PATTERN ANAL                                                                            ","10.1109/TPAMI.2020.3005434               "," 804","201.00"," 90.02"
"4","RUSU RB, 2008, ROBOT AUTON SYST                                                                              ","10.1016/j.robot.2008.08.005              "," 613"," 36.06"," 13.42"
"5","GUO MH, 2021, COMPUT VIS MEDIA                                                                               ","10.1007/s41095-021-0229-5                "," 474","118.50"," 53.07"
"6","PALEOLOGOS EK, 2005, TRAC-TREND ANAL CHEM                                                                    ","10.1016/j.trac.2005.01.013               "," 467"," 23.35","  6.10"
"7","HARWIN S, 2012, REMOTE SENS-BASEL                                                                            ","10.3390/rs4061573                        "," 450"," 34.62"," 33.54"
"8","VO AV, 2015, ISPRS J PHOTOGRAMM                                                                              ","10.1016/j.isprsjprs.2015.01.011          "," 376"," 37.60"," 21.50"
"9","BEZERRA MD, 2005, APPL SPECTROSC REV                                                                         ","10.1080/05704920500230880                "," 357"," 17.85","  4.67"
"10","MITRA NJ, 2004, INT J COMPUT GEOM AP                                                                         ","10.1142/S0218195904001470                "," 355"," 16.90","  6.12"
"11","SHI SS, 2021, IEEE T PATTERN ANAL                                                                            ","10.1109/TPAMI.2020.2977026               "," 347"," 86.75"," 38.85"
"12","SCHWARZ S, 2019, IEEE J EM SEL TOP C                                                                         ","10.1109/JETCAS.2018.2885981              "," 306"," 51.00"," 17.22"
"13","NEVALAINEN O, 2017, REMOTE SENS-BASEL                                                                        ","10.3390/rs9030185                        "," 275"," 34.38"," 13.50"
"14","WANG C, 2015, AUTOMAT CONSTR                                                                                 ","10.1016/j.autcon.2015.04.001             "," 270"," 27.00"," 15.44"
"15","HUANG H, 2013, ACM T GRAPHIC                                                                                 ","10.1145/2461912.2461913                  "," 267"," 22.25"," 13.37"
"16","MEKURIA R, 2017, IEEE T CIRC SYST VID                                                                        ","10.1109/TCSVT.2016.2543039               "," 233"," 29.12"," 11.44"
"17","IMAHARA H, 2006, FUEL                                                                                        ","10.1016/j.fuel.2006.03.003               "," 228"," 12.00","  7.85"
"18","GIGLI G, 2011, INT J ROCK MECH MIN                                                                           ","10.1016/j.ijrmms.2010.11.009             "," 217"," 15.50"," 14.40"
"19","HACKEL T, 2016, ISPRS ANN PHOTO REM                                                                          ","10.5194/isprsannals-III-3-177-2016       "," 213"," 23.67"," 14.46"
"20","HAN XF, 2017, SIGNAL PROCESS-IMAGE                                                                           ","10.1016/j.image.2017.05.009              "," 212"," 26.50"," 10.41"
"21","KATO D, 2007, PUBL ASTRON SOC JPN                                                                            ","10.1093/pasj/59.3.615                    "," 212"," 11.78","  3.25"
"22","GRILLI E, 2017, INT ARCH PHOTOGRAMM                                                                          ","10.5194/isprs-archives-XLII-2-W3-339-2017"," 204"," 25.50"," 10.02"
"23","WANG Q, 2019, ADV ENG INFORM                                                                                 ","10.1016/j.aei.2019.02.007                "," 194"," 32.33"," 10.92"
"24","ZHANG YX, 2018, 2018 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH AND SIGNAL PROCESSING (ICASSP)       ","NA                                       "," 191"," 27.29"," 12.16"
"25","DONG Z, 2020, ISPRS J PHOTOGRAMM                                                                             ","10.1016/j.isprsjprs.2020.03.013          "," 184"," 36.80"," 17.13"
"26","WOO H, 2002, INT J MACH TOOL MANU                                                                            ","10.1016/S0890-6955(01)00120-1            "," 184","  8.00","  5.90"
"27","YEW ZJ, 2018, LECT NOTES COMPUT SC                                                                           ","10.1007/978-3-030-01267-0_37             "," 184"," 26.29"," 11.71"
"28","ZHANG JX, 2013, REMOTE SENS-BASEL                                                                            ","10.3390/rs5083749                        "," 183"," 15.25","  9.16"
"29","MÉMOLI F, 2005, FOUND COMPUT MATH                                                                            ","10.1007/s10208-004-0145-y                "," 182","  9.10","  2.38"
"30","TCHAPMI LP, 2019, PROC CVPR IEEE                                                                             ","10.1109/CVPR.2019.00047                  "," 179"," 29.83"," 10.07"
"31","PYTLAKOWSKA K, 2013, TALANTA                                                                                 ","10.1016/j.talanta.2013.02.037            "," 173"," 14.42","  8.66"
"32","TE GS, 2018, PROCEEDINGS OF THE 2018 ACM MULTIMEDIA CONFERENCE (MM'18)                                       ","10.1145/3240508.3240621                  "," 171"," 24.43"," 10.89"
"33","TIAN D, 2017, IEEE IMAGE PROC                                                                                ","NA                                       "," 170"," 21.25","  8.35"
"34","SAFAVI A, 2004, SPECTROCHIM ACTA A                                                                           ","10.1016/j.saa.2004.02.001                "," 170","  8.10","  2.93"
"35","CHEN JR, 2005, TALANTA                                                                                       ","10.1016/j.talanta.2005.04.029            "," 169","  8.45","  2.21"
"36","OCHMANN S, 2016, COMPUT GRAPH-UK                                                                             ","10.1016/j.cag.2015.07.008                "," 167"," 18.56"," 11.34"
"37","DE QUEIROZ RL, 2016, IEEE T IMAGE PROCESS                                                                    ","10.1109/TIP.2016.2575005                 "," 166"," 18.44"," 11.27"
"38","DEMANTKÉ J, 2011, INT ARCH PHOTOGRAMM                                                                        ","NA                                       "," 166"," 11.86"," 11.02"
"39","SHI XS, 2015, 2015 IEEE ADVANCED INFORMATION TECHNOLOGY, ELECTRONIC AND AUTOMATION CONTROL CONFERENCE (IAEAC)","NA                                       "," 162"," 16.20","  9.26"
"40","YANG BS, 2013, ISPRS J PHOTOGRAMM                                                                            ","10.1016/j.isprsjprs.2013.04.002          "," 154"," 12.83","  7.71"
"41","OJEDA CB, 2009, ANAL BIOANAL CHEM                                                                            ","10.1007/s00216-009-2660-9                "," 152","  9.50","  7.34"
"42","YANG JQ, 2016, INFORM SCIENCES                                                                               ","10.1016/j.ins.2016.01.095                "," 148"," 16.44"," 10.05"
"43","YU YT, 2015, IEEE T GEOSCI REMOTE                                                                            ","10.1109/TGRS.2014.2338915                "," 147"," 14.70","  8.40"
"44","SARIN A, 2009, ENERGY                                                                                        ","10.1016/j.energy.2009.08.017             "," 146","  9.12","  7.05"
"45","BELLO SA, 2020, REMOTE SENS-BASEL                                                                            ","10.3390/rs12111729                       "," 143"," 28.60"," 13.31"
"46","GRESSIN A, 2013, ISPRS J PHOTOGRAMM                                                                          ","10.1016/j.isprsjprs.2013.02.019          "," 142"," 11.83","  7.11"
"47","CHENG L, 2018, SENSORS-BASEL                                                                                 ","10.3390/s18051641                        "," 141"," 20.14","  8.98"
"48","YE XQ, 2018, LECT NOTES COMPUT SC                                                                            ","10.1007/978-3-030-01234-2_25             "," 140"," 20.00","  8.91"
"49","WANG YS, 2008, SENSORS-BASEL                                                                                 ","10.3390/s8063938                         "," 138","  8.12","  3.02"
"50","ZHANG C, 2014, IEEE IMAGE PROC                                                                               ","NA                                       "," 137"," 12.45","  9.65"
"51","MITCHELL K, 1990, INT J PHARM                                                                                ","10.1016/0378-5173(90)90404-R             "," 135","  3.86","  1.00"
"52","BAE KH, 2008, ISPRS J PHOTOGRAMM                                                                             ","10.1016/j.isprsjprs.2007.05.012          "," 135","  7.94","  2.96"
"53","LI L, 2017, REMOTE SENS-BASEL                                                                                ","10.3390/rs9050433                        "," 133"," 16.62","  6.53"
"54","SILVA MF, 2006, MICROCHIM ACTA                                                                               ","10.1007/s00604-006-0511-3                "," 132","  6.95","  4.55"
"55","BLOSCA JM, 2008, ISPRS J PHOTOGRAMM                                                                          ","10.1016/j.isprsjprs.2007.07.010          "," 131","  7.71","  2.87"
"56","HUANG Y, 2008, IEEE T VIS COMPUT GR                                                                          ","10.1109/TVCG.2007.70441                  "," 123","  7.24","  2.69"
"57","SHARMA KS, 2003, COLLOID SURFACE A                                                                           ","10.1016/S0927-7757(03)00012-8            "," 123","  5.59","  2.91"
"58","NURUNNABI A, 2015, PATTERN RECOGN                                                                            ","10.1016/j.patcog.2014.10.014             "," 122"," 12.20","  6.97"
"59","POURREZA N, 2008, TALANTA                                                                                    ","10.1016/j.talanta.2008.07.031            "," 122","  7.18","  2.67"
"60","BOYKO A, 2011, ISPRS J PHOTOGRAMM                                                                            ","10.1016/j.isprsjprs.2011.09.009          "," 122","  8.71","  8.10"
"61","LEHTOLA VV, 2017, REMOTE SENS-BASEL                                                                          ","10.3390/rs9080796                        "," 121"," 15.12","  5.94"
"62","MI C, 2015, J COASTAL RES                                                                                    ","10.2112/SI73-006.1                       "," 121"," 12.10","  6.92"
