"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","LI J         ","97","WANG C       ","19.80"
"2","WANG C       ","97","LI J         ","19.03"
"3","WANG Y       ","61","WANG Y       ","14.61"
"4","LI Y         ","56","LI Y         ","13.66"
"5","ZHANG Y      ","48","ZHANG Y      ","10.66"
"6","WANG J       ","45","LIU Y        ","10.33"
"7","WANG L       ","45","WANG L       ","10.26"
"8","LI Z         ","44","LI Z         ","10.09"
"9","LIU Y        ","42","WANG J       "," 9.84"
"10","LIU S        ","40","LIU S        "," 9.60"
"11","LI L         ","34","CHEN H       "," 7.94"
"12","CHEN H       ","32","STILLA U     "," 7.74"
"13","LIU H        ","32","ZHANG J      "," 7.69"
"14","ZHANG J      ","32","LIU H        "," 7.54"
"15","LI G         ","30","EBRAHIMI T   "," 7.44"
"16","STILLA U     ","30","DE QUEIROZ RL"," 7.37"
"17","ZHANG L      ","29","LI L         "," 7.21"
"18","WEN CL       ","27","LI G         "," 7.07"
"19","LIU J        ","26","LIU J        "," 6.94"
"20","YANG BS      ","25","WANG ZL      "," 6.88"
"21","ZHANG H      ","25","PEREIRA F    "," 6.58"
"22","ZHANG ZY     ","25","SUN J        "," 6.37"
"23","LI X         ","24","ZHANG L      "," 6.24"
"24","SUN J        ","24","LI X         "," 6.01"
"25","YANG J       ","24","YANG BS      "," 5.95"
"26","GAO W        ","23","ZHANG ZY     "," 5.93"
"27","PEREIRA F    ","23","ALEXIOU E    "," 5.79"
"28","CHEN C       ","22","YANG J       "," 5.65"
"29","CHEN J       ","22","ZHANG H      "," 5.43"
"30","DE QUEIROZ RL","22","HU W         "," 5.24"
"31","EBRAHIMI T   ","22","LINDENBERGH R"," 5.18"
"32","GUO YL       ","22","KIM J        "," 5.13"
"33","WANG HY      ","22","CHEN C       "," 5.09"
"34","XU YL        ","22","WANG Q       "," 5.05"
"35","ZHANG Q      ","22","ZHANG Q      "," 5.04"
"36","WANG F       ","21","ZHANG X      "," 5.02"
"37","WANG ZL      ","21","LI JL        "," 4.90"
"38","ZHANG X      ","21","WEN CL       "," 4.89"
"39","HE Y         ","20","GAO W        "," 4.89"
"40","KIM J        ","20","CHEN J       "," 4.87"
"41","LI H         ","20","LIU YH       "," 4.80"
"42","LI JL        ","20","XU YL        "," 4.79"
"43","LI W         ","20","XIAO J       "," 4.75"
"44","WANG Q       ","20","XU YS        "," 4.70"
"45","WANG Z       ","20","YANG Y       "," 4.70"
"46","WANG ZY      ","20","CHOU PA      "," 4.48"
"47","XU YS        ","20","LI W         "," 4.45"
"48","YANG Y       ","20","LI H         "," 4.41"
"49","ZHANG ZX     ","20","DÖLLNER J    "," 4.35"
"50","ALEXIOU E    ","19","ZHANG YJ     "," 4.34"
"51","CHEN YP      ","19","GE XM        "," 4.33"
"52","DONG Z       ","19","WANG F       "," 4.31"
"53","ZHONG RF     ","19","ZHU XX       "," 4.25"
"54","CHEN D       ","18","CHEN L       "," 4.18"
"55","CHEN L       ","18","MILANI S     "," 4.17"
"56","HU W         ","18","ZHANG C      "," 4.15"
"57","LIU YH       ","18","WANG HY      "," 4.05"
"58","WANG X       ","18","GUO YL       "," 4.03"
"59","XIAO J       ","18","SUN L        "," 4.01"
"60","ZHANG LQ     ","18","ALIBRAHIM M  "," 4.00"
"61","LIU X        ","17","WANG X       "," 3.99"
"62","WANG W       ","17","HE Y         "," 3.99"
"63","ZHANG C      ","17","WANG W       "," 3.98"
"64","HOU JH       ","16","WANG YH      "," 3.95"
"65","WANG YH      ","16","WANG ZY      "," 3.92"
"66","YANG B       ","16","HOU JH       "," 3.92"
"67","ZHANG K      ","16","YAN L        "," 3.90"
"68","ZHANG XP     ","16","ZHANG K      "," 3.88"
"69","ZHOU Y       ","16","WANG Z       "," 3.87"
"70","CHENG M      ","15","ASCENSO J    "," 3.83"
"71","CHOU PA      ","15","DONG Z       "," 3.83"
"72","HUANG Y      ","15","RICHTER R    "," 3.82"
"73","LINDENBERGH R","15","KLEIN R      "," 3.78"
"74","LUO H        ","15","GUARDA AFR   "," 3.75"
"75","MA YX        ","15","YANG L       "," 3.71"
"76","SUN L        ","15","ZHANG XP     "," 3.70"
"77","YAN L        ","15","LI Q         "," 3.66"
"78","YANG L       ","15","WANG D       "," 3.66"
"79","ZHANG M      ","15","HUANG Y      "," 3.66"
"80","ZHANG YJ     ","15","HU QW        "," 3.65"
"81","ZHAO Y       ","15","ZHAO Y       "," 3.64"
"82","LI Q         ","14","CHEN XJ      "," 3.58"
"83","SUN Y        ","14","LICHTI DD    "," 3.54"
"84","WANG P       ","14","HAN XF       "," 3.50"
"85","WU H         ","14","CHEN YP      "," 3.48"
"86","ZHANG YH     ","14","NÜCHTER A    "," 3.43"
"87","ASCENSO J    ","13","ZHANG ZX     "," 3.35"
"88","CHEN JY      ","13","WU H         "," 3.35"
"89","CHEN XJ      ","13","LIU X        "," 3.35"
"90","DÖLLNER J    ","13","BAJIC IV     "," 3.33"
"91","HOEGNER L    ","13","ZHANG LQ     "," 3.26"
"92","HU H         ","13","HOEGNER L    "," 3.25"
"93","HUA XH       ","13","TAO W        "," 3.25"
"94","LIU L        ","13","SUN Y        "," 3.19"
"95","LIU Z        ","13","LI XY        "," 3.18"
"96","RICHTER R    ","13","MA YX        "," 3.18"
"97","WANG B       ","13","ZHONG RF     "," 3.17"
"98","XIE H        ","13","YANG B       "," 3.16"
"99","YANG H       ","13","YANG H       "," 3.15"
"100","YUAN H       ","13","CHEN JY      "," 3.14"
