"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","CHINA          ","2784","0.565164","2329","455","0.1634"
"2","USA            "," 318","0.064555"," 247"," 71","0.2233"
"3","GERMANY        "," 247","0.050142"," 204"," 43","0.1741"
"4","KOREA          "," 146","0.029639"," 131"," 15","0.1027"
"5","JAPAN          "," 132","0.026797"," 110"," 22","0.1667"
"6","SPAIN          ","  89","0.018067","  71"," 18","0.2022"
"7","CANADA         ","  86","0.017458","  62"," 24","0.2791"
"8","FRANCE         ","  85","0.017255","  70"," 15","0.1765"
"9","BRAZIL         ","  78","0.015834","  64"," 14","0.1795"
"10","ITALY          ","  76","0.015428","  67","  9","0.1184"
"11","INDIA          ","  75","0.015225","  71","  4","0.0533"
"12","AUSTRALIA      ","  70","0.014210","  47"," 23","0.3286"
"13","NETHERLANDS    ","  58","0.011774","  43"," 15","0.2586"
"14","UNITED KINGDOM ","  50","0.010150","  30"," 20","0.4000"
"15","PORTUGAL       ","  47","0.009541","  41","  6","0.1277"
"16","TURKEY         ","  45","0.009135","  43","  2","0.0444"
"17","IRAN           ","  41","0.008323","  32","  9","0.2195"
"18","SINGAPORE      ","  36","0.007308","  19"," 17","0.4722"
"19","SWITZERLAND    ","  34","0.006902","  26","  8","0.2353"
"20","POLAND         ","  30","0.006090","  27","  3","0.1000"
"21","AUSTRIA        ","  26","0.005278","  19","  7","0.2692"
"22","FINLAND        ","  26","0.005278","  17","  9","0.3462"
"23","RUSSIA         ","  26","0.005278","  14"," 12","0.4615"
"24","BELGIUM        ","  24","0.004872","  15","  9","0.3750"
"25","CZECH REPUBLIC ","  24","0.004872","  22","  2","0.0833"
"26","SLOVAKIA       ","  23","0.004669","  18","  5","0.2174"
"27","GREECE         ","  19","0.003857","  19","  0","0.0000"
"28","HUNGARY        ","  15","0.003045","  11","  4","0.2667"
"29","MALAYSIA       ","  13","0.002639","   9","  4","0.3077"
"30","NORWAY         ","  11","0.002233","   9","  2","0.1818"
"31","VIETNAM        ","  11","0.002233","   8","  3","0.2727"
"32","EGYPT          ","  10","0.002030","   6","  4","0.4000"
"33","DENMARK        ","   9","0.001827","   6","  3","0.3333"
"34","ROMANIA        ","   9","0.001827","   7","  2","0.2222"
"35","UKRAINE        ","   9","0.001827","   8","  1","0.1111"
"36","INDONESIA      ","   8","0.001624","   5","  3","0.3750"
"37","SWEDEN         ","   8","0.001624","   6","  2","0.2500"
"38","THAILAND       ","   8","0.001624","   6","  2","0.2500"
"39","CROATIA        ","   7","0.001421","   2","  5","0.7143"
"40","ISRAEL         ","   7","0.001421","   6","  1","0.1429"
"41","MEXICO         ","   7","0.001421","   5","  2","0.2857"
"42","PAKISTAN       ","   7","0.001421","   3","  4","0.5714"
"43","ALGERIA        ","   6","0.001218","   3","  3","0.5000"
"44","COLOMBIA       ","   6","0.001218","   5","  1","0.1667"
"45","IRELAND        ","   6","0.001218","   4","  2","0.3333"
"46","MOROCCO        ","   6","0.001218","   2","  4","0.6667"
"47","SERBIA         ","   6","0.001218","   6","  0","0.0000"
"48","BANGLADESH     ","   5","0.001015","   1","  4","0.8000"
"49","NEW ZEALAND    ","   5","0.001015","   4","  1","0.2000"
"50","SLOVENIA       ","   5","0.001015","   5","  0","0.0000"
"51","ARGENTINA      ","   4","0.000812","   4","  0","0.0000"
"52","SAUDI ARABIA   ","   4","0.000812","   1","  3","0.7500"
"53","SYRIA          ","   4","0.000812","   4","  0","0.0000"
"54","CHILE          ","   3","0.000609","   1","  2","0.6667"
"55","LITHUANIA      ","   3","0.000609","   2","  1","0.3333"
"56","SOUTH AFRICA   ","   3","0.000609","   3","  0","0.0000"
"57","TUNISIA        ","   3","0.000609","   2","  1","0.3333"
"58","CYPRUS         ","   2","0.000406","   1","  1","0.5000"
"59","IRAQ           ","   2","0.000406","   2","  0","0.0000"
"60","PERU           ","   2","0.000406","   2","  0","0.0000"
"61","QATAR          ","   2","0.000406","   0","  2","1.0000"
"62","SRI LANKA      ","   2","0.000406","   0","  2","1.0000"
"63","U ARAB EMIRATES","   2","0.000406","   0","  2","1.0000"
"64","BULGARIA       ","   1","0.000203","   0","  1","1.0000"
"65","CUBA           ","   1","0.000203","   0","  1","1.0000"
"66","ECUADOR        ","   1","0.000203","   1","  0","0.0000"
"67","GEORGIA        ","   1","0.000203","   1","  0","0.0000"
"68","JORDAN         ","   1","0.000203","   1","  0","0.0000"
"69","KENYA          ","   1","0.000203","   0","  1","1.0000"
"70","LEBANON        ","   1","0.000203","   1","  0","0.0000"
"71","LIBYA          ","   1","0.000203","   0","  1","1.0000"
"72","LUXEMBOURG     ","   1","0.000203","   1","  0","0.0000"
"73","MONGOLIA       ","   1","0.000203","   0","  1","1.0000"
"74","PARAGUAY       ","   1","0.000203","   1","  0","0.0000"
