"","Sources       ","Articles"
"1","REMOTE SENSING                                                                              ","228"
"2","SENSORS                                                                                     ","169"
"3","IEEE ACCESS                                                                                 ","121"
"4","ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING                                          ","105"
"5","LASER & OPTOELECTRONICS PROGRESS                                                            ","104"
"6","APPLIED SCIENCES-BASEL                                                                      "," 66"
"7","IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING                                          "," 64"
"8","AUTOMATION IN CONSTRUCTION                                                                  "," 59"
"9","VISUAL COMPUTER                                                                             "," 58"
"10","IEEE TRANSACTIONS ON IMAGE PROCESSING                                                       "," 56"
"11","COMPUTERS & GRAPHICS-UK                                                                     "," 53"
"12","IEEE GEOSCIENCE AND REMOTE SENSING LETTERS                                                  "," 46"
"13","IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE                              "," 41"
"14","PATTERN RECOGNITION                                                                         "," 41"
"15","MULTIMEDIA TOOLS AND APPLICATIONS                                                           "," 40"
"16","IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY                              "," 39"
"17","ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION                                              "," 36"
"18","NEUROCOMPUTING                                                                              "," 36"
"19","COMPUTER-AIDED DESIGN                                                                       "," 33"
"20","IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS                                     "," 31"
"21","IEEE TRANSACTIONS ON MULTIMEDIA                                                             "," 27"
"22","INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION                       "," 27"
"23","ELECTRONICS                                                                                 "," 26"
"24","IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT                                        "," 26"
"25","2019 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                               "," 24"
"26","CHINESE JOURNAL OF LASERS-ZHONGGUO JIGUANG                                                  "," 24"
"27","IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING            "," 24"
"28","XXIV ISPRS CONGRESS IMAGING TODAY FORESEEING TOMORROW COMMISSION II                         "," 24"
"29","IEEE ROBOTICS AND AUTOMATION LETTERS                                                        "," 23"
"30","MEASUREMENT                                                                                 "," 22"
"31","GRAPHICAL MODELS                                                                            "," 21"
"32","IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS                                    "," 20"
"33","2021 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                               "," 19"
"34","ACTA OPTICA SINICA                                                                          "," 19"
"35","COMPUTERS AND ELECTRONICS IN AGRICULTURE                                                    "," 19"
"36","2022 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING ICIP                                 "," 18"
"37","ADVANCED ENGINEERING INFORMATICS                                                            "," 18"
"38","IEEE SIGNAL PROCESSING LETTERS                                                              "," 18"
"39","MEASUREMENT SCIENCE AND TECHNOLOGY                                                          "," 18"
"40","PATTERN RECOGNITION LETTERS                                                                 "," 18"
"41","JOURNAL OF COLLOID AND INTERFACE SCIENCE                                                    "," 17"
"42","2020 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                               "," 15"
"43","XXIII ISPRS CONGRESS COMMISSION III                                                         "," 15"
