"","Country     ","Total Citations","Average Article Citations"
"1","CHINA          ","21106"," 7.58"
"2","USA            "," 7803","24.54"
"3","GERMANY        "," 5084","20.58"
"4","AUSTRALIA      "," 1600","22.86"
"5","BRAZIL         "," 1591","20.40"
"6","FRANCE         "," 1436","16.89"
"7","CANADA         "," 1429","16.62"
"8","SPAIN          "," 1336","15.01"
"9","NETHERLANDS    "," 1219","21.02"
"10","ITALY          "," 1207","15.88"
"11","JAPAN          "," 1078"," 8.17"
"12","KOREA          "," 1061"," 7.27"
"13","INDIA          ","  972","12.96"
"14","FINLAND        ","  879","33.81"
"15","IRAN           ","  783","19.10"
"16","SWITZERLAND    ","  667","19.62"
"17","SINGAPORE      ","  634","17.61"
"18","UNITED KINGDOM ","  603","12.06"
"19","TURKEY         ","  590","13.11"
"20","GREECE         ","  577","30.37"
"21","PORTUGAL       ","  553","11.77"
"22","IRELAND        ","  445","74.17"
"23","BELGIUM        ","  412","17.17"
"24","POLAND         ","  384","12.80"
"25","AUSTRIA        ","  296","11.38"
"26","UKRAINE        ","  260","28.89"
"27","ARGENTINA      ","  226","56.50"
"28","CZECH REPUBLIC ","  173"," 7.21"
"29","RUSSIA         ","  164"," 6.31"
"30","EGYPT          ","  137","13.70"
"31","MALAYSIA       ","  127"," 9.77"
"32","COLOMBIA       ","  125","20.83"
"33","SLOVENIA       ","  116","23.20"
"34","SLOVAKIA       ","   87"," 3.78"
"35","NEW ZEALAND    ","   85","17.00"
"36","ISRAEL         ","   82","11.71"
"37","NORWAY         ","   76"," 6.91"
"38","VIETNAM        ","   74"," 6.73"
"39","CYPRUS         ","   73","36.50"
"40","HUNGARY        ","   68"," 4.53"
"41","ALGERIA        ","   67","11.17"
"42","INDONESIA      ","   67"," 8.38"
"43","SWEDEN         ","   50"," 6.25"
"44","GEORGIA        ","   44","44.00"
"45","CROATIA        ","   43"," 6.14"
"46","DENMARK        ","   43"," 4.78"
"47","SERBIA         ","   36"," 6.00"
"48","PAKISTAN       ","   33"," 4.71"
"49","SYRIA          ","   33"," 8.25"
"50","U ARAB EMIRATES","   32","16.00"
"51","THAILAND       ","   28"," 3.50"
"52","SOUTH AFRICA   ","   26"," 8.67"
"53","ROMANIA        ","   25"," 2.78"
"54","BULGARIA       ","   15","15.00"
"55","IRAQ           ","   15"," 7.50"
"56","MEXICO         ","   13"," 1.86"
"57","TUNISIA        ","   11"," 3.67"
"58","CHILE          ","   10"," 3.33"
"59","LITHUANIA      ","   10"," 3.33"
"60","LIBYA          ","    8"," 8.00"
"61","QATAR          ","    8"," 4.00"
"62","MONGOLIA       ","    7"," 7.00"
"63","MOROCCO        ","    7"," 1.17"
"64","BANGLADESH     ","    6"," 1.20"
"65","SAUDI ARABIA   ","    5"," 1.25"
"66","LUXEMBOURG     ","    3"," 3.00"
"67","PARAGUAY       ","    3"," 3.00"
"68","PERU           ","    2"," 1.00"
"69","ECUADOR        ","    1"," 1.00"
"70","JORDAN         ","    1"," 1.00"
"71","SRI LANKA      ","    1"," 0.50"
"72","CUBA           ","    0"," 0.00"
"73","KENYA          ","    0"," 0.00"
"74","LEBANON        ","    0"," 0.00"
