"Year","Articles","MeanTCperArt","MeanTCperYear"
1990,1,135,3.97058823529412
1991,3,14.3333333333333,0.434343434343434
1992,2,45,1.40625
1993,0,0,0
1994,1,1,0.0333333333333333
1995,2,18.5,0.637931034482759
1996,2,7,0.25
1997,5,38.2,1.41481481481481
1998,6,35.8333333333333,1.37820512820513
1999,6,19.5,0.78
2000,4,27.75,1.15625
2001,3,26.3333333333333,1.14492753623188
2002,12,31.1666666666667,1.41666666666667
2003,12,42.3333333333333,2.01587301587302
2004,19,58,2.9
2005,22,76.5,4.02631578947368
2006,29,29.0344827586207,1.61302681992337
2007,30,65.2333333333333,3.83725490196078
2008,44,45.6818181818182,2.85511363636364
2009,51,20.7058823529412,1.38039215686275
2010,60,14.6,1.04285714285714
2011,73,15.0684931506849,1.15911485774499
2012,91,13.4175824175824,1.11813186813187
2013,122,19.9754098360656,1.81594634873323
2014,133,14.1954887218045,1.41954887218045
2015,171,17.4912280701754,1.94346978557505
2016,229,14.7292576419214,1.84115720524017
2017,230,20.3652173913044,2.90931677018634
2018,299,15.7090301003345,2.61817168338907
2019,449,17.7683741648107,3.55367483296214
2020,479,10.741127348643,2.68528183716075
2021,641,8.93135725429017,2.97711908476339
2022,904,3.58517699115044,1.79258849557522
2023,822,1.01581508515815,1.01581508515815
