"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",22,"IRELAND        ",445,74.17,6,4,2,0.3333
"2",27,"ARGENTINA      ",226,56.5,4,4,0,0
"3",44,"GEORGIA        ",44,44,1,1,0,0
"4",39,"CYPRUS         ",73,36.5,2,1,1,0.5
"5",14,"FINLAND        ",879,33.81,26,17,9,0.3462
"6",20,"GREECE         ",577,30.37,19,19,0,0
"7",26,"UKRAINE        ",260,28.89,9,8,1,0.1111
"8",2,"USA            ",7803,24.54,318,247,71,0.2233
"9",33,"SLOVENIA       ",116,23.2,5,5,0,0
"10",4,"AUSTRALIA      ",1600,22.86,70,47,23,0.3286
"11",9,"NETHERLANDS    ",1219,21.02,58,43,15,0.2586
"12",32,"COLOMBIA       ",125,20.83,6,5,1,0.1667
"13",3,"GERMANY        ",5084,20.58,247,204,43,0.1741
"14",5,"BRAZIL         ",1591,20.4,78,64,14,0.1795
"15",16,"SWITZERLAND    ",667,19.62,34,26,8,0.2353
"16",15,"IRAN           ",783,19.1,41,32,9,0.2195
"17",17,"SINGAPORE      ",634,17.61,36,19,17,0.4722
"18",23,"BELGIUM        ",412,17.17,24,15,9,0.375
"19",35,"NEW ZEALAND    ",85,17,5,4,1,0.2
"20",6,"FRANCE         ",1436,16.89,85,70,15,0.1765
"21",7,"CANADA         ",1429,16.62,86,62,24,0.2791
"22",50,"U ARAB EMIRATES",32,16,2,0,2,1
"23",10,"ITALY          ",1207,15.88,76,67,9,0.1184
"24",8,"SPAIN          ",1336,15.01,89,71,18,0.2022
"25",54,"BULGARIA       ",15,15,1,0,1,1
"26",30,"EGYPT          ",137,13.7,10,6,4,0.4
"27",19,"TURKEY         ",590,13.11,45,43,2,0.0444
"28",13,"INDIA          ",972,12.96,75,71,4,0.0533
"29",24,"POLAND         ",384,12.8,30,27,3,0.1
"30",18,"UNITED KINGDOM ",603,12.06,50,30,20,0.4
"31",21,"PORTUGAL       ",553,11.77,47,41,6,0.1277
"32",36,"ISRAEL         ",82,11.71,7,6,1,0.1429
"33",25,"AUSTRIA        ",296,11.38,26,19,7,0.2692
"34",41,"ALGERIA        ",67,11.17,6,3,3,0.5
"35",31,"MALAYSIA       ",127,9.77,13,9,4,0.3077
"36",52,"SOUTH AFRICA   ",26,8.67,3,3,0,0
"37",42,"INDONESIA      ",67,8.38,8,5,3,0.375
"38",49,"SYRIA          ",33,8.25,4,4,0,0
"39",11,"JAPAN          ",1078,8.17,132,110,22,0.1667
"40",60,"LIBYA          ",8,8,1,0,1,1
"41",1,"CHINA          ",21106,7.58,2784,2329,455,0.1634
"42",55,"IRAQ           ",15,7.5,2,2,0,0
"43",12,"KOREA          ",1061,7.27,146,131,15,0.1027
"44",28,"CZECH REPUBLIC ",173,7.21,24,22,2,0.0833
"45",62,"MONGOLIA       ",7,7,1,0,1,1
"46",37,"NORWAY         ",76,6.91,11,9,2,0.1818
"47",38,"VIETNAM        ",74,6.73,11,8,3,0.2727
"48",29,"RUSSIA         ",164,6.31,26,14,12,0.4615
"49",43,"SWEDEN         ",50,6.25,8,6,2,0.25
"50",45,"CROATIA        ",43,6.14,7,2,5,0.7143
"51",47,"SERBIA         ",36,6,6,6,0,0
"52",46,"DENMARK        ",43,4.78,9,6,3,0.3333
"53",48,"PAKISTAN       ",33,4.71,7,3,4,0.5714
"54",40,"HUNGARY        ",68,4.53,15,11,4,0.2667
"55",61,"QATAR          ",8,4,2,0,2,1
"56",34,"SLOVAKIA       ",87,3.78,23,18,5,0.2174
"57",57,"TUNISIA        ",11,3.67,3,2,1,0.3333
"58",51,"THAILAND       ",28,3.5,8,6,2,0.25
"59",58,"CHILE          ",10,3.33,3,1,2,0.6667
"60",59,"LITHUANIA      ",10,3.33,3,2,1,0.3333
"61",66,"LUXEMBOURG     ",3,3,1,1,0,0
"62",67,"PARAGUAY       ",3,3,1,1,0,0
"63",53,"ROMANIA        ",25,2.78,9,7,2,0.2222
"64",56,"MEXICO         ",13,1.86,7,5,2,0.2857
"65",65,"SAUDI ARABIA   ",5,1.25,4,1,3,0.75
"66",64,"BANGLADESH     ",6,1.2,5,1,4,0.8
"67",63,"MOROCCO        ",7,1.17,6,2,4,0.6667
"68",68,"PERU           ",2,1,2,2,0,0
"69",69,"ECUADOR        ",1,1,1,1,0,0
"70",70,"JORDAN         ",1,1,1,1,0,0
"71",71,"SRI LANKA      ",1,0.5,2,0,2,1
"72",72,"CUBA           ",0,0,1,0,1,1
"73",73,"KENYA          ",0,0,1,0,1,1
"74",74,"LEBANON        ",0,0,1,1,0,0
