"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","1993:2023"
"3","Sources (Journals, Books, etc)","2785"
"4","Documents","4967"
"5","Annual Growth Rate %","20.8"
"6","Document Average Age","8.28"
"7","Average citations per doc","13.41"
"8","Average citations per year per doc","1.538"
"9","References","108397"
"10","DOCUMENT TYPES",""
"11","article","1615"
"12","article; book chapter","51"
"13","article; data paper","1"
"14","article; early access","346"
"15","article; early access; retracted publication","2"
"16","article; proceedings paper","150"
"17","article; retracted publication","9"
"18","editorial material","7"
"19","proceedings paper","2731"
"20","proceedings paper; early access","2"
"21","proceedings paper; retracted publication","1"
"22","review","42"
"23","review; book chapter","1"
"24","review; early access","9"
"25","DOCUMENT CONTENTS",""
"26","Keywords Plus (ID)","2595"
"27","Author's Keywords (DE)","10263"
"28","AUTHORS",""
"29","Authors","12143"
"30","Author Appearances","17851"
"31","Authors of single-authored docs","304"
"32","AUTHORS COLLABORATION",""
"33","Single-authored docs","333"
"34","Documents per Author","0.409"
"35","Co-Authors per Doc","3.59"
"36","International co-authorships %","20.68"
"37","",""
