"","Paper         ","DOI","TC","TCperYear","NTC"
"1","HU YF, 2008, IEEE DATA MINING                                                                                                         ","10.1109/ICDM.2008.22              ","1811","106.53","61.22"
"2","WU XD, 2014, IEEE T KNOWL DATA EN                                                                                                     ","10.1109/TKDE.2013.109             ","1589","144.45","78.18"
"3","CHEN MS, 1996, IEEE T KNOWL DATA EN                                                                                                   ","10.1109/69.553155                 ","1117"," 38.52"," 3.00"
"4","ZHOU GR, 2018, KDD'18: PROCEEDINGS OF THE 24TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING               ","10.1145/3219819.3219823           "," 814","116.29","50.62"
"5","HOFMANN T, 2004, ACM T INFORM SYST                                                                                                    ","10.1145/963770.963774             "," 787"," 37.48","35.37"
"6","GOH KY, 2013, INFORM SYST RES                                                                                                         ","10.1287/isre.1120.0469            "," 760"," 63.33","35.32"
"7","ZHENG L, 2017, WSDM'17: PROCEEDINGS OF THE TENTH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING                           ","10.1145/3018661.3018665           "," 632"," 79.00","47.49"
"8","BEN SCHAFER J, 2001, DATA MIN KNOWL DISC                                                                                              ","10.1023/A:1009804230409           "," 525"," 21.88","10.07"
"9","LIU Q, 2018, KDD'18: PROCEEDINGS OF THE 24TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING                 ","10.1145/3219819.3219950           "," 488"," 69.71","30.35"
"10","FAWCETT T, 1997, DATA MIN KNOWL DISC                                                                                                  ","10.1023/A:1009700419189           "," 476"," 17.00"," 4.63"
"11","BELLO-ORGAZ G, 2016, INFORM FUSION                                                                                                    ","10.1016/j.inffus.2015.08.005      "," 473"," 52.56","31.76"
"12","AAFER Y, 2013, L N INST COMP SCI SO                                                                                                   ","NA                                "," 430"," 35.83","19.99"
"13","CAO Q, 2011, DECIS SUPPORT SYST                                                                                                       ","10.1016/j.dss.2010.11.009         "," 425"," 30.36","22.59"
"14","MUKKAMALA S, 2002, IEEE IJCNN                                                                                                         ","10.1109/IJCNN.2002.1007774        "," 378"," 16.43","22.55"
"15","LEE W, 1998, PROCEEDINGS OF THE SEVENTH USENIX SECURITY SYMPOSIUM                                                                     ","NA                                "," 371"," 13.74"," 5.31"
"16","GHOSE A, 2012, MARKET SCI                                                                                                             ","10.1287/mksc.1110.0700            "," 346"," 26.62","20.23"
"17","HE RN, 2016, IEEE DATA MINING                                                                                                         ","10.1109/ICDM.2016.88              "," 341"," 37.89","22.90"
"18","HAZAN L, 2006, J NEUROSCI METH                                                                                                        ","10.1016/j.jneumeth.2006.01.017    "," 335"," 17.63","23.99"
"19","KOHAVI R, 2009, DATA MIN KNOWL DISC                                                                                                   ","10.1007/s10618-008-0114-1         "," 334"," 20.88","27.19"
"20","ZHENG Y, 2010, ACM T WEB                                                                                                              ","10.1145/1658373.1658374           "," 314"," 20.93","21.55"
"21","CHEN X, 2018, WSDM'18: PROCEEDINGS OF THE ELEVENTH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING                         ","10.1145/3159652.3159668           "," 290"," 41.43","18.03"
"22","YUAN J, 2013, IEEE T KNOWL DATA EN                                                                                                    ","10.1109/TKDE.2011.200             "," 274"," 22.83","12.74"
"23","QIU JZ, 2018, KDD'18: PROCEEDINGS OF THE 24TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING                ","10.1145/3219819.3220077           "," 269"," 38.43","16.73"
"24","LIU B, 2013, 19TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING (KDD'13)                                 ","NA                                "," 267"," 22.25","12.41"
"25","CHEN YX, 2007, KDD-2007 PROCEEDINGS OF THE THIRTEENTH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING      ","NA                                "," 266"," 14.78","22.97"
