"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","LIU Y            ","32","LIU Y            ","7.91"
"2","WANG Y           ","32","VAN DER AALST WMP","7.59"
"3","ZHANG Y          ","29","WANG Y           ","7.41"
"4","YU PS            ","27","YU PS            ","6.76"
"5","LI Y             ","26","YEN SJ           ","6.75"
"6","WANG H           ","24","ZHANG Y          ","6.65"
"7","LI X             ","22","VELÁSQUEZ JD     ","6.48"
"8","WANG X           ","22","MUNK M           ","6.43"
"9","CHEN Y           ","21","LI Y             ","6.17"
"10","MUNK M           ","21","WANG X           ","6.17"
"11","CHEN L           ","20","SARKER IH        ","6.17"
"12","VELÁSQUEZ JD     ","20","CHEN L           ","5.90"
"13","ZHANG L          ","20","LI X             ","5.82"
"14","LI J             ","19","LEE YS           ","5.25"
"15","VAN DER AALST WMP","19","TSENG VS         ","4.95"
"16","WANG J           ","19","LIM EP           ","4.85"
"17","FALOUTSOS C      ","18","CHEN Y           ","4.72"
"18","TSENG VS         ","18","WANG H           ","4.72"
"19","LEE S            ","17","COMITO C         ","4.67"
"20","LIU Q            ","17","WANG J           ","4.65"
"21","ZHANG M          ","17","LI J             ","4.59"
"22","LI L             ","16","ZHANG L          ","4.51"
"23","LI Q             ","16","TANG J           ","4.47"
"24","LIU H            ","16","PENG WC          ","4.43"
"25","YANG J           ","16","FALOUTSOS C      ","4.42"
"26","CHEN H           ","15","WANG C           ","4.04"
"27","LI H             ","15","WANG JY          ","4.03"
"28","LIU B            ","15","MURATA T         ","4.00"
"29","TANG J           ","15","XIAO YP          ","3.97"
"30","YEN SJ           ","15","LI Q             ","3.95"
"31","ZHANG J          ","15","LI L             ","3.83"
"32","CHEN EH          ","14","LIU H            ","3.80"
"33","LIM EP           ","14","GUPTA A          ","3.75"
"34","PENG WC          ","14","YANG Y           ","3.74"
"35","SARKER IH        ","14","ALHAJJ R         ","3.70"
"36","WANG C           ","14","YANG J           ","3.65"
"37","YANG Y           ","14","LIU Q            ","3.63"
"38","LEE YS           ","13","KIM J            ","3.62"
"39","LI Z             ","13","MASSEGLIA F      ","3.58"
"40","LIU L            ","13","LI H             ","3.54"
"41","LIU YQ           ","13","CHEN YL          ","3.53"
"42","MA SP            ","13","DOKUZ AS         ","3.50"
"43","WANG L           ","13","DRLÍK M          ","3.50"
"44","WANG Z           ","13","MEGHABGHAB G     ","3.50"
"45","XIAO YP          ","13","LIU B            ","3.34"
"46","XIE X            ","12","AGGARWAL CC      ","3.33"
"47","XIONG H          ","12","SINGH S          ","3.32"
"48","ALHAJJ R         ","11","WANG YL          ","3.28"
"49","CHEN X           ","11","KAPUSTA J        ","3.25"
"50","KAPUSTA J        ","11","HUANG YP         ","3.25"
"51","TALIA D          ","11","CHEN H           ","3.23"
"52","WANG W           ","11","LEE S            ","3.21"
"53","XU J             ","11","LIU L            ","3.19"
"54","ZHANG X          ","11","HUNG SS          ","3.17"
"55","CHEN J           ","10","ZHANG M          ","3.11"
"56","GAO J            ","10","ZHANG J          ","3.08"
"57","GAO Y            ","10","WANG L           ","3.08"
"58","GUPTA A          ","10","CHEN SY          ","3.03"
"59","HAN J            ","10","BORZEMSKI L      ","3.00"
"60","HONG TP          ","10","LIAO SH          ","3.00"
"61","KUMAR S          ","10","MORENCY C        ","2.95"
"62","LI N             ","10","BAEZA-YATES R    ","2.87"
"63","LI T             ","10","HAN J            ","2.83"
"64","LIU YB           ","10","LU EHC           ","2.83"
"65","LU EHC           ","10","SINGH A          ","2.83"
"66","MASSEGLIA F      ","10","WANG W           ","2.81"
"67","WANG JY          ","10","LI B             ","2.78"
"68","WANG YL          ","10","LEE WS           ","2.78"
"69","YIN HZ           ","10","OH SH            ","2.73"
"70","ZHANG K          ","10","TALIA D          ","2.73"
"71","ZHAO Y           ","10","ZHANG P          ","2.71"
"72","CHEN C           "," 9","CHEN CC          ","2.70"
"73","CHEN SY          "," 9","ZHANG X          ","2.69"
"74","COLMAN A         "," 9","SHEN Y           ","2.67"
"75","FOURNIER-VIGER P "," 9","LI QS            ","2.67"
"76","GAN WS           "," 9","LIU DSM          ","2.67"
"77","HAN JW           "," 9","HONG TP          ","2.64"
"78","JIANG M          "," 9","LIU C            ","2.64"
"79","KIM J            "," 9","LU W             ","2.62"
"80","LIAO SH          "," 9","PONCELET P       ","2.61"
"81","LIU C            "," 9","MA SP            ","2.61"
"82","LIU J            "," 9","LIU YB           ","2.61"
"83","LIU SY           "," 9","CHEN HH          ","2.59"
"84","MORENCY C        "," 9","BERENDT B        ","2.58"
"85","PONCELET P       "," 9","WU B             ","2.57"
"86","SINGH S          "," 9","ZHANG YC         ","2.56"
"87","WU B             "," 9","XIE X            ","2.54"
"88","WU J             "," 9","KITSUREGAWA M    ","2.53"
"89","XU GD            "," 9","WANG Z           ","2.51"
"90","YANG Z           "," 9","HOANG TA         ","2.50"
"91","YU Y             "," 9","HOFGESANG PI     ","2.50"
"92","ZHANG JL         "," 9","SU P             ","2.50"
"93","ZHANG R          "," 9","VELASQUEZ JD     ","2.50"
"94","ZHANG YC         "," 9","JUNG JJ          ","2.48"
"95","ZHOU J           "," 9","LIU YQ           ","2.48"
"96","CHEN CC          "," 8","LI Z             ","2.47"
"97","CHEN HH          "," 8","LIU J            ","2.47"
"98","CHEN JJ          "," 8","CHEN X           ","2.47"
"99","CHEN SC          "," 8","WANG T           ","2.43"
"100","CHEN W           "," 8","LI T             ","2.42"
