"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","CHINA          ","1756","0.359394","1398","358","0.2039"
"2","USA            "," 647","0.132419"," 544","103","0.1592"
"3","INDIA          "," 340","0.069587"," 326"," 14","0.0412"
"4","ITALY          "," 159","0.032542"," 124"," 35","0.2201"
"5","CANADA         "," 142","0.029063"," 110"," 32","0.2254"
"6","SPAIN          "," 131","0.026811","  97"," 34","0.2595"
"7","GERMANY        "," 128","0.026197","  92"," 36","0.2812"
"8","UNITED KINGDOM "," 126","0.025788","  84"," 42","0.3333"
"9","AUSTRALIA      "," 125","0.025583","  83"," 42","0.3360"
"10","JAPAN          "," 115","0.023537","  96"," 19","0.1652"
"11","KOREA          "," 106","0.021695","  77"," 29","0.2736"
"12","FRANCE         "," 103","0.021081","  79"," 24","0.2330"
"13","GREECE         ","  63","0.012894","  52"," 11","0.1746"
"14","BRAZIL         ","  59","0.012075","  40"," 19","0.3220"
"15","IRAN           ","  58","0.011871","  46"," 12","0.2069"
"16","NETHERLANDS    ","  51","0.010438","  40"," 11","0.2157"
"17","SINGAPORE      ","  48","0.009824","  34"," 14","0.2917"
"18","POLAND         ","  42","0.008596","  36","  6","0.1429"
"19","PORTUGAL       ","  35","0.007163","  23"," 12","0.3429"
"20","SLOVAKIA       ","  35","0.007163","  30","  5","0.1429"
"21","MALAYSIA       ","  33","0.006754","  26","  7","0.2121"
"22","TURKEY         ","  29","0.005935","  24","  5","0.1724"
"23","RUSSIA         ","  28","0.005731","  20","  8","0.2857"
"24","CZECH REPUBLIC ","  25","0.005117","  22","  3","0.1200"
"25","BELGIUM        ","  24","0.004912","  13"," 11","0.4583"
"26","ISRAEL         ","  24","0.004912","  19","  5","0.2083"
"27","SWEDEN         ","  23","0.004707","  14","  9","0.3913"
"28","TUNISIA        ","  23","0.004707","  16","  7","0.3043"
"29","AUSTRIA        ","  22","0.004503","  17","  5","0.2273"
"30","SWITZERLAND    ","  22","0.004503","  15","  7","0.3182"
"31","THAILAND       ","  22","0.004503","  21","  1","0.0455"
"32","CHILE          ","  21","0.004298","  17","  4","0.1905"
"33","IRELAND        ","  21","0.004298","  15","  6","0.2857"
"34","SAUDI ARABIA   ","  18","0.003684","  12","  6","0.3333"
"35","INDONESIA      ","  16","0.003275","  14","  2","0.1250"
"36","ROMANIA        ","  16","0.003275","  14","  2","0.1250"
"37","EGYPT          ","  15","0.003070","  13","  2","0.1333"
"38","FINLAND        ","  15","0.003070","  10","  5","0.3333"
"39","PAKISTAN       ","  15","0.003070","  12","  3","0.2000"
"40","VIETNAM        ","  13","0.002661","   4","  9","0.6923"
"41","NORWAY         ","  11","0.002251","   6","  5","0.4545"
"42","ALGERIA        ","  10","0.002047","   5","  5","0.5000"
"43","U ARAB EMIRATES","  10","0.002047","   8","  2","0.2000"
"44","HUNGARY        ","   9","0.001842","   9","  0","0.0000"
"45","COLOMBIA       ","   8","0.001637","   7","  1","0.1250"
"46","DENMARK        ","   8","0.001637","   3","  5","0.6250"
"47","ECUADOR        ","   8","0.001637","   4","  4","0.5000"
"48","ESTONIA        ","   8","0.001637","   5","  3","0.3750"
"49","MOROCCO        ","   8","0.001637","   6","  2","0.2500"
"50","JORDAN         ","   7","0.001433","   2","  5","0.7143"
"51","MEXICO         ","   7","0.001433","   6","  1","0.1429"
"52","NEW ZEALAND    ","   7","0.001433","   5","  2","0.2857"
"53","SOUTH AFRICA   ","   7","0.001433","   5","  2","0.2857"
"54","BANGLADESH     ","   6","0.001228","   4","  2","0.3333"
"55","CROATIA        ","   6","0.001228","   4","  2","0.3333"
"56","LUXEMBOURG     ","   6","0.001228","   5","  1","0.1667"
"57","SLOVENIA       ","   6","0.001228","   4","  2","0.3333"
"58","KUWAIT         ","   5","0.001023","   4","  1","0.2000"
"59","ARGENTINA      ","   4","0.000819","   2","  2","0.5000"
"60","IRAQ           ","   4","0.000819","   4","  0","0.0000"
"61","MYANMAR        ","   4","0.000819","   4","  0","0.0000"
"62","SERBIA         ","   4","0.000819","   4","  0","0.0000"
"63","SRI LANKA      ","   4","0.000819","   4","  0","0.0000"
"64","UKRAINE        ","   4","0.000819","   3","  1","0.2500"
"65","CYPRUS         ","   3","0.000614","   2","  1","0.3333"
"66","LITHUANIA      ","   3","0.000614","   2","  1","0.3333"
"67","PHILIPPINES    ","   3","0.000614","   3","  0","0.0000"
"68","OMAN           ","   2","0.000409","   1","  1","0.5000"
"69","URUGUAY        ","   2","0.000409","   2","  0","0.0000"
"70","ALBANIA        ","   1","0.000205","   0","  1","1.0000"
"71","BHUTAN         ","   1","0.000205","   0","  1","1.0000"
"72","BOSNIA         ","   1","0.000205","   0","  1","1.0000"
"73","CUBA           ","   1","0.000205","   0","  1","1.0000"
"74","HONDURAS       ","   1","0.000205","   0","  1","1.0000"
"75","KYRGYZSTAN     ","   1","0.000205","   0","  1","1.0000"
"76","LATVIA         ","   1","0.000205","   1","  0","0.0000"
"77","MACEDONIA      ","   1","0.000205","   1","  0","0.0000"
"78","MALTA          ","   1","0.000205","   1","  0","0.0000"
"79","MONGOLIA       ","   1","0.000205","   1","  0","0.0000"
"80","MOZAMBIQUE     ","   1","0.000205","   0","  1","1.0000"
"81","NAMIBIA        ","   1","0.000205","   1","  0","0.0000"
"82","NEPAL          ","   1","0.000205","   0","  1","1.0000"
"83","NIGERIA        ","   1","0.000205","   1","  0","0.0000"
"84","PARAGUAY       ","   1","0.000205","   1","  0","0.0000"
"85","PERU           ","   1","0.000205","   1","  0","0.0000"
"86","QATAR          ","   1","0.000205","   0","  1","1.0000"
"87","VENEZUELA      ","   1","0.000205","   1","  0","0.0000"
