"","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"1","DATA MINING                   ","777","MODEL                 ","181"
"2","MACHINE LEARNING              ","202","BEHAVIOR              ","180"
"3","WEB USAGE MINING              ","197","INFORMATION           ","106"
"4","TEXT MINING                   ","173","PATTERNS              "," 95"
"5","SOCIAL MEDIA                  ","161","FRAMEWORK             "," 78"
"6","CLUSTERING                    ","140","SYSTEM                "," 78"
"7","USER BEHAVIOR                 ","136","IMPACT                "," 74"
"8","BIG DATA                      ","115","SYSTEMS               "," 64"
"9","WEB MINING                    ","109","SOCIAL MEDIA          "," 62"
"10","PROCESS MINING                "," 99","NETWORKS              "," 60"
"11","SENTIMENT ANALYSIS            "," 96","PERFORMANCE           "," 50"
"12","SOCIAL NETWORKS               "," 95","PREDICTION            "," 50"
"13","TWITTER                       "," 90","WEB                   "," 50"
"14","COLLABORATIVE FILTERING       "," 85","ALGORITHM             "," 49"
"15","RECOMMENDER SYSTEMS           "," 80","INTERNET              "," 44"
"16","RECOMMENDER SYSTEM            "," 78","DISCOVERY             "," 43"
"17","ASSOCIATION RULES             "," 73","CLASSIFICATION        "," 42"
"18","SOCIAL NETWORK                "," 72","MANAGEMENT            "," 40"
"19","DEEP LEARNING                 "," 67","MODELS                "," 39"
"20","ANOMALY DETECTION             "," 66","TECHNOLOGY            "," 39"
"21","SOCIAL NETWORK ANALYSIS       "," 63","WORD-OF-MOUTH         "," 39"
"22","PERSONALIZATION               "," 62","DESIGN                "," 38"
"23","CLASSIFICATION                "," 61","KNOWLEDGE             "," 35"
"24","E-COMMERCE                    "," 59","BIG DATA              "," 34"
"25","USER MODELING                 "," 58","TWITTER               "," 34"
"26","OPINION MINING                "," 51","NETWORK               "," 32"
"27","FEATURE EXTRACTION            "," 46","MEDIA                 "," 29"
"28","RECOMMENDATION                "," 46","ONLINE                "," 29"
"29","GRAPH MINING                  "," 40","RECOMMENDATION        "," 29"
"30","RECOMMENDATION SYSTEM         "," 40","QUALITY               "," 27"
"31","EDUCATIONAL DATA MINING       "," 39","SENTIMENT ANALYSIS    "," 27"
"32","NATURAL LANGUAGE PROCESSING   "," 39","TIME                  "," 27"
"33","SEQUENTIAL PATTERN MINING     "," 36","DYNAMICS              "," 26"
"34","PATTERN MINING                "," 35","SEARCH                "," 26"
"35","INTRUSION DETECTION           "," 34","IDENTIFICATION        "," 25"
"36","KNOWLEDGE DISCOVERY           "," 34","ANALYTICS             "," 24"
"37","ONLINE SOCIAL NETWORKS        "," 34","REVIEWS               "," 24"
"38","SEQUENTIAL RECOMMENDATION     "," 34","HEALTH                "," 23"
"39","WEB LOG MINING                "," 34","RECOGNITION           "," 23"
"40","ASSOCIATION RULE MINING       "," 33","SATISFACTION          "," 23"
"41","DATA ANALYSIS                 "," 29","USAGE                 "," 23"
"42","GRAPH NEURAL NETWORK          "," 29","ALGORITHMS            "," 22"
"43","USER PROFILING                "," 29","PERSONALITY           "," 22"
"44","PREDICTION                    "," 28","USERS                 "," 22"
"45","RECOMMENDATION SYSTEMS        "," 28","FACEBOOK              "," 21"
"46","BEHAVIOR ANALYSIS             "," 27","PROCESS MODELS        "," 21"
"47","USER BEHAVIOR ANALYSIS        "," 27","SUPPORT               "," 21"
"48","USER BEHAVIOR MODELING        "," 27","ACCEPTANCE            "," 20"
"49","CLOUD COMPUTING               "," 26","SELECTION             "," 20"
"50","COVID-19                      "," 26","SEQUENTIAL PATTERNS   "," 20"
"51","PRIVACY                       "," 26","SITES                 "," 20"
"52","TOPIC MODELING                "," 26","TRUST                 "," 20"
"53","FRAUD DETECTION               "," 25","EXPERIENCE            "," 19"
"54","PERSONALIZED RECOMMENDATION   "," 25","OPTIMIZATION          "," 19"
"55","ONTOLOGY                      "," 24","PERSONALIZATION       "," 19"
"56","VISUAL ANALYTICS              "," 24","DEMAND                "," 18"
"57","ATTENTION MECHANISM           "," 23","ENGAGEMENT            "," 17"
"58","ASSOCIATION RULE              "," 22","USER                  "," 17"
"59","SOCIAL MEDIA MINING           "," 22","MOTIVATION            "," 16"
"60","USER IDENTIFICATION           "," 22","PERCEPTIONS           "," 16"
"61","USER PROFILE                  "," 22","PRIVACY               "," 16"
"62","USER-GENERATED CONTENT        "," 22","TRACKING              "," 16"
"63","APRIORI ALGORITHM             "," 21","BEHAVIORS             "," 15"
"64","ARTIFICIAL INTELLIGENCE       "," 21","CONSUMERS             "," 15"
"65","CONSUMER BEHAVIOR             "," 21","DETERMINANTS          "," 15"
"66","E-LEARNING                    "," 21","EVOLUTION             "," 15"
"67","FREQUENT PATTERN MINING       "," 21","KNOWLEDGE DISCOVERY   "," 15"
"68","MATRIX FACTORIZATION          "," 21","SALES                 "," 15"
"69","USER BEHAVIOUR                "," 21","SENTIMENT             "," 15"
"70","VISUALIZATION                 "," 21","SERVICES              "," 15"
"71","ALGORITHMS                    "," 20","STRATEGIES            "," 15"
"72","EXPERIMENTATION               "," 20","TRAITS                "," 15"
"73","HUMAN MOBILITY                "," 20","VISUALIZATION         "," 15"
"74","INFORMATION RETRIEVAL         "," 20","ANTECEDENTS           "," 14"
"75","INTERNET OF THINGS            "," 20","CENTRALITY            "," 14"
"76","NEURAL NETWORKS               "," 20","CHOICE                "," 14"
"77","SECURITY                      "," 20","COMMERCE              "," 14"
"78","USER EXPERIENCE               "," 20","CONSUMPTION           "," 14"
