"","Sources       ","Articles"
"1","IEEE ACCESS                                                                                                               ","82"
"2","EXPERT SYSTEMS WITH APPLICATIONS                                                                                          ","52"
"3","IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING                                                                       ","36"
"4","COMPUTERS IN HUMAN BEHAVIOR                                                                                               ","29"
"5","KNOWLEDGE-BASED SYSTEMS                                                                                                   ","29"
"6","SOCIAL NETWORK ANALYSIS AND MINING                                                                                        ","29"
"7","DATA MINING AND KNOWLEDGE DISCOVERY                                                                                       ","24"
"8","WSDM'22: PROCEEDINGS OF THE FIFTEENTH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING                          ","22"
"9","INFORMATION SCIENCES                                                                                                      ","21"
"10","DECISION SUPPORT SYSTEMS                                                                                                  ","20"
"11","JOURNAL OF MEDICAL INTERNET RESEARCH                                                                                      ","19"
"12","PROCEEDINGS OF THE 29TH ACM SIGKDD CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING KDD 2023                             ","19"
"13","ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA                                                                         ","18"
"14","JOURNAL OF INTELLIGENT & FUZZY SYSTEMS                                                                                    ","18"
"15","2018 IEEE/ACM INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING (ASONAM)                        ","17"
"16","KDD'19: PROCEEDINGS OF THE 25TH ACM SIGKDD INTERNATIONAL CONFERENCCE ON KNOWLEDGE DISCOVERY AND DATA MINING               ","17"
"17","PROCEEDINGS OF THE 2015 IEEE/ACM INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING (ASONAM 2015)","17"
"18","SUSTAINABILITY                                                                                                            ","17"
"19","APPLIED SCIENCES-BASEL                                                                                                    ","16"
"20","ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION                                                                            ","16"
"21","KDD '20: PROCEEDINGS OF THE 26TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING                 ","16"
"22","SENSORS                                                                                                                   ","16"
"23","2014 PROCEEDINGS OF THE IEEE/ACM INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING (ASONAM 2014)","15"
"24","ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY                                                                    ","15"
"25","INFORMATION PROCESSING & MANAGEMENT                                                                                       ","15"
"26","KNOWLEDGE AND INFORMATION SYSTEMS                                                                                         ","15"
"27","PROCEEDINGS OF THE 13TH INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING (WSDM '20)                                 ","15"
"28","2015 IEEE INTERNATIONAL CONFERENCE ON DATA MINING WORKSHOP (ICDMW)                                                        ","14"
"29","ELECTRONICS                                                                                                               ","14"
"30","APPLIED INTELLIGENCE                                                                                                      ","13"
"31","IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS                                                                         ","13"
"32","INFORMATION SYSTEMS                                                                                                       ","13"
"33","PROCEEDINGS OF THE 2019 IEEE/ACM INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING (ASONAM 2019)","13"
"34","WIRELESS COMMUNICATIONS & MOBILE COMPUTING                                                                                ","13"
"35","WSDM'17: PROCEEDINGS OF THE TENTH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING                              ","13"
"36","2013 IEEE/ACM INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING (ASONAM)                        ","12"
"37","COMPUTERS & SECURITY                                                                                                      ","12"
"38","KDD '21: PROCEEDINGS OF THE 27TH ACM SIGKDD CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING                               ","12"
"39","KDD'15: PROCEEDINGS OF THE 21ST ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING                ","12"
"40","KDD'18: PROCEEDINGS OF THE 24TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY & DATA MINING                  ","12"
"41","NEUROCOMPUTING                                                                                                            ","12"
"42","PROCEEDINGS OF THE 2016 IEEE/ACM INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING ASONAM 2016  ","12"
"43","WSDM'18: PROCEEDINGS OF THE ELEVENTH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING                           ","12"
"44","APPLIED SOFT COMPUTING                                                                                                    ","11"
"45","KDD'16: PROCEEDINGS OF THE 22ND ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING                ","11"
"46","PERVASIVE AND MOBILE COMPUTING                                                                                            ","11"
"47","19TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING (KDD'13)                                  ","10"
"48","2012 IEEE/ACM INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING (ASONAM)                        ","10"
"49","2017 17TH IEEE INTERNATIONAL CONFERENCE ON DATA MINING WORKSHOPS (ICDMW 2017)                                             ","10"
"50","ADVANCES IN KNOWLEDGE DISCOVERY AND DATA MINING PROCEEDINGS                                                               ","10"
"51","MATHEMATICAL PROBLEMS IN ENGINEERING                                                                                      ","10"
"52","PLOS ONE                                                                                                                  ","10"
"53","PROCEEDINGS OF THE 20TH ACM SIGKDD INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING (KDD'14)               ","10"
"54","PROCEEDINGS OF THE NINTH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING (WSDM'16)                             ","10"
"55","TRENDS AND APPLICATIONS IN KNOWLEDGE DISCOVERY AND DATA MINING                                                            ","10"
"56","USER MODELING AND USER-ADAPTED INTERACTION                                                                                ","10"
"57","WSDM'14: PROCEEDINGS OF THE 7TH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING                                ","10"
"58","2020 IEEE/ACM INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING (ASONAM)                        "," 9"
"59","ACM TRANSACTIONS ON THE WEB                                                                                               "," 9"
"60","ELECTRONIC LIBRARY                                                                                                        "," 9"
"61","ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE                                                                       "," 9"
"62","FRONTIERS IN PSYCHOLOGY                                                                                                   "," 9"
"63","JOURNAL OF INFORMATION SCIENCE                                                                                            "," 9"
"64","KDD-09: 15TH ACM SIGKDD CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING                                                 "," 9"
"65","ONLINE INFORMATION REVIEW                                                                                                 "," 9"
"66","SCIENTIFIC PROGRAMMING                                                                                                    "," 9"
"67","SOFT COMPUTING                                                                                                            "," 9"
"68","WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY                                                       "," 9"
"69","WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS                                                                       "," 9"
"70","WSDM '21: PROCEEDINGS OF THE 14TH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING                              "," 9"
"71","2019 19TH IEEE INTERNATIONAL CONFERENCE ON DATA MINING (ICDM 2019)                                                        "," 8"
"72","CHINA COMMUNICATIONS                                                                                                      "," 8"
"73","COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE                                                                               "," 8"
"74","ENERGIES                                                                                                                  "," 8"
"75","EXPERT SYSTEMS                                                                                                            "," 8"
"76","JOURNAL OF SUPERCOMPUTING                                                                                                 "," 8"
"77","JOURNAL OF SYSTEMS AND SOFTWARE                                                                                           "," 8"
"78","LIBRARY HI TECH                                                                                                           "," 8"
"79","MULTIMEDIA TOOLS AND APPLICATIONS                                                                                         "," 8"
"80","PROCEEDINGS OF THE TWELFTH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING (WSDM'19)                           "," 8"
"81","TRANSPORTATION RESEARCH RECORD                                                                                            "," 8"
"82","2014 IEEE INTERNATIONAL CONFERENCE ON DATA MINING (ICDM)                                                                  "," 7"
"83","2017 IEEE/WIC/ACM INTERNATIONAL CONFERENCE ON WEB INTELLIGENCE (WI 2017)                                                  "," 7"
"84","2022 IEEE INTERNATIONAL CONFERENCE ON DATA MINING WORKSHOPS ICDMW                                                         "," 7"
"85","ACM TRANSACTIONS ON INFORMATION SYSTEMS                                                                                   "," 7"
"86","ADVANCED DATA MINING AND APPLICATIONS ADMA 2017                                                                           "," 7"
"87","ADVANCES IN KNOWLEDGE DISCOVERY AND DATA MINING PAKDD 2017 PT II                                                          "," 7"
"88","APPLIED ARTIFICIAL INTELLIGENCE                                                                                           "," 7"
"89","COMPLEXITY                                                                                                                "," 7"
"90","COMPUTER JOURNAL                                                                                                          "," 7"
"91","DATA & KNOWLEDGE ENGINEERING                                                                                              "," 7"
"92","FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE                                                  "," 7"
"93","IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS                                                                             "," 7"
"94","INTELLIGENT DATA ANALYSIS                                                                                                 "," 7"
"95","INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE                                                                 "," 7"
"96","JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING                                                                   "," 7"
"97","JOURNAL OF INFORMATION SCIENCE AND ENGINEERING                                                                            "," 7"
"98","JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY                                                         "," 7"
"99","MOBILE INFORMATION SYSTEMS                                                                                                "," 7"
"100","NEURAL COMPUTING & APPLICATIONS                                                                                           "," 7"
