"","Country     ","Total Citations","Average Article Citations"
"1","CHINA          ","20579","11.719"
"2","USA            ","18804","29.063"
"3","UNITED KINGDOM "," 2577","20.452"
"4","CANADA         "," 2298","16.183"
"5","AUSTRALIA      "," 2040","16.320"
"6","INDIA          "," 1778"," 5.229"
"7","ITALY          "," 1736","10.918"
"8","KOREA          "," 1705","16.085"
"9","GERMANY        "," 1562","12.203"
"10","SPAIN          "," 1511","11.534"
"11","SINGAPORE      "," 1363","28.396"
"12","NETHERLANDS    "," 1133","22.216"
"13","JAPAN          ","  765"," 6.652"
"14","FRANCE         ","  733"," 7.117"
"15","SWITZERLAND    ","  694","31.545"
"16","BELGIUM        ","  638","26.583"
"17","IRAN           ","  617","10.638"
"18","BRAZIL         ","  490"," 8.305"
"19","GREECE         ","  474"," 7.524"
"20","MALAYSIA       ","  346","10.485"
"21","PORTUGAL       ","  345"," 9.857"
"22","AUSTRIA        ","  340","15.455"
"23","SLOVAKIA       ","  298"," 8.514"
"24","CHILE          ","  264","12.571"
"25","POLAND         ","  262"," 6.238"
"26","FINLAND        ","  212","14.133"
"27","TURKEY         ","  206"," 7.103"
"28","SWEDEN         ","  202"," 8.783"
"29","ISRAEL         ","  195"," 8.125"
"30","IRELAND        ","  147"," 7.000"
"31","VIETNAM        ","  120"," 9.231"
"32","TUNISIA        ","  118"," 5.130"
"33","SAUDI ARABIA   ","  105"," 5.833"
"34","U ARAB EMIRATES","   95"," 9.500"
"35","DENMARK        ","   90","11.250"
"36","RUSSIA         ","   88"," 3.143"
"37","CYPRUS         ","   81","27.000"
"38","CZECH REPUBLIC ","   80"," 3.200"
"39","NORWAY         ","   80"," 7.273"
"40","ESTONIA        ","   79"," 9.875"
"41","NEW ZEALAND    ","   68"," 9.714"
"42","MOROCCO        ","   64"," 8.000"
"43","ROMANIA        ","   60"," 3.750"
"44","COLOMBIA       ","   57"," 7.125"
"45","ALGERIA        ","   55"," 5.500"
"46","SLOVENIA       ","   55"," 9.167"
"47","KUWAIT         ","   54","10.800"
"48","THAILAND       ","   54"," 2.455"
"49","HUNGARY        ","   50"," 5.556"
"50","EGYPT          ","   49"," 3.267"
"51","INDONESIA      ","   45"," 2.812"
"52","PAKISTAN       ","   44"," 2.933"
"53","ARGENTINA      ","   43","10.750"
"54","QATAR          ","   31","31.000"
"55","ECUADOR        ","   27"," 3.375"
"56","BANGLADESH     ","   22"," 3.667"
"57","JORDAN         ","   22"," 3.143"
"58","MYANMAR        ","   19"," 4.750"
"59","SERBIA         ","   19"," 4.750"
"60","SOUTH AFRICA   ","   16"," 2.286"
"61","CROATIA        ","   15"," 2.500"
"62","LUXEMBOURG     ","   13"," 2.167"
"63","MOZAMBIQUE     ","   13","13.000"
"64","IRAQ           ","   12"," 3.000"
"65","SRI LANKA      ","    8"," 2.000"
"66","KYRGYZSTAN     ","    3"," 3.000"
"67","LATVIA         ","    3"," 3.000"
"68","MALTA          ","    3"," 3.000"
"69","CUBA           ","    2"," 2.000"
"70","LITHUANIA      ","    2"," 0.667"
"71","MEXICO         ","    2"," 0.286"
"72","NEPAL          ","    2"," 2.000"
"73","ALBANIA        ","    1"," 1.000"
"74","BOSNIA         ","    1"," 1.000"
"75","NIGERIA        ","    1"," 1.000"
"76","PHILIPPINES    ","    1"," 0.333"
"77","UKRAINE        ","    1"," 0.250"
"78","URUGUAY        ","    1"," 0.500"
"79","BHUTAN         ","    0"," 0.000"
"80","HONDURAS       ","    0"," 0.000"
"81","MACEDONIA      ","    0"," 0.000"
"82","MONGOLIA       ","    0"," 0.000"
"83","NAMIBIA        ","    0"," 0.000"
"84","OMAN           ","    0"," 0.000"
"85","PARAGUAY       ","    0"," 0.000"
"86","PERU           ","    0"," 0.000"
"87","VENEZUELA      ","    0"," 0.000"
