"Year","Articles","MeanTCperArt","MeanTCperYear"
1993,1,2,0.0645161290322581
1994,0,0,0
1995,3,12.3333333333333,0.425287356321839
1996,3,372.666666666667,13.3095238095238
1997,5,102.8,3.80740740740741
1998,8,69.875,2.6875
1999,4,30.25,1.21
2000,16,28.625,1.19270833333333
2001,17,52.1176470588235,2.26598465473146
2002,38,16.7631578947368,0.761961722488038
2003,59,15.7627118644068,0.750605326876513
2004,75,22.2533333333333,1.11266666666667
2005,95,9.10526315789473,0.479224376731302
2006,78,13.9615384615385,0.775641025641026
2007,119,11.5798319327731,0.681166584280771
2008,105,29.5809523809524,1.84880952380952
2009,145,12.2827586206897,0.818850574712643
2010,122,14.5737704918033,1.04098360655738
2011,116,18.8103448275862,1.44694960212202
2012,150,17.1,1.425
2013,233,21.5150214592275,1.95591104174795
2014,293,20.3242320819113,2.03242320819113
2015,349,12.9713467048711,1.44126074498567
2016,329,14.8936170212766,1.86170212765957
2017,389,13.3084832904884,1.90121189864121
2018,410,16.080487804878,2.68008130081301
2019,401,11.2668329177057,2.25336658354115
2020,359,9.52367688022284,2.38091922005571
2021,344,8.47383720930232,2.82461240310077
2022,411,3.8345498783455,1.91727493917275
2023,290,1.17586206896552,1.17586206896552
