"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",15,"SWITZERLAND    ",694,31.545,22,15,7,0.3182
"2",54,"QATAR          ",31,31,1,0,1,1
"3",2,"USA            ",18804,29.063,647,544,103,0.1592
"4",11,"SINGAPORE      ",1363,28.396,48,34,14,0.2917
"5",37,"CYPRUS         ",81,27,3,2,1,0.3333
"6",16,"BELGIUM        ",638,26.583,24,13,11,0.4583
"7",12,"NETHERLANDS    ",1133,22.216,51,40,11,0.2157
"8",3,"UNITED KINGDOM ",2577,20.452,126,84,42,0.3333
"9",5,"AUSTRALIA      ",2040,16.32,125,83,42,0.336
"10",4,"CANADA         ",2298,16.183,142,110,32,0.2254
"11",8,"KOREA          ",1705,16.085,106,77,29,0.2736
"12",22,"AUSTRIA        ",340,15.455,22,17,5,0.2273
"13",26,"FINLAND        ",212,14.133,15,10,5,0.3333
"14",63,"MOZAMBIQUE     ",13,13,1,0,1,1
"15",24,"CHILE          ",264,12.571,21,17,4,0.1905
"16",9,"GERMANY        ",1562,12.203,128,92,36,0.2812
"17",1,"CHINA          ",20579,11.719,1756,1398,358,0.2039
"18",10,"SPAIN          ",1511,11.534,131,97,34,0.2595
"19",35,"DENMARK        ",90,11.25,8,3,5,0.625
"20",7,"ITALY          ",1736,10.918,159,124,35,0.2201
"21",47,"KUWAIT         ",54,10.8,5,4,1,0.2
"22",53,"ARGENTINA      ",43,10.75,4,2,2,0.5
"23",17,"IRAN           ",617,10.638,58,46,12,0.2069
"24",20,"MALAYSIA       ",346,10.485,33,26,7,0.2121
"25",40,"ESTONIA        ",79,9.875,8,5,3,0.375
"26",21,"PORTUGAL       ",345,9.857,35,23,12,0.3429
"27",41,"NEW ZEALAND    ",68,9.714,7,5,2,0.2857
"28",34,"U ARAB EMIRATES",95,9.5,10,8,2,0.2
"29",31,"VIETNAM        ",120,9.231,13,4,9,0.6923
"30",46,"SLOVENIA       ",55,9.167,6,4,2,0.3333
"31",28,"SWEDEN         ",202,8.783,23,14,9,0.3913
"32",23,"SLOVAKIA       ",298,8.514,35,30,5,0.1429
"33",18,"BRAZIL         ",490,8.305,59,40,19,0.322
"34",29,"ISRAEL         ",195,8.125,24,19,5,0.2083
"35",42,"MOROCCO        ",64,8,8,6,2,0.25
"36",19,"GREECE         ",474,7.524,63,52,11,0.1746
"37",39,"NORWAY         ",80,7.273,11,6,5,0.4545
"38",44,"COLOMBIA       ",57,7.125,8,7,1,0.125
"39",14,"FRANCE         ",733,7.117,103,79,24,0.233
"40",27,"TURKEY         ",206,7.103,29,24,5,0.1724
"41",30,"IRELAND        ",147,7,21,15,6,0.2857
"42",13,"JAPAN          ",765,6.652,115,96,19,0.1652
"43",25,"POLAND         ",262,6.238,42,36,6,0.1429
"44",33,"SAUDI ARABIA   ",105,5.833,18,12,6,0.3333
"45",49,"HUNGARY        ",50,5.556,9,9,0,0
"46",45,"ALGERIA        ",55,5.5,10,5,5,0.5
"47",6,"INDIA          ",1778,5.229,340,326,14,0.0412
"48",32,"TUNISIA        ",118,5.13,23,16,7,0.3043
"49",58,"MYANMAR        ",19,4.75,4,4,0,0
"50",59,"SERBIA         ",19,4.75,4,4,0,0
"51",43,"ROMANIA        ",60,3.75,16,14,2,0.125
"52",56,"BANGLADESH     ",22,3.667,6,4,2,0.3333
"53",55,"ECUADOR        ",27,3.375,8,4,4,0.5
"54",50,"EGYPT          ",49,3.267,15,13,2,0.1333
"55",38,"CZECH REPUBLIC ",80,3.2,25,22,3,0.12
"56",36,"RUSSIA         ",88,3.143,28,20,8,0.2857
"57",57,"JORDAN         ",22,3.143,7,2,5,0.7143
"58",64,"IRAQ           ",12,3,4,4,0,0
"59",66,"KYRGYZSTAN     ",3,3,1,0,1,1
"60",67,"LATVIA         ",3,3,1,1,0,0
"61",68,"MALTA          ",3,3,1,1,0,0
"62",52,"PAKISTAN       ",44,2.933,15,12,3,0.2
"63",51,"INDONESIA      ",45,2.812,16,14,2,0.125
"64",61,"CROATIA        ",15,2.5,6,4,2,0.3333
"65",48,"THAILAND       ",54,2.455,22,21,1,0.0455
"66",60,"SOUTH AFRICA   ",16,2.286,7,5,2,0.2857
"67",62,"LUXEMBOURG     ",13,2.167,6,5,1,0.1667
"68",65,"SRI LANKA      ",8,2,4,4,0,0
"69",69,"CUBA           ",2,2,1,0,1,1
"70",72,"NEPAL          ",2,2,1,0,1,1
"71",73,"ALBANIA        ",1,1,1,0,1,1
"72",74,"BOSNIA         ",1,1,1,0,1,1
"73",75,"NIGERIA        ",1,1,1,1,0,0
"74",70,"LITHUANIA      ",2,0.667,3,2,1,0.3333
"75",78,"URUGUAY        ",1,0.5,2,2,0,0
"76",76,"PHILIPPINES    ",1,0.333,3,3,0,0
"77",71,"MEXICO         ",2,0.286,7,6,1,0.1429
"78",77,"UKRAINE        ",1,0.25,4,3,1,0.25
"79",79,"BHUTAN         ",0,0,1,0,1,1
"80",80,"HONDURAS       ",0,0,1,0,1,1
"81",81,"MACEDONIA      ",0,0,1,1,0,0
"82",82,"MONGOLIA       ",0,0,1,1,0,0
"83",83,"NAMIBIA        ",0,0,1,1,0,0
"84",84,"OMAN           ",0,0,2,1,1,0.5
"85",85,"PARAGUAY       ",0,0,1,1,0,0
"86",86,"PERU           ",0,0,1,1,0,0
"87",87,"VENEZUELA      ",0,0,1,1,0,0
