"","Year   ","Articles"
"1","1986",1
"2","1991",6
"3","1992",6
"4","1993",14
"5","1994",16
"6","1995",20
"7","1996",64
"8","1997",117
"9","1998",95
"10","1999",96
"11","2000",100
"12","2001",93
"13","2002",121
"14","2003",113
"15","2004",136
"16","2005",108
"17","2006",148
"18","2007",192
"19","2008",171
"20","2009",198
"21","2010",177
"22","2011",183
"23","2012",225
"24","2013",236
"25","2014",212
"26","2015",212
"27","2016",230
"28","2017",223
"29","2018",215
"30","2019",264
"31","2020",261
"32","2021",243
"33","2022",289
"34","2023",208
