"","Paper         ","DOI","TC","TCperYear","NTC"
"1","WIEGAND T, 2003, IEEE T CIRC SYST VID                                                       ","10.1109/TCSVT.2003.815165       ","5539","251.77"," 79.55"
"2","SULLIVAN GJ, 2012, IEEE T CIRC SYST VID                                                     ","10.1109/TCSVT.2012.2221191      ","5124","394.15","129.61"
"3","SCHWARZ H, 2007, IEEE T CIRC SYST VID                                                       ","10.1109/TCSVT.2007.905532       ","2277","126.50"," 91.16"
"4","OHM JR, 2012, IEEE T CIRC SYST VID                                                          ","10.1109/TCSVT.2012.2221192      "," 915"," 70.38"," 23.15"
"5","GIROD B, 2005, P IEEE                                                                       ","10.1109/JPROC.2004.839619       "," 839"," 41.95"," 42.62"
"6","MARPE D, 2003, IEEE T CIRC SYST VID                                                         ","10.1109/TCSVT.2003.815173       "," 760"," 34.55"," 10.92"
"7","GUO CL, 2010, IEEE T IMAGE PROCESS                                                          ","10.1109/TIP.2009.2030969        "," 740"," 49.33"," 51.26"
"8","WANG Z, 2004, SIGNAL PROCESS-IMAGE                                                          ","10.1016/S0923-5965(03)00076-6   "," 708"," 33.71"," 31.30"
"9","LEGALL D, 1991, COMMUN ACM                                                                  ","10.1145/103085.103090           "," 638"," 18.76","  5.87"
"10","BOSSEN F, 2012, IEEE T CIRC SYST VID                                                        ","10.1109/TCSVT.2012.2221255      "," 564"," 43.38"," 14.27"
"11","ITTI L, 2004, IEEE T IMAGE PROCESS                                                          ","10.1109/TIP.2004.834657         "," 546"," 26.00"," 24.14"
"12","POSCH C, 2011, IEEE J SOLID-ST CIRC                                                         ","10.1109/JSSC.2010.2085952       "," 432"," 30.86"," 26.34"
"13","VETRO A, 2011, P IEEE                                                                       ","10.1109/JPROC.2010.2098830      "," 401"," 28.64"," 24.45"
"14","MERKLE P, 2007, IEEE T CIRC SYST VID                                                        ","10.1109/TCSVT.2007.903665       "," 395"," 21.94"," 15.81"
"15","SIKORA T, 1997, IEEE T CIRC SYST VID                                                        ","10.1109/76.554415               "," 391"," 13.96"," 25.93"
"16","KIM BJ, 2000, IEEE T CIRC SYST VID                                                          ","10.1109/76.889025               "," 387"," 15.48"," 17.65"
"17","WU DP, 2001, IEEE T CIRC SYST VID                                                           ","10.1109/76.911156               "," 335"," 13.96"," 18.87"
"18","SULLIVAN GJ, 2005, P IEEE                                                                   ","10.1109/JPROC.2004.839617       "," 320"," 16.00"," 16.26"
"19","BROSS B, 2021, IEEE T CIRC SYST VID                                                         ","10.1109/TCSVT.2021.3101953      "," 313"," 78.25"," 45.30"
"20","COLLET A, 2015, ACM T GRAPHIC                                                               ","10.1145/2766945                 "," 307"," 30.70"," 29.98"
"21","PAN F, 2005, IEEE T CIRC SYST VID                                                           ","10.1109/TCSVT.2005.848356       "," 307"," 15.35"," 15.60"
"22","CHENG H, 2000, IEEE T SIGNAL PROCES                                                         ","10.1109/78.852023               "," 303"," 12.12"," 13.82"
"23","TECH G, 2016, IEEE T CIRC SYST VID                                                          ","10.1109/TCSVT.2015.2477935      "," 297"," 33.00"," 24.42"
"24","MÜLLER K, 2011, P IEEE                                                                      ","10.1109/JPROC.2010.2091090      "," 289"," 20.64"," 17.62"
"25","YU M, 2015, 2015 IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY                ","10.1109/ISMAR.2015.12           "," 285"," 28.50"," 27.83"
"26","SULLIVAN GJ, 2013, IEEE J-STSP                                                              ","10.1109/JSTSP.2013.2283657      "," 273"," 22.75"," 33.01"
"27","MERKLE P, 2007, IEEE IMAGE PROC                                                             ","NA                              "," 270"," 15.00"," 10.81"
"28","GARGI U, 2000, IEEE T CIRC SYST VID                                                         ","10.1109/76.825852               "," 266"," 10.64"," 12.13"
"29","BOYCE JM, 2016, IEEE T CIRC SYST VID                                                        ","10.1109/TCSVT.2015.2461951      "," 265"," 29.44"," 21.79"
"30","MEKURIA R, 2017, IEEE T CIRC SYST VID                                                       ","10.1109/TCSVT.2016.2543039      "," 233"," 29.12"," 24.61"
"31","GIBSON KB, 2012, IEEE T IMAGE PROCESS                                                       ","10.1109/TIP.2011.2166968        "," 229"," 17.62","  5.79"
"32","CÔTÉ G, 1998, IEEE T CIRC SYST VID                                                          ","10.1109/76.735381               "," 226","  8.37"," 17.12"
"33","PURI R, 2007, IEEE T IMAGE PROCESS                                                          ","10.1109/TIP.2007.904949         "," 224"," 12.44","  8.97"
"34","HADIZADEH H, 2014, IEEE T IMAGE PROCESS                                                     ","10.1109/TIP.2013.2282897        "," 219"," 19.91"," 27.10"
"35","MOORTHY AK, 2012, IEEE J-STSP                                                               ","10.1109/JSTSP.2012.2212417      "," 208"," 16.00","  5.26"
"36","ZENG WJ, 2003, IEEE T MULTIMEDIA                                                            ","10.1109/TMM.2003.808817         "," 205","  9.32","  2.94"
"37","ASSUNÇAO PAA, 1998, IEEE T CIRC SYST VID                                                    ","10.1109/76.736724               "," 192","  7.11"," 14.55"
"38","NEFF R, 1997, IEEE T CIRC SYST VID                                                          ","10.1109/76.554427               "," 191","  6.82"," 12.67"
"39","SHANABLEH T, 2000, IEEE T MULTIMEDIA                                                        ","10.1109/6046.845014             "," 189","  7.56","  8.62"
"40","WU DP, 2000, P IEEE                                                                         ","10.1109/5.899055                "," 188","  7.52","  8.57"
"41","LU G, 2019, PROC CVPR IEEE                                                                  ","10.1109/CVPR.2019.01126         "," 183"," 30.50"," 19.10"
"42","MERKLE P, 2009, SIGNAL PROCESS-IMAGE                                                        ","10.1016/j.image.2008.10.010     "," 177"," 11.06"," 21.21"
"43","TAN WT, 1999, IEEE T MULTIMEDIA                                                             ","10.1109/6046.766738             "," 175","  6.73","  9.71"
"44","LI ZC, 2011, IMAGE VISION COMPUT                                                            ","10.1016/j.imavis.2010.07.001    "," 173"," 12.36"," 10.55"
"45","MA SW, 2020, IEEE T CIRC SYST VID                                                           ","10.1109/TCSVT.2019.2910119      "," 172"," 34.40"," 18.67"
"46","PIRSCH P, 1995, P IEEE                                                                      ","10.1109/5.364465                "," 171","  5.70","  6.72"
"47","SECKER A, 2003, IEEE T IMAGE PROCESS                                                        ","10.1109/TIP.2003.819433         "," 171","  7.77","  2.46"
"48","IRANI M, 1998, P IEEE                                                                       ","10.1109/5.664279                "," 171","  6.33"," 12.95"
"49","LIAN SG, 2007, IEEE T CIRC SYST VID                                                         ","10.1109/TCSVT.2007.896635       "," 170","  9.44","  6.81"
"50","GIROD B, 1999, P IEEE                                                                       ","10.1109/5.790632                "," 167","  6.42","  9.27"
"51","DE QUEIROZ RL, 2016, IEEE T IMAGE PROCESS                                                   ","10.1109/TIP.2016.2575005        "," 166"," 18.44"," 13.65"
"52","BROSS B, 2021, P IEEE                                                                       ","10.1109/JPROC.2020.3043399      "," 162"," 40.50"," 23.45"
"53","CHEN ZZ, 2010, IEEE T CIRC SYST VID                                                         ","10.1109/TCSVT.2010.2045912      "," 157"," 10.47"," 10.88"
"54","HE ZH, 2002, IEEE T CIRC SYST VID                                                           ","10.1109/TCSVT.2002.804883       "," 156","  6.78"," 16.50"
"55","CHEN Y, 2018, PICT COD SYMP                                                                 ","NA                              "," 154"," 22.00"," 15.42"
"56","PURI A, 2004, SIGNAL PROCESS-IMAGE                                                          ","10.1016/j.image.2004.06.003     "," 154","  7.33","  6.81"
"57","ZHANG YQ, 1992, IEEE T CIRC SYST VID                                                        ","10.1109/76.157160               "," 152","  4.61","  4.56"
"58","WANG Z, 2003, IEEE T IMAGE PROCESS                                                          ","10.1109/TIP.2003.809015         "," 152","  6.91","  2.18"
"59","HANJALIC A, 1999, IEEE T CIRC SYST VID                                                      ","10.1109/76.767124               "," 144","  5.54","  7.99"
"60","XU M, 2020, IEEE J-STSP                                                                     ","10.1109/JSTSP.2020.2966864      "," 144"," 28.80"," 15.63"
"61","AARON A, 2004, PROC SPIE                                                                    ","10.1117/12.527204               "," 141","  6.71","  6.23"
"62","MAGNOR M, 2000, IEEE T CIRC SYST VID                                                        ","10.1109/76.836278               "," 140","  5.60","  6.38"
"63","TAN WT, 2001, IEEE T CIRC SYST VID                                                          ","10.1109/76.911162               "," 139","  5.79","  7.83"
"64","LIU D, 2007, IEEE T CIRC SYST VID                                                           ","10.1109/TCSVT.2007.903663       "," 135","  7.50","  5.40"
"65","SCHINAGL RM, 1996, ANN BIOMED ENG                                                           ","10.1007/BF02648112              "," 135","  4.66"," 11.58"
"66","SECKER A, 2001, 2001 INTERNATIONAL CONFERENCE ON IMAGE PROCESSING, VOL II, PROCEEDINGS      ","NA                              "," 134","  5.58","  7.55"
"67","TAN TK, 2016, IEEE T CIRC SYST VID                                                          ","10.1109/TCSVT.2015.2477916      "," 133"," 14.78"," 10.94"
"68","KUMAR R, 2001, P IEEE                                                                       ","10.1109/5.959344                "," 132","  5.50","  7.44"
"69","STAMM MC, 2012, IEEE T INF FOREN SEC                                                        ","10.1109/TIFS.2012.2205568       "," 130"," 10.00","  3.29"
"70","MCCANNE S, 1997, IEEE J SEL AREA COMM                                                       ","10.1109/49.611154               "," 129","  4.61","  8.56"
"71","MARTUCCI SA, 1997, IEEE T CIRC SYST VID                                                     ","10.1109/76.554422               "," 127","  4.54","  8.42"
"72","PESQUET-POPESCU B, 2001, INT CONF ACOUST SPEE                                               ","NA                              "," 125","  5.21","  7.04"
"73","SHEN MY, 1998, J VIS COMMUN IMAGE R                                                         ","10.1006/jvci.1997.0378          "," 121","  4.48","  9.17"
"74","KUSSMAN BD, 2004, PAEDIATR ANAESTH                                                          ","10.1046/j.1460-9592.2003.01192.x"," 121","  5.76","  5.35"
"75","KUSSMAN BD, 2004, PEDIATR ANESTH                                                            ","10.1046/j.1460-9592.2003.01192.x"," 121","  5.76","  5.35"
"76","IRANI M, 1996, SIGNAL PROCESS-IMAGE                                                         ","10.1016/0923-5965(95)00055-0    "," 120","  4.14"," 10.29"
"77","MANTIUK R, 2004, ACM T GRAPHIC                                                              ","10.1145/1015706.1015794         "," 119","  5.67","  5.26"
"78","MAI ZC, 2011, IEEE T IMAGE PROCESS                                                          ","10.1109/TIP.2010.2095866        "," 119","  8.50","  7.26"
"79","HEWAGE CTER, 2009, IEEE J-STSP                                                              ","10.1109/JSTSP.2009.2014805      "," 115","  7.19"," 13.78"
"80","GRAZIOSI D, 2020, APSIPA TRANS SIGNAL                                                       ","10.1017/ATSIP.2020.12           "," 115"," 23.00"," 12.48"
"81","SINNO Z, 2019, IEEE T IMAGE PROCESS                                                         ","10.1109/TIP.2018.2869673        "," 114"," 19.00"," 11.90"
"82","SHEN K, 1999, IEEE T CIRC SYST VID                                                          ","10.1109/76.744279               "," 112","  4.31","  6.22"
"83","CONKLIN GJ, 2001, IEEE T CIRC SYST VID                                                      ","10.1109/76.911155               "," 111","  4.62","  6.25"
"84","DUANMU ZF, 2017, IEEE J-STSP                                                                ","10.1109/JSTSP.2016.2608329      "," 111"," 13.88"," 11.73"
"85","WU CY, 2018, LECT NOTES COMPUT SC                                                           ","10.1007/978-3-030-01237-3_26    "," 110"," 15.71"," 11.02"
"86","KIM J, 2003, IEEE T IMAGE PROCESS                                                           ","10.1109/TIP.2003.809006         "," 109","  4.95","  1.57"
"87","MANDAL MK, 1999, IMAGE VISION COMPUT                                                        ","10.1016/S0262-8856(98)00143-7   "," 109","  4.19","  6.05"
"88","TEW Y, 2014, IEEE T CIRC SYST VID                                                           ","10.1109/TCSVT.2013.2276710      "," 108","  9.82"," 13.37"
"89","LEE S, 2002, IEEE T MULTIMEDIA                                                              ","10.1109/6046.985561             "," 107","  4.65"," 11.32"
"90","BAMPIS CG, 2017, IEEE T IMAGE PROCESS                                                       ","10.1109/TIP.2017.2729891        "," 106"," 13.25"," 11.20"
"91","YUAN H, 2011, IEEE T CIRC SYST VID                                                          ","10.1109/TCSVT.2011.2125610      "," 104","  7.43","  6.34"
"92","WANG WH, 2009, MM&SEC'09: PROCEEDINGS OF THE 2009 ACM SIGMM MULTIMEDIA AND SECURITY WORKSHOP","NA                              "," 104","  6.50"," 12.46"
"93","LIAN SG, 2006, IEEE T CONSUM ELECTR                                                         ","10.1109/TCE.2006.1649688        "," 103","  5.42"," 11.65"
"94","LEE S, 2008, IEEE T CIRC SYST VID                                                           ","10.1109/TCSVT.2008.920739       "," 103","  6.06"," 13.36"
"95","HE ZH, 2006, IEEE T CIRC SYST VID                                                           ","10.1109/TCSVT.2006.873154       "," 100","  5.26"," 11.31"
"96","GIANLUIGI C, 2006, J REAL-TIME IMAGE PR                                                     ","10.1007/s11554-006-0001-1       "," 100","  5.26"," 11.31"
"97","MANTIUK R, 2006, ACM T GRAPHIC                                                              ","10.1145/1141911.1141946         ","  99","  5.21"," 11.20"
"98","LEE JS, 2012, IEEE J-STSP                                                                   ","10.1109/JSTSP.2012.2215006      ","  98","  7.54","  2.48"
"99","GALLANT M, 2001, IEEE T CIRC SYST VID                                                       ","10.1109/76.911161               ","  97","  4.04","  5.46"
"100","LEE S, 2001, IEEE T IMAGE PROCESS                                                           ","10.1109/83.931092               ","  97","  4.04","  5.46"
