"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","GAO W            ","46","BULL DR          ","11.88"
"2","WANG SQ          ","40","DELP EJ          ","11.07"
"3","ZHANG Y          ","40","ZHANG Y          ","10.81"
"4","BOVIK AC         ","39","BOVIK AC         ","10.43"
"5","MA SW            ","37","NASIOPOULOS P    "," 9.80"
"6","WIEGAND T        ","37","GAO W            "," 9.40"
"7","BULL DR          ","36","ZHANG F          "," 8.76"
"8","LI Z             ","34","DOMANSKI M       "," 8.68"
"9","DELP EJ          ","33","LI Z             "," 8.58"
"10","WU F             ","33","WANG SQ          "," 8.08"
"11","LI L             ","32","EBRAHIMI T       "," 8.05"
"12","NASIOPOULOS P    ","32","WIEGAND T        "," 7.99"
"13","LEE S            ","30","TAUBMAN D        "," 7.83"
"14","LIU S            ","29","KIM J            "," 7.78"
"15","ZHANG F          ","29","LEE S            "," 7.63"
"16","DOMANSKI M       ","28","WU F             "," 7.59"
"17","KIM J            ","28","GIROD B          "," 7.37"
"18","MARPE D          ","28","MRAK M           "," 7.12"
"19","MRAK M           ","26","LI L             "," 7.08"
"20","WANG Z           ","25","PANCHANATHAN S   "," 7.08"
"21","HANNUKSELA MM    ","24","MA SW            "," 7.06"
"22","JIANG XH         ","24","LIU S            "," 6.82"
"23","ZHANG L          ","24","WANG Z           "," 6.73"
"24","CHEN Y           ","23","LING N           "," 6.73"
"25","GABBOUJ M        ","23","KAUP A           "," 6.60"
"26","EBRAHIMI T       ","22","SCHMALZ MS       "," 6.50"
"27","LU Y             ","22","ZAKHOR A         "," 6.40"
"28","WANG Y           ","22","DUFAUX F         "," 6.22"
"29","ZHANG XF         ","22","ZHU SP           "," 6.17"
"30","KAUP A           ","21","HANNUKSELA MM    "," 6.13"
"31","KUO CCJ          ","21","TEKALP AM        "," 6.07"
"32","LI HQ            ","21","JIANG XH         "," 6.02"
"33","POURAZAD MT      ","21","MARPE D          "," 6.01"
"34","VAN WALLENDAEL G ","21","FRYZA T          "," 6.00"
"35","ZHAO Y           ","21","KUO CCJ          "," 5.92"
"36","DUFAUX F         ","20","PEREIRA F        "," 5.92"
"37","LIU D            ","20","ZHANG L          "," 5.84"
