"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","CHINA          ","1148","0.234573","949","199","0.1733"
"2","USA            ","1069","0.218431","947","122","0.1141"
"3","INDIA          "," 324","0.066204","310"," 14","0.0432"
"4","KOREA          "," 250","0.051083","231"," 19","0.0760"
"5","UNITED KINGDOM "," 221","0.045157","180"," 41","0.1855"
"6","CANADA         "," 172","0.035145","148"," 24","0.1395"
"7","GERMANY        "," 166","0.033919","146"," 20","0.1205"
"8","JAPAN          "," 151","0.030854","139"," 12","0.0795"
"9","FRANCE         "," 149","0.030445","122"," 27","0.1812"
"10","ITALY          ","  90","0.018390"," 85","  5","0.0556"
"11","BRAZIL         ","  71","0.014508"," 51"," 20","0.2817"
"12","SPAIN          ","  71","0.014508"," 58"," 13","0.1831"
"13","AUSTRALIA      ","  70","0.014303"," 58"," 12","0.1714"
"14","POLAND         ","  67","0.013690"," 59","  8","0.1194"
"15","BELGIUM        ","  51","0.010421"," 38"," 13","0.2549"
"16","SINGAPORE      ","  51","0.010421"," 41"," 10","0.1961"
"17","FINLAND        ","  47","0.009604"," 41","  6","0.1277"
"18","TURKEY         ","  46","0.009399"," 40","  6","0.1304"
"19","SWITZERLAND    ","  43","0.008786"," 36","  7","0.1628"
"20","NETHERLANDS    ","  42","0.008582"," 34","  8","0.1905"
"21","MALAYSIA       ","  41","0.008378"," 34","  7","0.1707"
"22","RUSSIA         ","  40","0.008173"," 35","  5","0.1250"
"23","IRAN           ","  37","0.007560"," 28","  9","0.2432"
"24","ISRAEL         ","  30","0.006130"," 29","  1","0.0333"
"25","CZECH REPUBLIC ","  28","0.005721"," 26","  2","0.0714"
"26","IRELAND        ","  26","0.005313"," 17","  9","0.3462"
"27","TUNISIA        ","  26","0.005313"," 18","  8","0.3077"
"28","AUSTRIA        ","  22","0.004495"," 17","  5","0.2273"
"29","EGYPT          ","  22","0.004495"," 18","  4","0.1818"
"30","PAKISTAN       ","  22","0.004495"," 14","  8","0.3636"
"31","PORTUGAL       ","  21","0.004291"," 17","  4","0.1905"
"32","VIETNAM        ","  20","0.004087"," 13","  7","0.3500"
"33","CROATIA        ","  19","0.003882"," 14","  5","0.2632"
"34","GREECE         ","  19","0.003882"," 15","  4","0.2105"
"35","SWEDEN         ","  19","0.003882"," 16","  3","0.1579"
"36","UKRAINE        ","  14","0.002861"," 12","  2","0.1429"
"37","ALGERIA        ","  12","0.002452","  7","  5","0.4167"
"38","SAUDI ARABIA   ","  12","0.002452","  8","  4","0.3333"
"39","MEXICO         ","  10","0.002043","  8","  2","0.2000"
"40","NORWAY         ","  10","0.002043","  8","  2","0.2000"
"41","SERBIA         ","  10","0.002043","  7","  3","0.3000"
"42","CYPRUS         ","   9","0.001839","  1","  8","0.8889"
"43","INDONESIA      ","   9","0.001839","  8","  1","0.1111"
"44","ROMANIA        ","   9","0.001839","  9","  0","0.0000"
"45","U ARAB EMIRATES","   9","0.001839","  9","  0","0.0000"
"46","JORDAN         ","   8","0.001635","  6","  2","0.2500"
"47","DENMARK        ","   7","0.001430","  5","  2","0.2857"
"48","IRAQ           ","   7","0.001430","  6","  1","0.1429"
"49","MALTA          ","   7","0.001430","  6","  1","0.1429"
"50","MOROCCO        ","   7","0.001430","  4","  3","0.4286"
"51","SLOVAKIA       ","   7","0.001430","  4","  3","0.4286"
"52","COLOMBIA       ","   5","0.001022","  3","  2","0.4000"
"53","HUNGARY        ","   5","0.001022","  4","  1","0.2000"
"54","THAILAND       ","   5","0.001022","  4","  1","0.2000"
"55","HONG KONG      ","   4","0.000817","  4","  0","0.0000"
"56","LEBANON        ","   4","0.000817","  3","  1","0.2500"
"57","BANGLADESH     ","   3","0.000613","  3","  0","0.0000"
"58","LATVIA         ","   3","0.000613","  3","  0","0.0000"
"59","NEW ZEALAND    ","   3","0.000613","  3","  0","0.0000"
"60","QATAR          ","   3","0.000613","  0","  3","1.0000"
"61","SOUTH AFRICA   ","   3","0.000613","  2","  1","0.3333"
"62","ARGENTINA      ","   2","0.000409","  1","  1","0.5000"
"63","BULGARIA       ","   2","0.000409","  1","  1","0.5000"
"64","KUWAIT         ","   2","0.000409","  1","  1","0.5000"
"65","SLOVENIA       ","   2","0.000409","  2","  0","0.0000"
"66","ALBANIA        ","   1","0.000204","  1","  0","0.0000"
"67","BAHRAIN        ","   1","0.000204","  1","  0","0.0000"
"68","BOSNIA         ","   1","0.000204","  0","  1","1.0000"
"69","CHILE          ","   1","0.000204","  0","  1","1.0000"
"70","ESTONIA        ","   1","0.000204","  1","  0","0.0000"
"71","MACEDONIA      ","   1","0.000204","  0","  1","1.0000"
"72","NIGERIA        ","   1","0.000204","  1","  0","0.0000"
"73","PHILIPPINES    ","   1","0.000204","  1","  0","0.0000"
"74","SRI LANKA      ","   1","0.000204","  1","  0","0.0000"
"75","SUDAN          ","   1","0.000204","  0","  1","1.0000"
