"","Sources       ","Articles"
"1","IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY                                        ","334"
"2","IEEE TRANSACTIONS ON IMAGE PROCESSING                                                                 ","131"
"3","SIGNAL PROCESSING-IMAGE COMMUNICATION                                                                 "," 86"
"4","MULTIMEDIA TOOLS AND APPLICATIONS                                                                     "," 81"
"5","IEEE ACCESS                                                                                           "," 75"
"6","IEEE TRANSACTIONS ON MULTIMEDIA                                                                       "," 72"
"7","IEEE TRANSACTIONS ON CONSUMER ELECTRONICS                                                             "," 58"
"8","SIGNAL IMAGE AND VIDEO PROCESSING                                                                     "," 38"
"9","JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION                                              "," 37"
"10","JOURNAL OF ELECTRONIC IMAGING                                                                         "," 31"
"11","2022 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING ICIP                                           "," 29"
"12","IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING                                                  "," 27"
"13","IEEE TRANSACTIONS ON BROADCASTING                                                                     "," 26"
"14","OPTICAL ENGINEERING                                                                                   "," 26"
"15","PROCEEDINGS OF THE IEEE                                                                               "," 26"
"16","SENSORS                                                                                               "," 25"
"17","IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES                "," 24"
"18","MULTIMEDIA SYSTEMS                                                                                    "," 23"
"19","2011 18TH IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                                    "," 20"
"20","ELECTRONICS                                                                                           "," 20"
"21","IEEE SIGNAL PROCESSING LETTERS                                                                        "," 20"
"22","2007 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING VOLS 1-7                                       "," 19"
"23","JOURNAL OF REAL-TIME IMAGE PROCESSING                                                                 "," 19"
"24","2006 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING ICIP 2006 PROCEEDINGS                          "," 17"
"25","2019 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                                         "," 17"
"26","2009 16TH IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING VOLS 1-6                                  "," 16"
"27","IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS                                                      "," 16"
"28","IET IMAGE PROCESSING                                                                                  "," 16"
"29","RESUSCITATION                                                                                         "," 16"
"30","2013 20TH IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP 2013)                               "," 15"
"31","2017 24TH IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                                    "," 15"
"32","2008 15TH IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING VOLS 1-5                                  "," 14"
"33","NEUROCOMPUTING                                                                                        "," 14"
"34","SMPTE JOURNAL                                                                                         "," 14"
