"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","21063","19.703"
"2","GERMANY        ","13758","82.880"
"3","CHINA          "," 8508"," 7.411"
"4","KOREA          "," 7219","28.876"
"5","CANADA         "," 2510","14.593"
"6","UNITED KINGDOM "," 2151"," 9.733"
"7","INDIA          "," 1381"," 4.262"
"8","SINGAPORE      "," 1130","22.157"
"9","FRANCE         ","  961"," 6.450"
"10","AUSTRALIA      ","  823","11.757"
"11","ITALY          ","  823"," 9.144"
"12","JAPAN          ","  774"," 5.126"
"13","NETHERLANDS    ","  676","16.095"
"14","BRAZIL         ","  625"," 8.803"
"15","SWITZERLAND    ","  605","14.070"
"16","SPAIN          ","  529"," 7.451"
"17","AUSTRIA        ","  510","23.182"
"18","BELGIUM        ","  493"," 9.667"
"19","ISRAEL         ","  338","11.267"
"20","POLAND         ","  303"," 4.522"
"21","IRAN           ","  265"," 7.162"
"22","TURKEY         ","  262"," 5.696"
"23","MALAYSIA       ","  237"," 5.780"
"24","PORTUGAL       ","  212","10.095"
"25","FINLAND        ","  209"," 4.447"
"26","IRELAND        ","  162"," 6.231"
"27","PAKISTAN       ","  149"," 6.773"
"28","SWEDEN         ","  119"," 6.263"
"29","CROATIA        ","  104"," 5.474"
"30","TUNISIA        ","  103"," 3.962"
"31","QATAR          ","  101","33.667"
"32","U ARAB EMIRATES","   85"," 9.444"
"33","RUSSIA         ","   81"," 2.025"
"34","NORWAY         ","   76"," 7.600"
"35","CYPRUS         ","   74"," 8.222"
"36","CZECH REPUBLIC ","   74"," 2.643"
"37","EGYPT          ","   73"," 3.318"
"38","DENMARK        ","   66"," 9.429"
"39","GREECE         ","   65"," 3.421"
"40","VIETNAM        ","   50"," 2.500"
"41","ROMANIA        ","   41"," 4.556"
"42","ALGERIA        ","   38"," 3.167"
"43","MEXICO         ","   37"," 3.700"
"44","HONG KONG      ","   33"," 8.250"
"45","MOROCCO        ","   33"," 4.714"
"46","JORDAN         ","   32"," 4.000"
"47","SAUDI ARABIA   ","   30"," 2.500"
"48","SOUTH AFRICA   ","   29"," 9.667"
"49","IRAQ           ","   26"," 3.714"
"50","MALTA          ","   22"," 3.143"
"51","UKRAINE        ","   20"," 1.429"
"52","SLOVAKIA       ","   16"," 2.286"
"53","COLOMBIA       ","   13"," 2.600"
"54","BAHRAIN        ","   12","12.000"
"55","SERBIA         ","   12"," 1.200"
"56","LEBANON        ","   10"," 2.500"
"57","NEW ZEALAND    ","    9"," 3.000"
"58","ARGENTINA      ","    7"," 3.500"
"59","HUNGARY        ","    6"," 1.200"
"60","THAILAND       ","    4"," 0.800"
"61","KUWAIT         ","    3"," 1.500"
"62","PHILIPPINES    ","    3"," 3.000"
"63","BANGLADESH     ","    2"," 0.667"
"64","INDONESIA      ","    2"," 0.222"
"65","BULGARIA       ","    1"," 0.500"
"66","ESTONIA        ","    1"," 1.000"
"67","LATVIA         ","    1"," 0.333"
"68","SLOVENIA       ","    1"," 0.500"
"69","SRI LANKA      ","    1"," 1.000"
"70","SUDAN          ","    1"," 1.000"
"71","ALBANIA        ","    0"," 0.000"
"72","BOSNIA         ","    0"," 0.000"
"73","CHILE          ","    0"," 0.000"
"74","MACEDONIA      ","    0"," 0.000"
"75","NIGERIA        ","    0"," 0.000"
