"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",2,"GERMANY        ",13758,82.88,166,146,20,0.1205
"2",31,"QATAR          ",101,33.667,3,0,3,1
"3",4,"KOREA          ",7219,28.876,250,231,19,0.076
"4",17,"AUSTRIA        ",510,23.182,22,17,5,0.2273
"5",8,"SINGAPORE      ",1130,22.157,51,41,10,0.1961
"6",1,"USA            ",21063,19.703,1069,947,122,0.1141
"7",13,"NETHERLANDS    ",676,16.095,42,34,8,0.1905
"8",5,"CANADA         ",2510,14.593,172,148,24,0.1395
"9",15,"SWITZERLAND    ",605,14.07,43,36,7,0.1628
"10",54,"BAHRAIN        ",12,12,1,1,0,0
"11",10,"AUSTRALIA      ",823,11.757,70,58,12,0.1714
"12",19,"ISRAEL         ",338,11.267,30,29,1,0.0333
"13",24,"PORTUGAL       ",212,10.095,21,17,4,0.1905
"14",6,"UNITED KINGDOM ",2151,9.733,221,180,41,0.1855
"15",18,"BELGIUM        ",493,9.667,51,38,13,0.2549
"16",48,"SOUTH AFRICA   ",29,9.667,3,2,1,0.3333
"17",32,"U ARAB EMIRATES",85,9.444,9,9,0,0
"18",38,"DENMARK        ",66,9.429,7,5,2,0.2857
"19",11,"ITALY          ",823,9.144,90,85,5,0.0556
"20",14,"BRAZIL         ",625,8.803,71,51,20,0.2817
"21",44,"HONG KONG      ",33,8.25,4,4,0,0
"22",35,"CYPRUS         ",74,8.222,9,1,8,0.8889
"23",34,"NORWAY         ",76,7.6,10,8,2,0.2
"24",16,"SPAIN          ",529,7.451,71,58,13,0.1831
"25",3,"CHINA          ",8508,7.411,1148,949,199,0.1733
"26",21,"IRAN           ",265,7.162,37,28,9,0.2432
"27",27,"PAKISTAN       ",149,6.773,22,14,8,0.3636
"28",9,"FRANCE         ",961,6.45,149,122,27,0.1812
"29",28,"SWEDEN         ",119,6.263,19,16,3,0.1579
"30",26,"IRELAND        ",162,6.231,26,17,9,0.3462
"31",23,"MALAYSIA       ",237,5.78,41,34,7,0.1707
"32",22,"TURKEY         ",262,5.696,46,40,6,0.1304
"33",29,"CROATIA        ",104,5.474,19,14,5,0.2632
"34",12,"JAPAN          ",774,5.126,151,139,12,0.0795
"35",45,"MOROCCO        ",33,4.714,7,4,3,0.4286
"36",41,"ROMANIA        ",41,4.556,9,9,0,0
"37",20,"POLAND         ",303,4.522,67,59,8,0.1194
"38",25,"FINLAND        ",209,4.447,47,41,6,0.1277
"39",7,"INDIA          ",1381,4.262,324,310,14,0.0432
"40",46,"JORDAN         ",32,4,8,6,2,0.25
"41",30,"TUNISIA        ",103,3.962,26,18,8,0.3077
"42",49,"IRAQ           ",26,3.714,7,6,1,0.1429
"43",43,"MEXICO         ",37,3.7,10,8,2,0.2
"44",58,"ARGENTINA      ",7,3.5,2,1,1,0.5
"45",39,"GREECE         ",65,3.421,19,15,4,0.2105
"46",37,"EGYPT          ",73,3.318,22,18,4,0.1818
"47",42,"ALGERIA        ",38,3.167,12,7,5,0.4167
"48",50,"MALTA          ",22,3.143,7,6,1,0.1429
"49",57,"NEW ZEALAND    ",9,3,3,3,0,0
"50",62,"PHILIPPINES    ",3,3,1,1,0,0
"51",36,"CZECH REPUBLIC ",74,2.643,28,26,2,0.0714
"52",53,"COLOMBIA       ",13,2.6,5,3,2,0.4
"53",40,"VIETNAM        ",50,2.5,20,13,7,0.35
"54",47,"SAUDI ARABIA   ",30,2.5,12,8,4,0.3333
"55",56,"LEBANON        ",10,2.5,4,3,1,0.25
"56",52,"SLOVAKIA       ",16,2.286,7,4,3,0.4286
"57",33,"RUSSIA         ",81,2.025,40,35,5,0.125
"58",61,"KUWAIT         ",3,1.5,2,1,1,0.5
"59",51,"UKRAINE        ",20,1.429,14,12,2,0.1429
"60",55,"SERBIA         ",12,1.2,10,7,3,0.3
"61",59,"HUNGARY        ",6,1.2,5,4,1,0.2
"62",66,"ESTONIA        ",1,1,1,1,0,0
"63",69,"SRI LANKA      ",1,1,1,1,0,0
"64",70,"SUDAN          ",1,1,1,0,1,1
"65",60,"THAILAND       ",4,0.8,5,4,1,0.2
"66",63,"BANGLADESH     ",2,0.667,3,3,0,0
"67",65,"BULGARIA       ",1,0.5,2,1,1,0.5
"68",68,"SLOVENIA       ",1,0.5,2,2,0,0
"69",67,"LATVIA         ",1,0.333,3,3,0,0
"70",64,"INDONESIA      ",2,0.222,9,8,1,0.1111
"71",71,"ALBANIA        ",0,0,1,1,0,0
"72",72,"BOSNIA         ",0,0,1,0,1,1
"73",73,"CHILE          ",0,0,1,0,1,1
"74",74,"MACEDONIA      ",0,0,1,0,1,1
"75",75,"NIGERIA        ",0,0,1,1,0,0
