"","Paper         ","DOI","TC","TCperYear","NTC"
"1","GRAHAM B, 2018, PROC CVPR IEEE                                                                   ","10.1109/CVPR.2018.00961              ","681"," 97.29","27.42"
"2","GEIGER A, 2011, IEEE INT VEH SYM                                                                 ","NA                                   ","598"," 42.71","21.10"
"3","LI X, 2013, ACM T INTEL SYST TEC                                                                 ","10.1145/2508037.2508039              ","594"," 49.50","22.32"
"4","WALLACE L, 2012, REMOTE SENS-BASEL                                                               ","10.3390/rs4061519                    ","447"," 34.38","13.51"
"5","MAHJOURIAN R, 2018, PROC CVPR IEEE                                                               ","10.1109/CVPR.2018.00594              ","441"," 63.00","17.75"
"6","BROSTOW GJ, 2008, LECT NOTES COMPUT SC                                                           ","10.1007/978-3-540-88682-2_5          ","440"," 25.88","10.87"
"7","KHAN S, 2022, ACM COMPUT SURV                                                                    ","10.1145/3505244                      ","431","143.67","70.50"
"8","WU BC, 2018, IEEE INT CONF ROBOT                                                                 ","NA                                   ","400"," 57.14","16.10"
"9","YANG YH, 2020, NAT PHOTONICS                                                                     ","10.1038/s41566-020-0618-9            ","395"," 79.00","26.63"
"10","BARI MF, 2013, IEEE COMMUN SURV TUT                                                              ","10.1109/SURV.2012.090512.00043       ","385"," 32.08","14.47"
"11","SCHWARZ S, 2019, IEEE J EM SEL TOP C                                                             ","10.1109/JETCAS.2018.2885981          ","306"," 51.00","14.86"
"12","VOSSEL KA, 2016, ANN NEUROL                                                                      ","10.1002/ana.24794                    ","286"," 31.78","17.22"
"13","LIU K, 2010, OPT EXPRESS                                                                         ","10.1364/OE.18.005229                 ","273"," 18.20","11.08"
"14","MEKURIA R, 2017, IEEE T CIRC SYST VID                                                            ","10.1109/TCSVT.2016.2543039           ","233"," 29.12","14.09"
"15","HUANG XY, 2018, IEEE COMPUT SOC CONF                                                             ","10.1109/CVPRW.2018.00141             ","224"," 32.00"," 9.02"
"16","HUANG XY, 2020, IEEE T PATTERN ANAL                                                              ","10.1109/TPAMI.2019.2926463           ","223"," 44.60","15.03"
"17","MOUSAVIAN A, 2019, IEEE I CONF COMP VIS                                                          ","10.1109/ICCV.2019.00299              ","215"," 35.83","10.44"
"18","ROSNELL T, 2012, SENSORS-BASEL                                                                   ","10.3390/s120100453                   ","195"," 15.00"," 5.90"
"19","BREGONZIO M, 2009, PROC CVPR IEEE                                                                ","NA                                   ","195"," 12.19"," 6.44"
"20","WANG Q, 2019, ADV ENG INFORM                                                                     ","10.1016/j.aei.2019.02.007            ","194"," 32.33"," 9.42"
"21","LEROUX JB, 2005, PHYS FLUIDS                                                                     ","10.1063/1.1865692                    ","181","  9.05"," 3.93"
"22","DE QUEIROZ RL, 2016, IEEE T IMAGE PROCESS                                                        ","10.1109/TIP.2016.2575005             ","166"," 18.44"," 9.99"
"23","YE M, 2011, IEEE I CONF COMP VIS                                                                 ","NA                                   ","161"," 11.50"," 5.68"
"24","LIANG HZ, 2019, IEEE INT CONF ROBOT                                                              ","10.1109/icra.2019.8794435            ","144"," 24.00"," 6.99"
"25","FRITZ HM, 2012, GEOPHYS RES LETT                                                                 ","10.1029/2011GL050686                 ","144"," 11.08"," 4.35"
"26","MINOLI D, 2018, INTERNET THINGS-NETH                                                             ","10.1016/j.iot.2018.05.002            ","141"," 20.14"," 5.68"
"27","HAN KK, 2017, AUTOMAT CONSTR                                                                     ","10.1016/j.autcon.2016.11.004         ","134"," 16.75"," 8.10"
"28","BRILAKIS I, 2011, AUTOMAT CONSTR                                                                 ","10.1016/j.autcon.2011.03.005         ","133","  9.50"," 4.69"
"29","OESAU S, 2014, ISPRS J PHOTOGRAMM                                                                ","10.1016/j.isprsjprs.2014.02.004      ","133"," 12.09","10.45"
"30","KUNDU A, 2014, LECT NOTES COMPUT SC                                                              ","NA                                   ","127"," 11.55"," 9.97"
"31","XU XL, 2019, J NETW COMPUT APPL                                                                  ","10.1016/j.jnca.2019.02.008           ","124"," 20.67"," 6.02"
"32","GRAZIOSI D, 2020, APSIPA TRANS SIGNAL                                                            ","10.1017/ATSIP.2020.12                ","115"," 23.00"," 7.75"
"33","LACHAT E, 2015, INT ARCH PHOTOGRAMM                                                              ","10.5194/isprsarchives-XL-5-W4-93-2015","115"," 11.50"," 9.25"
"34","WEN L, 2016, J GEOPHYS RES-ATMOS                                                                 ","10.1002/2015JD024160                 ","115"," 12.78"," 6.92"
"35","TACHELLA J, 2019, NAT COMMUN                                                                     ","10.1038/s41467-019-12943-7           ","111"," 18.50"," 5.39"
"36","WESCOTT EM, 2001, J GEOPHYS RES-SPACE                                                            ","10.1029/2000JA000182                 ","109","  4.54"," 4.04"
"37","SONG Y, 2019, PROC CVPR IEEE                                                                     ","10.1109/CVPR.2019.00208              ","108"," 18.00"," 5.25"
"38","CHIABRANDO F, 2009, SENSORS-BASEL                                                                ","10.3390/s91210080                    ","108","  6.75"," 3.56"
"39","JAEGLE A, 2021, PR MACH LEARN RES                                                                ","NA                                   ","105"," 26.25","12.31"
