"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","LI Z           ","24","LI Z               ","5.20"
"2","LI L           ","20","LI L               ","4.92"
"3","LIU S          ","18","LIU S              ","4.12"
"4","YANG J         ","16","DE QUEIROZ RL      ","4.08"
"5","KIM J          ","15","KIM K              ","3.75"
"6","KIM K          ","15","KIM J              ","3.43"
"7","LI J           ","13","YANG J             ","3.43"
"8","XIE J          ","13","XU D               ","3.14"
"9","LIU Z          ","12","XIE J              ","3.03"
"10","WANG C         ","12","LHUILLIER M        ","3.00"
"11","DE QUEIROZ RL  ","11","CHOU PA            ","2.72"
"12","LIU Y          ","11","LIU Y              ","2.63"
"13","XU D           ","11","ASARI VK           ","2.50"
"14","HOU JH         ","10","DISKIN Y           ","2.50"
"15","LI HQ          ","10","JONES G            ","2.50"
"16","LIU Q          ","10","LI HQ              ","2.45"
"17","WANG Y         ","10","YANG Y             ","2.43"
"18","ZHANG Y        ","10","WANG C             ","2.42"
"19","CESAR P        "," 9","GAO W              ","2.39"
"20","LI G           "," 9","RASHIDI A          ","2.33"
"21","LI Y           "," 9","LI Y               ","2.29"
"22","WANG L         "," 9","WANG Y             ","2.28"
"23","YANG Y         "," 9","LI J               ","2.23"
"24","YUAN H         "," 9","LIU Z              ","2.22"
"25","CHEN Y         "," 8","ALEXIOU E          ","2.20"
"26","CHOU PA        "," 8","REMONDINO F        ","2.10"
"27","GAO W          "," 8","WANG L             ","2.08"
"28","HUI L          "," 8","EBRAHIMI T         ","2.08"
"29","LEE J          "," 8","ZHANG Y            ","2.07"
"30","LIU J          "," 8","LI G               ","1.99"
"31","SCHWARZ S      "," 8","LEE S              ","1.98"
"32","VAN DER HOOFT J"," 8","LIU Q              ","1.97"
"33","VEGA MT        "," 8","ZHANG J            ","1.96"
"34","WU Y           "," 8","BRILAKIS I         ","1.92"
"35","XU YL          "," 8","HOU JH             ","1.91"
"36","ZHANG C        "," 8","HUI L              ","1.91"
"37","ZHANG J        "," 8","CHANG CH           ","1.88"
"38","ALEXIOU E      "," 7","DAI QH             ","1.87"
"39","DE TURCK F     "," 7","CESAR P            ","1.85"
"40","EBRAHIMI T     "," 7","TIMMERER C         ","1.83"
"41","KONG H         "," 7","LIU JH             ","1.82"
"42","PARK J         "," 7","SCHWARZ S          ","1.81"
"43","RASHIDI A      "," 7","LEE J              ","1.79"
"44","TIMMERER C     "," 7","KEHTARNAVAZ N      ","1.75"
"45","YANG RG        "," 7","WU Y               ","1.72"
"46","ZHAO Y         "," 7","MARTINEZ-CARRANZA J","1.70"
"47","ASARI VK       "," 6","ZHANG C            ","1.69"
"48","BRILAKIS I     "," 6","YUAN H             ","1.67"
"49","DAI QH         "," 6","GAO P              ","1.67"
"50","DISKIN Y       "," 6","GOLESTANI HB       ","1.67"
"51","FOX D          "," 6","HAN B              ","1.67"
"52","GAO P          "," 6","PAUL M             ","1.67"
"53","ITO T          "," 6","XU YL              ","1.67"
"54","KAKUE T        "," 6","GRAZIOSI DB        ","1.62"
"55","LEE S          "," 6","GARCIA DC          ","1.58"
"56","LI X           "," 6","GUO JY             ","1.58"
"57","LIU JH         "," 6","KONG H             ","1.57"
"58","LIU M          "," 6","CHEN Y             ","1.57"
"59","PAUL M         "," 6","LIU J              ","1.55"
"60","PREDA M        "," 6","PARK J             ","1.55"
"61","SHIMOBABA T    "," 6","WANG J             ","1.54"
