"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","CHINA          ","514","0.297626","381","133","0.259"
"2","USA            ","329","0.190504","263"," 66","0.201"
"3","GERMANY        "," 97","0.056167"," 72"," 25","0.258"
"4","KOREA          "," 79","0.045744"," 67"," 12","0.152"
"5","JAPAN          "," 60","0.034742"," 50"," 10","0.167"
"6","ITALY          "," 51","0.029531"," 42","  9","0.176"
"7","UNITED KINGDOM "," 51","0.029531"," 32"," 19","0.373"
"8","FRANCE         "," 50","0.028952"," 36"," 14","0.280"
"9","SPAIN          "," 43","0.024899"," 30"," 13","0.302"
"10","CANADA         "," 38","0.022003"," 31","  7","0.184"
"11","INDIA          "," 38","0.022003"," 33","  5","0.132"
"12","AUSTRALIA      "," 36","0.020845"," 20"," 16","0.444"
"13","BRAZIL         "," 27","0.015634"," 17"," 10","0.370"
"14","FINLAND        "," 22","0.012739"," 19","  3","0.136"
"15","SINGAPORE      "," 21","0.012160"," 12","  9","0.429"
"16","NETHERLANDS    "," 19","0.011002"," 12","  7","0.368"
"17","PORTUGAL       "," 18","0.010423"," 16","  2","0.111"
"18","RUSSIA         "," 18","0.010423"," 15","  3","0.167"
"19","BELGIUM        "," 16","0.009265","  9","  7","0.438"
"20","SWITZERLAND    "," 16","0.009265"," 12","  4","0.250"
"21","POLAND         "," 15","0.008686"," 11","  4","0.267"
"22","AUSTRIA        "," 13","0.007528","  5","  8","0.615"
"23","IRAN           "," 13","0.007528"," 10","  3","0.231"
"24","IRELAND        "," 10","0.005790","  5","  5","0.500"
"25","ISRAEL         ","  9","0.005211","  6","  3","0.333"
"26","NEW ZEALAND    ","  9","0.005211","  8","  1","0.111"
"27","GREECE         ","  8","0.004632","  6","  2","0.250"
"28","ROMANIA        ","  7","0.004053","  7","  0","0.000"
"29","CROATIA        ","  6","0.003474","  2","  4","0.667"
"30","SWEDEN         ","  6","0.003474","  3","  3","0.500"
"31","LITHUANIA      ","  5","0.002895","  4","  1","0.200"
"32","MEXICO         ","  5","0.002895","  3","  2","0.400"
"33","SAUDI ARABIA   ","  5","0.002895","  2","  3","0.600"
"34","TURKEY         ","  5","0.002895","  4","  1","0.200"
"35","CZECH REPUBLIC ","  4","0.002316","  4","  0","0.000"
"36","DENMARK        ","  4","0.002316","  4","  0","0.000"
"37","MOROCCO        ","  4","0.002316","  1","  3","0.750"
"38","ALGERIA        ","  3","0.001737","  3","  0","0.000"
"39","COLOMBIA       ","  3","0.001737","  3","  0","0.000"
"40","HUNGARY        ","  3","0.001737","  3","  0","0.000"
"41","INDONESIA      ","  3","0.001737","  2","  1","0.333"
"42","PHILIPPINES    ","  3","0.001737","  3","  0","0.000"
"43","SOUTH AFRICA   ","  3","0.001737","  2","  1","0.333"
"44","U ARAB EMIRATES","  3","0.001737","  3","  0","0.000"
"45","ARGENTINA      ","  2","0.001158","  2","  0","0.000"
"46","IRAQ           ","  2","0.001158","  1","  1","0.500"
"47","NORWAY         ","  2","0.001158","  1","  1","0.500"
"48","PERU           ","  2","0.001158","  1","  1","0.500"
"49","QATAR          ","  2","0.001158","  0","  2","1.000"
"50","SLOVAKIA       ","  2","0.001158","  2","  0","0.000"
"51","SLOVENIA       ","  2","0.001158","  2","  0","0.000"
"52","THAILAND       ","  2","0.001158","  2","  0","0.000"
"53","TUNISIA        ","  2","0.001158","  2","  0","0.000"
"54","BAHRAIN        ","  1","0.000579","  0","  1","1.000"
"55","BANGLADESH     ","  1","0.000579","  0","  1","1.000"
"56","BULGARIA       ","  1","0.000579","  1","  0","0.000"
"57","CHILE          ","  1","0.000579","  1","  0","0.000"
"58","EGYPT          ","  1","0.000579","  0","  1","1.000"
"59","GHANA          ","  1","0.000579","  0","  1","1.000"
"60","JORDAN         ","  1","0.000579","  1","  0","0.000"
"61","KUWAIT         ","  1","0.000579","  1","  0","0.000"
"62","LEBANON        ","  1","0.000579","  0","  1","1.000"
"63","MACEDONIA      ","  1","0.000579","  0","  1","1.000"
"64","MALAYSIA       ","  1","0.000579","  1","  0","0.000"
"65","MALTA          ","  1","0.000579","  1","  0","0.000"
"66","PAKISTAN       ","  1","0.000579","  0","  1","1.000"
"67","SERBIA         ","  1","0.000579","  1","  0","0.000"
"68","UKRAINE        ","  1","0.000579","  1","  0","0.000"
"69","VENEZUELA      ","  1","0.000579","  1","  0","0.000"
"70","VIETNAM        ","  1","0.000579","  1","  0","0.000"
