"","Country     ","Total Citations","Average Article Citations"
"1","USA            ","7641","23.225"
"2","CHINA          ","5081"," 9.885"
"3","GERMANY        ","1539","15.866"
"4","UNITED KINGDOM ","1529","29.980"
"5","AUSTRALIA      ","1334","37.056"
"6","FRANCE         "," 867","17.340"
"7","JAPAN          "," 771","12.850"
"8","CANADA         "," 715","18.816"
"9","FINLAND        "," 655","29.773"
"10","KOREA          "," 549"," 6.949"
"11","BRAZIL         "," 480","17.778"
"12","ITALY          "," 443"," 8.686"
"13","NETHERLANDS    "," 402","21.158"
"14","SPAIN          "," 402"," 9.349"
"15","SINGAPORE      "," 348","16.571"
"16","SWITZERLAND    "," 296","18.500"
"17","INDIA          "," 242"," 6.368"
"18","POLAND         "," 220","14.667"
"19","ISRAEL         "," 140","15.556"
"20","BELGIUM        "," 134"," 8.375"
"21","SLOVENIA       "," 117","58.500"
"22","SAUDI ARABIA   "," 108","21.600"
"23","PORTUGAL       "," 104"," 5.778"
"24","IRAN           ","  94"," 7.231"
"25","SWEDEN         ","  94","15.667"
"26","IRELAND        ","  91"," 9.100"
"27","TURKEY         ","  83","16.600"
"28","AUSTRIA        ","  78"," 6.000"
"29","LITHUANIA      ","  59","11.800"
"30","DENMARK        ","  54","13.500"
"31","JORDAN         ","  50","50.000"
"32","NEW ZEALAND    ","  47"," 5.222"
"33","RUSSIA         ","  44"," 2.444"
"34","HUNGARY        ","  39","13.000"
"35","CROATIA        ","  32"," 5.333"
"36","INDONESIA      ","  20"," 6.667"
"37","CHILE          ","  19","19.000"
"38","COLOMBIA       ","  18"," 6.000"
"39","GREECE         ","  18"," 2.250"
"40","MEXICO         ","  18"," 3.600"
"41","NORWAY         ","  17"," 8.500"
"42","QATAR          ","  15"," 7.500"
"43","SOUTH AFRICA   ","  14"," 4.667"
"44","ARGENTINA      ","   9"," 4.500"
"45","U ARAB EMIRATES","   9"," 3.000"
"46","IRAQ           ","   8"," 4.000"
"47","ROMANIA        ","   8"," 1.143"
"48","TUNISIA        ","   8"," 4.000"
"49","MOROCCO        ","   7"," 1.750"
"50","CZECH REPUBLIC ","   6"," 1.500"
"51","THAILAND       ","   6"," 3.000"
"52","MALTA          ","   4"," 4.000"
"53","PERU           ","   4"," 2.000"
"54","SLOVAKIA       ","   4"," 2.000"
"55","BAHRAIN        ","   3"," 3.000"
"56","EGYPT          ","   3"," 3.000"
"57","MALAYSIA       ","   3"," 3.000"
"58","PHILIPPINES    ","   2"," 0.667"
"59","SERBIA         ","   2"," 2.000"
"60","VENEZUELA      ","   2"," 2.000"
"61","VIETNAM        ","   2"," 2.000"
"62","BULGARIA       ","   1"," 1.000"
"63","UKRAINE        ","   1"," 1.000"
"64","ALGERIA        ","   0"," 0.000"
"65","BANGLADESH     ","   0"," 0.000"
"66","GHANA          ","   0"," 0.000"
"67","KUWAIT         ","   0"," 0.000"
"68","LEBANON        ","   0"," 0.000"
"69","MACEDONIA      ","   0"," 0.000"
"70","PAKISTAN       ","   0"," 0.000"
