"Year","Articles","MeanTCperArt","MeanTCperYear"
1993,1,38,1.2258064516129
1994,1,8,0.266666666666667
1995,0,0,0
1996,2,7.5,0.267857142857143
1997,1,3,0.111111111111111
1998,3,9.66666666666667,0.371794871794872
1999,1,1,0.04
2000,3,9,0.375
2001,7,27,1.17391304347826
2002,5,25.6,1.16363636363636
2003,5,17,0.80952380952381
2004,6,7.66666666666667,0.383333333333333
2005,8,46,2.42105263157895
2006,10,20.8,1.15555555555556
2007,5,3.6,0.211764705882353
2008,15,40.4666666666667,2.52916666666667
2009,20,30.3,2.02
2010,31,24.6451612903226,1.76036866359447
2011,50,28.34,2.18
2012,40,33.075,2.75625
2013,62,26.6129032258064,2.41935483870968
2014,56,12.7321428571429,1.27321428571429
2015,78,12.4358974358974,1.38176638176638
2016,93,16.6129032258064,2.07661290322581
2017,115,16.5391304347826,2.36273291925466
2018,130,24.8384615384615,4.13974358974359
2019,158,20.5886075949367,4.11772151898734
2020,156,14.8333333333333,3.70833333333333
2021,240,8.52916666666667,2.84305555555556
2022,229,6.11353711790393,3.05676855895197
2023,212,1.49056603773585,1.49056603773585
