"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",21,"SLOVENIA       ",117,58.5,2,2,0,0
"2",31,"JORDAN         ",50,50,1,1,0,0
"3",5,"AUSTRALIA      ",1334,37.056,36,20,16,0.444
"4",4,"UNITED KINGDOM ",1529,29.98,51,32,19,0.373
"5",9,"FINLAND        ",655,29.773,22,19,3,0.136
"6",1,"USA            ",7641,23.225,329,263,66,0.201
"7",22,"SAUDI ARABIA   ",108,21.6,5,2,3,0.6
"8",13,"NETHERLANDS    ",402,21.158,19,12,7,0.368
"9",37,"CHILE          ",19,19,1,1,0,0
"10",8,"CANADA         ",715,18.816,38,31,7,0.184
"11",16,"SWITZERLAND    ",296,18.5,16,12,4,0.25
"12",11,"BRAZIL         ",480,17.778,27,17,10,0.37
"13",6,"FRANCE         ",867,17.34,50,36,14,0.28
"14",27,"TURKEY         ",83,16.6,5,4,1,0.2
"15",15,"SINGAPORE      ",348,16.571,21,12,9,0.429
"16",3,"GERMANY        ",1539,15.866,97,72,25,0.258
"17",25,"SWEDEN         ",94,15.667,6,3,3,0.5
"18",19,"ISRAEL         ",140,15.556,9,6,3,0.333
"19",18,"POLAND         ",220,14.667,15,11,4,0.267
"20",30,"DENMARK        ",54,13.5,4,4,0,0
"21",34,"HUNGARY        ",39,13,3,3,0,0
"22",7,"JAPAN          ",771,12.85,60,50,10,0.167
"23",29,"LITHUANIA      ",59,11.8,5,4,1,0.2
"24",2,"CHINA          ",5081,9.885,514,381,133,0.259
"25",14,"SPAIN          ",402,9.349,43,30,13,0.302
"26",26,"IRELAND        ",91,9.1,10,5,5,0.5
"27",12,"ITALY          ",443,8.686,51,42,9,0.176
"28",41,"NORWAY         ",17,8.5,2,1,1,0.5
"29",20,"BELGIUM        ",134,8.375,16,9,7,0.438
"30",42,"QATAR          ",15,7.5,2,0,2,1
"31",24,"IRAN           ",94,7.231,13,10,3,0.231
"32",10,"KOREA          ",549,6.949,79,67,12,0.152
"33",36,"INDONESIA      ",20,6.667,3,2,1,0.333
"34",17,"INDIA          ",242,6.368,38,33,5,0.132
"35",28,"AUSTRIA        ",78,6,13,5,8,0.615
"36",38,"COLOMBIA       ",18,6,3,3,0,0
"37",23,"PORTUGAL       ",104,5.778,18,16,2,0.111
"38",35,"CROATIA        ",32,5.333,6,2,4,0.667
"39",32,"NEW ZEALAND    ",47,5.222,9,8,1,0.111
"40",43,"SOUTH AFRICA   ",14,4.667,3,2,1,0.333
"41",44,"ARGENTINA      ",9,4.5,2,2,0,0
"42",46,"IRAQ           ",8,4,2,1,1,0.5
"43",48,"TUNISIA        ",8,4,2,2,0,0
"44",52,"MALTA          ",4,4,1,1,0,0
"45",40,"MEXICO         ",18,3.6,5,3,2,0.4
"46",45,"U ARAB EMIRATES",9,3,3,3,0,0
"47",51,"THAILAND       ",6,3,2,2,0,0
"48",55,"BAHRAIN        ",3,3,1,0,1,1
"49",56,"EGYPT          ",3,3,1,0,1,1
"50",57,"MALAYSIA       ",3,3,1,1,0,0
"51",33,"RUSSIA         ",44,2.444,18,15,3,0.167
"52",39,"GREECE         ",18,2.25,8,6,2,0.25
"53",53,"PERU           ",4,2,2,1,1,0.5
"54",54,"SLOVAKIA       ",4,2,2,2,0,0
"55",59,"SERBIA         ",2,2,1,1,0,0
"56",60,"VENEZUELA      ",2,2,1,1,0,0
"57",61,"VIETNAM        ",2,2,1,1,0,0
"58",49,"MOROCCO        ",7,1.75,4,1,3,0.75
"59",50,"CZECH REPUBLIC ",6,1.5,4,4,0,0
"60",47,"ROMANIA        ",8,1.143,7,7,0,0
"61",62,"BULGARIA       ",1,1,1,1,0,0
"62",63,"UKRAINE        ",1,1,1,1,0,0
"63",58,"PHILIPPINES    ",2,0.667,3,3,0,0
"64",64,"ALGERIA        ",0,0,3,3,0,0
"65",65,"BANGLADESH     ",0,0,1,0,1,1
"66",66,"GHANA          ",0,0,1,0,1,1
"67",67,"KUWAIT         ",0,0,1,1,0,0
"68",68,"LEBANON        ",0,0,1,0,1,1
"69",69,"MACEDONIA      ",0,0,1,0,1,1
"70",70,"PAKISTAN       ",0,0,1,0,1,1
