"","Paper         ","DOI","TC","TCperYear","NTC"
"1","GUTTENTAG DA, 2010, TOURISM MANAGE                                                                               ","10.1016/j.tourman.2009.07.003      ","639","42.60","24.419"
"2","POWERS MB, 2008, J ANXIETY DISORD                                                                                ","10.1016/j.janxdis.2007.04.006      ","509","29.94","18.843"
"3","JACK D, 2001, IEEE T NEUR SYS REH                                                                                ","10.1109/7333.948460                ","439","18.29","11.856"
"4","FLAVIÁN C, 2019, J BUS RES                                                                                       ","10.1016/j.jbusres.2018.10.050      ","404","67.33","28.970"
"5","SAPOSNIK G, 2011, STROKE                                                                                         ","10.1161/STROKEAHA.110.605451       ","383","27.36","19.288"
"6","SATAVA RM, 1993, SURG ENDOSC-ULTRAS                                                                              ","10.1007/BF00594110                 ","352","11.00"," 2.505"
"7","YUNG R, 2019, CURR ISSUES TOUR                                                                                   ","10.1080/13683500.2017.1417359      ","345","57.50","24.739"
"8","KIM HK, 2018, APPL ERGON                                                                                         ","10.1016/j.apergo.2017.12.016       ","345","49.29","23.939"
"9","BEKELE MK, 2018, ACM J COMPUT CULT HE                                                                            ","10.1145/3145534                    ","344","49.14","23.870"
"10","MALLOY KM, 2010, CLIN PSYCHOL REV                                                                                ","10.1016/j.cpr.2010.07.001          ","343","22.87","13.107"
"11","GAVISH N, 2015, INTERACT LEARN ENVIR                                                                             ","10.1080/10494820.2013.815221       ","343","34.30","16.606"
"12","MERIANS AS, 2002, PHYS THER                                                                                      ","10.1093/ptj/82.9.898               ","330","14.35","12.540"
"13","KANDALAFT MR, 2013, J AUTISM DEV DISORD                                                                          ","10.1007/s10803-012-1544-6          ","329","27.42","21.168"
"14","PAN ZG, 2006, COMPUT GRAPH-UK                                                                                    ","10.1016/j.cag.2005.10.004          ","305","16.05","19.203"
"15","ADAMOVICH SV, 2009, NEUROREHABILITATION                                                                          ","10.3233/NRE-2009-0497              ","289","18.06","19.236"
"16","MARTÍN-GUTIÉRREZ J, 2017, EURASIA J MATH SCI T                                                                   ","10.12973/eurasia.2017.00626a       ","283","35.38","18.594"
"17","CARROZZINO M, 2010, J CULT HERIT                                                                                 ","10.1016/j.culher.2010.04.001       ","273","18.20","10.432"
"18","JAYARAM S, 1997, COMPUT AIDED DESIGN                                                                             ","10.1016/S0010-4485(96)00094-2      ","272"," 9.71","11.314"
"19","MUJBER TS, 2004, J MATER PROCESS TECH                                                                            ","10.1016/j.jmatprotec.2004.04.401   ","269","12.81"," 9.460"
"20","SLATER M, 2018, BRIT J PSYCHOL                                                                                   ","10.1111/bjop.12305                 ","269","38.43","18.665"
"21","AZMANDIAN M, 2016, 34TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, CHI 2016                    ","10.1145/2858036.2858226            ","262","29.11","15.035"
"22","HOFFMAN HG, 2011, ANN BEHAV MED                                                                                  ","10.1007/s12160-010-9248-7          ","261","18.64","13.144"
"23","BOZGEYIKLI E, 2016, CHI PLAY 2016: PROCEEDINGS OF THE 2016 ANNUAL SYMPOSIUM ON COMPUTER-HUMAN INTERACTION IN PLAY","10.1145/2967934.2968105            ","239","26.56","13.715"
"24","MCMAHAN RP, 2012, IEEE T VIS COMPUT GR                                                                           ","10.1109/TVCG.2012.43               ","233","17.92","20.757"
"25","HOFFMAN HG, 2001, CLIN J PAIN                                                                                    ","10.1097/00002508-200109000-00007   ","231"," 9.62"," 6.239"
"26","LOUREIRO SMC, 2020, TOURISM MANAGE                                                                               ","10.1016/j.tourman.2019.104028      ","226","45.20","19.567"
"27","LI L, 2017, AM J TRANSL RES                                                                                      ","NA                                 ","220","27.50","14.455"
"28","MONAHAN T, 2008, COMPUT EDUC                                                                                     ","10.1016/j.compedu.2006.12.008      ","217","12.76"," 8.033"
"29","HOFFMAN HG, 2004, NEUROREPORT                                                                                    ","10.1097/01.wnr.0000127826.73576.91 ","215","10.24"," 7.561"
"30","RIVA G, 2019, CYBERPSYCH BEH SOC N                                                                               ","10.1089/cyber.2017.29099.gri       ","210","35.00","15.058"
