"","Authors       ","Articles","Authors       ","Articles Fractionalized"
"1","RIVA G         ","33","RIVA G           ","8.51"
"2","KIM J          ","21","KIM J            ","7.38"
"3","LATOSCHIK ME   ","21","SLATER M         ","4.92"
"4","BILLINGHURST M ","16","STEED A          ","4.64"
"5","LIANG HN       ","16","ROSSMANN J       ","4.50"
"6","CIPRESSO P     ","15","SOUTHGATE E      ","4.50"
"7","LI Y           ","15","LI Y             ","4.43"
"8","SLATER M       ","15","JOHNSEN K        ","4.34"
"9","WIEDERHOLD BK  ","15","LATOSCHIK ME     ","4.24"
"10","BESSA M        ","14","LIU Y            ","4.09"
"11","CARDOSO A      ","14","WANG J           ","4.07"
"12","MELO M         ","14","THOMAS BH        ","4.00"
"13","HOFFMAN HG     ","13","ZHANG Y          ","3.92"
"14","LIU Y          ","13","QUARLES J        ","3.62"
"15","SERAFIN S      ","13","LIU J            ","3.59"
"16","STEED A        ","13","LIANG HN         ","3.55"
"17","ANDALUZ VH     ","12","STUERZLINGER W   ","3.53"
"18","JOHNSEN K      ","12","NOVAK-MARCINCIN J","3.50"
"19","LEE J          ","12","WANG Y           ","3.48"
"20","GAGGIOLI A     ","11","FREUND E         ","3.33"
"21","KIM H          ","11","BILLINGHURST M   ","3.27"
"22","LIU J          ","11","BERKI B          ","3.20"
"23","MOLDOVEANU A   ","11","WIEDERHOLD BK    ","3.18"
"24","NILSSON NC     ","11","REBELO F         ","3.17"
"25","QUARLES J      ","11","PALJIC A         ","3.14"
"26","SERINO S       ","11","ZENNER A         ","3.08"
"27","THOMAS BH      ","11","BOUCHARD S       ","3.06"
"28","WANG J         ","11","RAGAN ED         ","3.03"
"29","KIM K          ","10","KIM GJ           ","3.01"
"30","KRAUS M        ","10","HONG H           ","3.00"
"31","LINDEMAN RW    ","10","MOUSAS C         ","2.93"
"32","LUGRIN JL      ","10","BESSA M          ","2.92"
"33","MOUSAS C       ","10","MELO M           ","2.92"
"34","NORDAHL R      ","10","PIETROSZEK K     ","2.90"
"35","REBELO F       ","10","HOFFMAN HG       ","2.85"
"36","ROSSMANN J     ","10","WANG H           ","2.80"
"37","SACCO M        ","10","RIECKE BE        ","2.78"
"38","SIMEONE AL     ","10","NAKAJIMA T       ","2.73"
"39","BRUDER G       "," 9","WALCZAK K        ","2.73"
"40","DE PAOLIS LT   "," 9","ANIKINA VG       ","2.67"
"41","HOERMANN S     "," 9","HUSSMANN H       ","2.67"
"42","KIM GJ         "," 9","PEETERS D        ","2.67"
