"","Country","Articles","Freq","SCP","MCP","MCP_Ratio"
"1","USA            ","920","0.187373","842","78","0.0848"
"2","CHINA          ","795","0.161914","710","85","0.1069"
"3","GERMANY        ","351","0.071487","304","47","0.1339"
"4","UNITED KINGDOM ","248","0.050509","204","44","0.1774"
"5","ITALY          ","193","0.039308","165","28","0.1451"
"6","SPAIN          ","179","0.036456","153","26","0.1453"
"7","BRAZIL         ","170","0.034623","159","11","0.0647"
"8","AUSTRALIA      ","153","0.031161","123","30","0.1961"
"9","FRANCE         ","143","0.029124","127","16","0.1119"
"10","KOREA          ","140","0.028513","127","13","0.0929"
"11","CANADA         ","125","0.025458","102","23","0.1840"
"12","JAPAN          "," 86","0.017515"," 75","11","0.1279"
"13","PORTUGAL       "," 78","0.015886"," 71"," 7","0.0897"
"14","INDIA          "," 76","0.015479"," 63","13","0.1711"
"15","NETHERLANDS    "," 65","0.013238"," 46","19","0.2923"
"16","DENMARK        "," 61","0.012424"," 51","10","0.1639"
"17","POLAND         "," 59","0.012016"," 56"," 3","0.0508"
"18","IRELAND        "," 55","0.011202"," 45","10","0.1818"
"19","SWITZERLAND    "," 53","0.010794"," 37","16","0.3019"
"20","NEW ZEALAND    "," 50","0.010183"," 35","15","0.3000"
"21","ROMANIA        "," 50","0.010183"," 43"," 7","0.1400"
"22","SLOVAKIA       "," 50","0.010183"," 44"," 6","0.1200"
"23","FINLAND        "," 48","0.009776"," 36","12","0.2500"
"24","GREECE         "," 47","0.009572"," 41"," 6","0.1277"
"25","MALAYSIA       "," 47","0.009572"," 38"," 9","0.1915"
"26","RUSSIA         "," 42","0.008554"," 41"," 1","0.0238"
"27","AUSTRIA        "," 41","0.008350"," 30","11","0.2683"
"28","CZECH REPUBLIC "," 40","0.008147"," 33"," 7","0.1750"
"29","TURKEY         "," 40","0.008147"," 33"," 7","0.1750"
"30","SWEDEN         "," 36","0.007332"," 27"," 9","0.2500"
"31","MEXICO         "," 35","0.007128"," 26"," 9","0.2571"
"32","INDONESIA      "," 27","0.005499"," 23"," 4","0.1481"
"33","BELGIUM        "," 26","0.005295"," 16","10","0.3846"
"34","ECUADOR        "," 26","0.005295"," 17"," 9","0.3462"
"35","HUNGARY        "," 23","0.004684"," 17"," 6","0.2609"
"36","NORWAY         "," 23","0.004684"," 17"," 6","0.2609"
"37","THAILAND       "," 23","0.004684"," 19"," 4","0.1739"
"38","ISRAEL         "," 21","0.004277"," 17"," 4","0.1905"
"39","SINGAPORE      "," 21","0.004277"," 13"," 8","0.3810"
"40","CYPRUS         "," 19","0.003870"," 12"," 7","0.3684"
"41","PAKISTAN       "," 16","0.003259"," 11"," 5","0.3125"
"42","SAUDI ARABIA   "," 16","0.003259","  8"," 8","0.5000"
"43","UKRAINE        "," 16","0.003259"," 14"," 2","0.1250"
"44","IRAN           "," 13","0.002648"," 10"," 3","0.2308"
"45","COLOMBIA       "," 11","0.002240","  6"," 5","0.4545"
"46","EGYPT          ","  9","0.001833","  9"," 0","0.0000"
