"","Sources       ","Articles"
"1","VIRTUAL REALITY                                                                                                                                                    ","167"
"2","FRONTIERS IN VIRTUAL REALITY                                                                                                                                       ","106"
"3","2019 26TH IEEE CONFERENCE ON VIRTUAL REALITY AND 3D USER INTERFACES (VR)                                                                                           "," 86"
"4","2022 IEEE CONFERENCE ON VIRTUAL REALITY AND 3D USER INTERFACES ABSTRACTS AND WORKSHOPS (VRW 2022)                                                                  "," 40"
"5","2021 IEEE CONFERENCE ON VIRTUAL REALITY AND 3D USER INTERFACES ABSTRACTS AND WORKSHOPS (VRW 2021)                                                                  "," 39"
"6","2020 IEEE CONFERENCE ON VIRTUAL REALITY AND 3D USER INTERFACES WORKSHOPS (VRW 2020)                                                                                "," 38"
"7","25TH 2018 IEEE CONFERENCE ON VIRTUAL REALITY AND 3D USER INTERFACES (VR)                                                                                           "," 34"
"8","25TH ACM SYMPOSIUM ON VIRTUAL REALITY SOFTWARE AND TECHNOLOGY (VRST 2019)                                                                                          "," 34"
"9","2017 IEEE VIRTUAL REALITY (VR)                                                                                                                                     "," 32"
"10","2023 IEEE CONFERENCE ON VIRTUAL REALITY AND 3D USER INTERFACES ABSTRACTS AND WORKSHOPS VRW                                                                         "," 30"
"11","APPLIED SCIENCES-BASEL                                                                                                                                             "," 30"
"12","24TH ACM SYMPOSIUM ON VIRTUAL REALITY SOFTWARE AND TECHNOLOGY (VRST 2018)                                                                                          "," 28"
"13","IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS                                                                                                           "," 27"
"14","PROCEEDINGS OF 27TH ACM SYMPOSIUM ON VIRTUAL REALITY SOFTWARE AND TECHNOLOGY VRST 2021                                                                             "," 26"
"15","FRONTIERS IN PSYCHOLOGY                                                                                                                                            "," 22"
"16","2020 22ND SYMPOSIUM ON VIRTUAL AND AUGMENTED REALITY (SVR 2020)                                                                                                    "," 20"
"17","2020 IEEE CONFERENCE ON VIRTUAL REALITY AND 3D USER INTERFACES (VR 2020)                                                                                           "," 20"
"18","2021 IEEE VIRTUAL REALITY AND 3D USER INTERFACES (VR)                                                                                                              "," 19"
"19","VRST'17: PROCEEDINGS OF THE 23RD ACM SYMPOSIUM ON VIRTUAL REALITY SOFTWARE AND TECHNOLOGY                                                                          "," 19"
"20","2021 4TH IEEE INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND VIRTUAL REALITY (AIVR 2021)                                                                  "," 18"
"21","2022 IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY ADJUNCT (ISMAR-ADJUNCT 2022)                                                                      "," 18"
"22","2022 IEEE CONFERENCE ON VIRTUAL REALITY AND 3D USER INTERFACES (VR 2022)                                                                                           "," 17"
"23","2019 IEEE INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND VIRTUAL REALITY (AIVR)                                                                           "," 16"
"24","2020 IEEE INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND VIRTUAL REALITY (AIVR 2020)                                                                      "," 16"
"25","IEEE ACCESS                                                                                                                                                        "," 16"
