"Year","Articles","MeanTCperArt","MeanTCperYear"
1993,4,140.5,4.53225806451613
1994,8,3.375,0.1125
1995,12,25.5,0.879310344827586
1996,3,2.33333333333333,0.0833333333333333
1997,24,24.0416666666667,0.890432098765432
1998,32,15,0.576923076923077
1999,24,34.0416666666667,1.36166666666667
2000,25,19.52,0.813333333333333
2001,38,37.0263157894737,1.60983981693364
2002,38,26.3157894736842,1.19617224880383
2003,44,12.9772727272727,0.617965367965368
2004,39,28.4358974358974,1.42179487179487
2005,35,19.5714285714286,1.03007518796992
2006,77,15.8831168831169,0.882395382395382
2007,85,15.7411764705882,0.925951557093426
2008,79,27.0126582278481,1.68829113924051
2009,126,15.0238095238095,1.0015873015873
2010,89,26.1685393258427,1.86918138041734
2011,105,19.8571428571429,1.52747252747253
2012,80,11.225,0.935416666666667
2013,107,15.5420560747664,1.41291418861512
2014,97,13.5670103092784,1.35670103092784
2015,142,20.6549295774648,2.29499217527387
2016,209,17.4258373205742,2.17822966507177
2017,368,15.2201086956522,2.17430124223602
2018,498,14.4116465863454,2.40194109772423
2019,589,13.9456706281834,2.78913412563667
2020,487,11.5503080082136,2.88757700205339
2021,561,6.93761140819964,2.31253713606655
2022,536,3.70149253731343,1.85074626865672
2023,428,1.10747663551402,1.10747663551402
