"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",13,"ISRAEL         ",781,37.19,21,17,4,0.1905
"2",38,"JORDAN         ",110,36.667,3,2,1,0.3333
"3",41,"BANGLADESH     ",97,32.333,3,2,1,0.3333
"4",50,"LIECHTENSTEIN  ",50,25,2,0,2,1
"5",60,"GEORGIA        ",23,23,1,0,1,1
"6",12,"IRELAND        ",1252,22.764,55,45,10,0.1818
"7",10,"NETHERLANDS    ",1410,21.692,65,46,19,0.2923
"8",2,"UNITED KINGDOM ",5090,20.524,248,204,44,0.1774
"9",8,"CANADA         ",2565,20.52,125,102,23,0.184
"10",1,"USA            ",18718,20.346,920,842,78,0.0848
"11",47,"LUXEMBOURG     ",61,20.333,3,3,0,0
"12",7,"AUSTRALIA      ",2845,18.595,153,123,30,0.1961
"13",42,"ARGENTINA      ",91,18.2,5,5,0,0
"14",34,"ESTONIA        ",160,17.778,9,7,2,0.2222
"15",5,"ITALY          ",3409,17.663,193,165,28,0.1451
"16",6,"SPAIN          ",3136,17.52,179,153,26,0.1453
"17",56,"MALTA          ",34,17,2,2,0,0
"18",46,"BOSNIA         ",65,16.25,4,2,2,0.5
"19",9,"KOREA          ",2055,14.679,140,127,13,0.0929
"20",26,"SINGAPORE      ",305,14.524,21,13,8,0.381
"21",27,"NORWAY         ",304,13.217,23,17,6,0.2609
"22",4,"GERMANY        ",4553,12.972,351,304,47,0.1339
"23",20,"SWEDEN         ",456,12.667,36,27,9,0.25
"24",39,"MOROCCO        ",107,11.889,9,9,0,0
"25",53,"LITHUANIA      ",42,10.5,4,3,1,0.25
"26",18,"SWITZERLAND    ",531,10.019,53,37,16,0.3019
"27",19,"FINLAND        ",473,9.854,48,36,12,0.25
"28",23,"TURKEY         ",388,9.7,40,33,7,0.175
"29",62,"LATVIA         ",19,9.5,2,1,1,0.5
"30",11,"FRANCE         ",1353,9.462,143,127,16,0.1119
"31",31,"BELGIUM        ",242,9.308,26,16,10,0.3846
"32",17,"DENMARK        ",542,8.885,61,51,10,0.1639
"33",21,"NEW ZEALAND    ",437,8.74,50,35,15,0.3
"34",64,"IRAQ           ",17,8.5,2,1,1,0.5
"35",15,"PORTUGAL       ",653,8.372,78,71,7,0.0897
"36",45,"BULGARIA       ",66,8.25,8,5,3,0.375
"37",35,"CYPRUS         ",154,8.105,19,12,7,0.3684
"38",24,"MALAYSIA       ",347,7.383,47,38,9,0.1915
"39",16,"INDIA          ",555,7.303,76,63,13,0.1711
"40",25,"GREECE         ",336,7.149,47,41,6,0.1277
"41",28,"AUSTRIA        ",289,7.049,41,30,11,0.2683
"42",71,"URUGUAY        ",7,7,1,0,1,1
"43",58,"SRI LANKA      ",27,6.75,4,3,1,0.25
"44",63,"OMAN           ",19,6.333,3,1,2,0.6667
"45",30,"CZECH REPUBLIC ",244,6.1,40,33,7,0.175
"46",67,"PHILIPPINES    ",12,6,2,2,0,0
"47",3,"CHINA          ",4592,5.776,795,710,85,0.1069
"48",54,"CROATIA        ",40,5,8,7,1,0.125
"49",75,"HONDURAS       ",5,5,1,0,1,1
"50",29,"POLAND         ",289,4.898,59,56,3,0.0508
"51",55,"KAZAKHSTAN     ",34,4.857,7,4,3,0.4286
"52",22,"JAPAN          ",413,4.802,86,75,11,0.1279
"53",37,"ECUADOR        ",115,4.423,26,17,9,0.3462
"54",36,"MEXICO         ",151,4.314,35,26,9,0.2571
"55",44,"PAKISTAN       ",69,4.312,16,11,5,0.3125
"56",40,"HUNGARY        ",99,4.304,23,17,6,0.2609
"57",32,"SLOVAKIA       ",211,4.22,50,44,6,0.12
"58",14,"BRAZIL         ",714,4.2,170,159,11,0.0647
"59",33,"ROMANIA        ",206,4.12,50,43,7,0.14
"60",77,"ICELAND        ",4,4,1,1,0,0
"61",61,"CHILE          ",22,3.667,6,5,1,0.1667
"62",48,"SAUDI ARABIA   ",55,3.438,16,8,8,0.5
"63",43,"INDONESIA      ",89,3.296,27,23,4,0.1481
"64",52,"IRAN           ",42,3.231,13,10,3,0.2308
"65",68,"NIGERIA        ",11,2.75,4,4,0,0
"66",66,"QATAR          ",13,2.6,5,4,1,0.2
"67",65,"SOUTH AFRICA   ",14,2.333,6,5,1,0.1667
"68",69,"SERBIA         ",7,2.333,3,3,0,0
"69",59,"COLOMBIA       ",23,2.091,11,6,5,0.4545
"70",57,"UKRAINE        ",33,2.062,16,14,2,0.125
"71",72,"TUNISIA        ",6,2,3,3,0,0
"72",73,"U ARAB EMIRATES",6,2,3,2,1,0.3333
"73",80,"MADAGASCAR     ",2,2,1,1,0,0
"74",81,"TANZANIA       ",2,2,1,1,0,0
"75",82,"VIETNAM        ",2,2,1,0,1,1
"76",51,"THAILAND       ",45,1.957,23,19,4,0.1739
"77",70,"SLOVENIA       ",7,1.75,4,3,1,0.25
"78",79,"COSTA RICA     ",3,1.5,2,2,0,0
"79",49,"RUSSIA         ",51,1.214,42,41,1,0.0238
"80",83,"KUWAIT         ",1,1,1,1,0,0
"81",84,"LEBANON        ",1,1,1,1,0,0
"82",76,"PERU           ",5,0.625,8,4,4,0.5
"83",78,"ALGERIA        ",3,0.6,5,3,2,0.4
"84",74,"EGYPT          ",5,0.556,9,9,0,0
"85",85,"ALBANIA        ",0,0,1,1,0,0
"86",86,"ARMENIA        ",0,0,1,0,1,1
"87",87,"BELARUS        ",0,0,1,1,0,0
"88",88,"MACEDONIA      ",0,0,2,0,2,1
"89",89,"MONGOLIA       ",0,0,1,0,1,1
