"","Year   ","Articles"
"1","1966",1
"2","1970",1
"3","1975",2
"4","1977",1
"5","1978",1
"6","1980",1
"7","1982",1
"8","1983",1
"9","1984",1
"10","1985",1
"11","1986",1
"12","1988",3
"13","1989",1
"14","1990",1
"15","1991",8
"16","1992",24
"17","1993",22
"18","1994",31
"19","1995",47
"20","1996",52
"21","1997",43
"22","1998",67
"23","1999",45
"24","2000",60
"25","2001",53
"26","2002",50
"27","2003",88
"28","2004",81
"29","2005",100
"30","2006",110
"31","2007",139
"32","2008",125
"33","2009",164
"34","2010",190
"35","2011",250
"36","2012",185
"37","2013",250
"38","2014",263
"39","2015",230
"40","2016",256
"41","2017",312
"42","2018",300
"43","2019",324
"44","2020",317
"45","2021",281
"46","2022",231
"47","2023",242
